date,open,high,low,close,volume
2025-03-24,431.0,436.95,427.3,430.8,1929923
2025-03-25,434.0,439.0,416.0,418.85,2965770
2025-03-26,421.2,433.0,416.5,419.45,2223406
2025-03-27,416.5,424.7,412.65,421.55,1408360
2025-03-28,424.0,429.05,421.0,423.35,1010057
2025-04-01,421.0,427.0,415.5,423.9,937453
2025-04-02,421.4,437.5,416.5,435.4,1535518
2025-04-03,430.0,444.15,427.0,430.0,1497018
2025-04-04,427.95,430.75,411.5,424.2,1182065
2025-04-07,375.0,397.0,362.05,392.85,2044419
2025-04-08,405.85,410.9,396.2,401.0,1640366
2025-04-09,400.0,409.5,392.1,398.15,1630502
2025-04-11,402.0,417.5,402.0,414.6,1531078
2025-04-15,421.0,432.5,417.55,427.95,1099066
2025-04-16,430.05,434.9,425.6,432.95,1353412
2025-04-17,433.2,439.65,430.7,434.2,1404474
2025-04-21,440.2,443.4,425.8,426.75,2622187
2025-04-22,429.65,429.75,420.1,421.7,1413442
2025-04-23,424.3,427.7,408.85,409.95,1791765
2025-04-24,411.0,411.95,401.6,402.25,1381383
2025-04-25,405.0,405.65,379.15,387.0,2128708
2025-04-28,386.6,397.1,378.35,383.15,1902706
2025-04-29,384.95,389.5,368.0,369.1,3352735
2025-04-30,370.0,371.7,356.0,359.65,2480225
2025-05-02,359.6,363.6,354.45,360.85,1397069
2025-05-05,362.65,370.85,359.15,369.45,899801
2025-05-06,370.5,374.35,359.8,362.2,1524202
2025-05-07,357.45,366.5,353.75,364.7,1522841
2025-05-08,366.2,373.9,350.0,358.45,1553851
2025-05-09,347.05,368.45,346.85,366.1,1669332
2025-05-12,374.0,379.55,370.0,371.6,1524534
2025-05-13,373.0,378.5,367.25,373.85,1658372
2025-05-14,375.1,383.0,371.85,382.0,1222123
2025-05-15,383.0,392.5,380.65,391.4,1235867
2025-05-16,393.35,397.8,389.0,395.0,1176386
2025-05-19,394.0,408.1,386.65,395.4,2762946
2025-05-20,397.5,400.0,390.6,394.4,1055615
2025-05-21,394.0,397.4,390.15,393.0,814708
2025-05-22,392.0,396.7,389.35,395.3,675785
2025-05-23,397.0,397.0,389.6,392.7,732916
2025-05-26,394.45,405.65,393.75,403.45,1295691
2025-05-27,406.65,411.0,400.3,407.35,1423641
2025-05-28,408.0,408.9,402.9,405.05,594584
2025-05-29,406.35,407.65,401.2,405.2,758738
2025-05-30,407.0,407.0,395.1,398.6,680257
2025-06-02,396.0,399.8,393.7,397.1,603446
2025-06-03,397.1,423.95,397.1,413.75,5640337
2025-06-04,415.8,420.6,409.55,418.5,1326761
2025-06-05,419.9,432.45,417.7,427.4,3256894
2025-06-06,428.05,431.7,413.35,415.7,982637
2025-06-09,417.4,421.75,410.65,412.15,1484872
2025-06-10,413.8,416.75,407.25,407.95,830561
2025-06-11,409.3,413.4,404.3,410.7,879750
2025-06-12,414.85,415.2,396.1,401.5,1351554
2025-06-13,390.4,409.95,390.4,404.05,1536959
2025-06-16,404.1,405.0,392.8,402.05,771410
2025-06-17,401.6,404.5,389.45,392.05,1324515
2025-06-18,392.05,395.15,386.7,388.3,667662
2025-06-19,388.1,393.0,380.0,388.0,1294901
2025-06-20,388.0,393.0,384.0,390.95,797183
2025-06-23,388.25,390.95,384.4,388.55,483183
2025-06-24,394.6,398.4,392.0,392.7,619394
2025-06-25,394.0,417.4,393.3,413.8,2802701
2025-06-26,415.0,420.75,410.05,419.2,1581772
2025-06-27,419.25,425.0,415.0,417.0,2151928
2025-06-30,419.0,422.0,414.0,418.9,879720
