date,open,high,low,close,volume
2025-03-24,5020.0,5061.7,4977.05,5025.45,1060661
2025-03-25,5069.8,5198.8,5060.0,5152.15,1184080
2025-03-26,5168.0,5221.0,5112.9,5150.85,475269
2025-03-27,5138.05,5255.0,4990.0,5216.55,633018
2025-03-28,5235.65,5258.0,5107.55,5147.95,449930
2025-04-01,5091.0,5159.7,5062.45,5102.6,281666
2025-04-02,5112.0,5305.0,4985.0,5285.75,661417
2025-04-03,5200.0,5264.9,5164.6,5203.75,320013
2025-04-04,5203.0,5203.0,4981.0,5040.75,421875
2025-04-07,4650.0,4964.0,4567.0,4934.6,497046
2025-04-08,4990.0,5100.0,4925.0,4986.15,283588
2025-04-09,4985.6,5028.3,4890.0,5005.0,195312
2025-04-11,5090.0,5178.7,5045.0,5093.25,338270
2025-04-15,5180.0,5261.5,5124.0,5249.5,383428
2025-04-16,5258.0,5335.0,5222.5,5299.5,301161
2025-04-17,5288.0,5336.5,5245.5,5293.0,259527
2025-04-21,5301.0,5438.0,5280.0,5412.5,224054
2025-04-22,5450.5,5569.0,5436.5,5506.0,633870
2025-04-23,5585.0,5625.5,5462.0,5614.5,374348
2025-04-24,5614.5,5630.0,5490.0,5512.5,264678
2025-04-25,5540.0,5585.0,5386.0,5507.0,669725
2025-04-28,5483.5,5617.5,5455.5,5598.0,278907
2025-04-29,5598.0,5694.0,5553.5,5570.5,264199
2025-04-30,5570.5,5604.0,5464.0,5520.0,248922
2025-05-02,5499.0,5584.0,5445.5,5465.0,188875
2025-05-05,5535.5,5809.0,5535.5,5795.0,669348
2025-05-06,5829.5,6077.5,5725.0,5906.0,2645488
2025-05-07,5899.5,6058.0,5826.0,5886.5,807608
2025-05-08,5938.0,5948.0,5725.0,5765.0,394295
2025-05-09,5600.0,5788.5,5600.0,5766.5,356853
2025-05-12,5964.5,6017.5,5881.5,5992.5,305557
2025-05-13,5992.5,6054.5,5952.5,6007.5,222006
2025-05-14,6008.0,6035.0,5911.5,5981.0,272460
2025-05-15,6009.0,6070.0,5987.0,6042.0,252483
2025-05-16,6069.0,6116.0,6016.5,6094.5,233003
