date,open,high,low,close,volume
2025-03-24,182.85,189.9,181.0,184.71,316487
2025-03-25,186.87,186.87,175.01,175.65,245777
2025-03-26,176.65,179.18,170.0,171.5,160573
2025-03-27,172.0,181.8,169.0,175.35,337727
2025-03-28,175.7,180.9,171.0,172.62,264555
2025-04-01,172.6,178.45,170.32,176.21,135459
2025-04-02,176.4,179.31,171.18,176.46,156435
2025-04-03,175.25,181.0,173.31,179.74,110257
2025-04-04,179.7,179.7,168.0,169.27,227193
2025-04-07,145.0,160.99,145.0,159.17,260872
2025-04-08,163.5,169.09,157.1,158.1,296019
2025-04-09,159.5,161.98,149.5,151.39,356189
2025-04-11,160.5,162.3,151.86,153.82,369707
2025-04-15,156.44,168.25,156.03,167.37,421105
2025-04-16,167.99,176.0,166.11,172.69,319521
2025-04-17,173.0,174.9,167.92,169.6,216212
2025-04-21,174.5,175.99,168.28,173.28,200179
2025-04-22,174.2,177.0,171.25,174.94,183339
2025-04-23,177.55,179.75,171.51,175.25,207370
2025-04-24,176.45,184.5,174.4,175.03,456581
2025-04-25,176.4,178.29,163.41,166.36,349010
2025-04-28,168.85,169.8,161.55,163.27,234573
2025-04-29,164.7,169.51,159.5,160.95,327586
2025-04-30,161.0,161.92,153.8,154.98,259512
2025-05-02,154.98,158.25,153.22,155.81,181876
2025-05-05,156.33,160.0,153.41,158.72,156475
2025-05-06,159.33,161.29,151.25,152.17,152519
2025-05-07,151.0,157.7,148.56,156.07,181474
2025-05-08,157.41,162.48,153.58,155.76,238731
2025-05-09,150.0,156.0,150.0,154.78,131457
2025-05-12,162.95,168.6,160.31,167.51,325646
2025-05-13,168.5,172.14,165.41,169.71,156301
2025-05-14,171.5,174.14,169.15,172.45,204676
2025-05-15,171.0,176.84,171.0,174.41,234952
2025-05-16,175.5,176.12,170.27,173.49,252633
2025-05-19,177.95,183.0,175.7,177.96,349248
2025-05-20,178.9,179.38,168.21,170.54,186895
2025-05-21,168.85,170.46,166.12,169.56,238641
2025-05-22,169.01,171.45,166.68,169.97,92215
2025-05-23,170.9,173.88,169.2,173.27,131134
2025-05-26,174.63,176.48,170.92,173.47,341808
2025-05-27,174.5,174.98,170.0,171.29,158241
2025-05-28,177.0,200.64,175.99,190.69,7372259
2025-05-29,193.9,200.7,192.55,195.89,1358125
2025-05-30,197.68,197.79,189.4,192.13,412827
2025-06-02,193.0,210.0,190.11,208.31,1930142
2025-06-03,210.0,214.65,204.93,209.68,1129084
2025-06-04,212.7,230.0,207.55,219.1,3572142
2025-06-05,219.95,227.86,212.53,223.87,1243508
2025-06-06,224.0,230.4,219.76,227.31,888044
2025-06-09,229.45,229.45,220.45,221.79,422134
2025-06-10,226.5,226.5,218.69,219.8,370052
2025-06-11,220.58,228.9,217.0,219.87,437457
2025-06-12,219.87,220.46,207.5,208.64,462808
2025-06-13,193.0,211.79,193.0,205.05,438423
2025-06-16,205.01,211.99,198.0,210.1,704633
2025-06-17,211.69,212.13,201.63,203.62,350152
2025-06-18,204.0,204.68,199.1,200.53,227450
2025-06-19,201.41,205.5,193.1,195.25,299226
2025-06-20,195.49,202.6,195.47,201.74,319457
2025-06-23,198.7,203.89,196.98,202.83,345663
2025-06-24,208.0,208.1,200.0,202.03,318952
2025-06-25,201.5,210.31,201.5,207.36,338833
2025-06-26,208.35,212.0,203.1,205.33,225107
2025-06-27,206.45,207.5,202.1,203.98,232810
2025-06-30,203.99,209.43,202.1,204.22,247453
2025-07-01,205.2,219.0,205.1,214.16,1063512
2025-07-02,215.39,219.44,213.0,216.51,820680
2025-07-03,217.16,217.75,210.0,210.67,268900
2025-07-04,211.65,215.71,209.5,213.56,279260
2025-07-07,213.4,214.59,206.85,207.76,172476
2025-07-08,209.0,211.0,206.45,210.53,192657
2025-07-09,211.42,221.0,210.4,218.26,370351
2025-07-10,217.82,219.35,211.99,214.59,290672
2025-07-11,213.6,215.29,209.11,210.1,123802
2025-07-14,210.1,211.37,206.27,207.49,108433
2025-07-15,208.0,211.0,206.5,207.16,157199
2025-07-16,208.13,214.27,208.13,209.0,168745
2025-07-17,209.0,210.39,203.35,204.61,188251
2025-07-18,205.85,207.44,199.51,201.23,157144
2025-07-21,201.2,201.2,196.48,198.0,189094
2025-07-22,200.0,201.93,197.0,197.76,174589
2025-07-23,197.93,198.89,193.8,195.95,134675
2025-07-24,196.8,200.0,193.16,195.85,139100
2025-07-25,195.7,195.7,186.25,188.12,148703
2025-07-28,188.0,188.99,180.0,181.73,181605
2025-07-29,183.71,188.99,179.47,186.93,186533
2025-07-30,188.8,188.8,180.5,181.84,155485
2025-07-31,179.0,184.44,177.91,180.71,183742
2025-08-01,179.0,183.14,175.0,176.06,128541
2025-08-04,176.06,179.04,175.13,178.46,123868
2025-08-05,179.23,180.24,174.0,175.03,102544
2025-08-06,176.79,181.76,173.06,174.01,155494
2025-08-07,173.9,176.07,167.41,173.62,152037
2025-08-08,175.0,178.43,172.1,173.65,108528
2025-08-11,175.4,175.4,169.64,172.52,77357
2025-08-12,172.6,179.17,170.54,171.44,150814
2025-08-13,172.2,174.59,169.1,170.72,80701
2025-08-14,170.98,171.9,166.8,168.46,94366
2025-08-18,173.98,182.8,171.84,178.15,218601
2025-08-19,178.35,190.44,177.39,185.12,523445
2025-08-20,184.9,186.53,181.01,181.72,116993
2025-08-21,183.15,184.99,178.55,180.63,113284
2025-08-22,180.0,182.5,174.12,181.43,134934
2025-08-25,182.13,182.16,178.34,179.72,64916
2025-08-26,179.72,179.72,172.5,174.07,124284
2025-08-28,175.5,175.5,170.0,170.63,141399
2025-08-29,172.0,173.72,170.07,170.91,63954
2025-09-01,171.88,173.69,168.57,171.87,106363
2025-09-02,171.87,179.63,170.6,174.74,159719
2025-09-03,174.7,179.25,174.35,178.01,95506
2025-09-04,181.8,186.9,179.0,179.31,172678
2025-09-05,180.73,183.95,177.05,183.02,99649
2025-09-08,184.8,219.62,178.5,219.62,9835329
2025-09-09,228.0,262.0,226.09,254.93,45613410
2025-09-10,244.91,246.0,229.43,232.72,6358573
2025-09-11,225.6,232.72,214.55,221.56,3581711
2025-09-12,227.45,238.8,222.5,227.94,5567780
2025-09-15,231.99,232.0,217.1,219.4,1283624
2025-09-16,221.78,222.99,215.0,216.95,947921
2025-09-17,218.0,224.99,215.23,218.78,1075567
2025-09-18,223.0,223.0,215.0,216.46,447653
2025-09-19,215.0,218.36,209.5,210.32,653978
2025-09-22,210.0,223.2,209.55,218.41,1829238
2025-09-23,219.8,222.28,212.13,214.7,635341
2025-09-24,214.47,214.47,207.9,209.31,423837
2025-09-25,209.31,211.35,200.17,201.16,505520
2025-09-26,200.99,202.95,194.32,197.05,385046
2025-09-29,199.05,201.15,191.35,194.25,291245
2025-09-30,197.0,202.25,190.38,193.66,394191
2025-10-01,193.46,203.0,192.41,199.4,358780
2025-10-03,202.5,204.44,196.94,202.66,318199
2025-10-06,204.75,205.9,198.01,199.78,226500
2025-10-07,200.0,201.1,197.42,198.67,129785
2025-10-08,199.0,199.96,193.55,194.62,167401
2025-10-09,196.16,196.16,192.3,193.74,124460
2025-10-10,195.16,196.55,192.6,193.87,142234
2025-10-13,193.0,193.06,189.03,190.71,156791
2025-10-14,191.0,191.6,185.55,186.83,223964
2025-10-15,187.91,190.4,187.01,189.56,147706
2025-10-16,192.0,193.3,189.56,191.36,121845
2025-10-17,191.5,192.86,186.5,187.94,133724
2025-10-20,188.35,192.53,186.56,190.18,194836
2025-10-21,191.29,191.95,181.35,186.89,82384
2025-10-23,192.5,198.79,191.0,192.55,1076759
2025-10-24,194.1,194.29,189.0,190.82,142538
2025-10-27,190.2,190.79,185.9,187.35,204591
2025-10-28,188.41,188.96,186.5,187.65,79596
2025-10-29,187.0,190.9,187.0,190.05,133012
2025-10-30,190.05,190.59,188.0,188.71,80737
2025-10-31,188.71,190.12,185.74,186.64,150325
2025-11-03,186.64,188.66,185.2,186.2,131737
2025-11-04,187.26,187.51,182.25,183.14,71760
2025-11-06,185.9,186.75,177.4,178.83,163096
2025-11-07,178.83,182.13,174.99,179.42,125692
2025-11-10,180.0,180.0,176.01,177.04,78187
2025-11-11,177.22,182.0,175.32,178.5,123817
2025-11-12,173.68,179.5,173.0,179.0,218808
2025-11-13,180.0,192.0,179.0,188.43,996905
2025-11-14,188.8,192.0,184.15,187.73,192948
2025-11-17,187.0,193.95,184.15,192.15,282869
2025-11-18,190.26,191.36,185.15,186.32,185365
2025-11-19,187.25,190.7,183.55,186.2,164349
2025-11-20,186.0,187.6,179.52,183.89,210997
2025-11-21,183.89,184.33,178.1,179.51,80584
2025-11-24,180.49,180.55,172.62,175.29,167218
2025-11-25,172.65,176.37,172.11,173.69,94070
2025-11-26,174.73,177.96,174.73,176.99,62975
2025-11-27,177.85,179.88,176.1,177.16,67022
2025-11-28,177.7,178.49,172.95,174.65,106485
2025-12-01,174.65,182.18,174.65,177.3,154161
2025-12-02,177.47,178.06,174.76,176.51,48151
2025-12-03,177.89,177.89,170.0,170.81,143598
2025-12-04,171.0,173.98,167.62,168.72,116559
2025-12-05,170.1,170.47,160.0,160.94,219418
2025-12-08,160.94,162.96,152.2,153.51,238551
2025-12-09,154.27,156.42,149.27,153.75,211937
2025-12-10,153.8,158.75,151.82,155.54,218564
2025-12-11,155.75,158.19,151.82,155.01,114071
2025-12-12,153.75,157.36,153.55,155.74,141550
2025-12-15,156.8,156.8,153.56,155.4,133701
2025-12-16,154.9,155.5,152.1,152.49,80231
2025-12-17,153.02,153.17,148.0,149.39,186011
2025-12-18,149.5,151.58,146.7,148.69,147935
2025-12-19,148.69,173.8,148.69,166.98,3343187
2025-12-22,166.52,176.5,163.0,164.66,812929
2025-12-23,164.7,165.5,162.69,164.12,195097
2025-12-24,163.5,168.99,161.79,162.63,135762
2025-12-26,162.11,165.66,162.11,163.56,128064
2025-12-29,163.5,178.4,163.29,167.87,1977134
2025-12-30,167.7,175.78,165.83,167.97,724332
2025-12-31,168.7,169.89,165.5,166.39,223259
2026-01-01,166.62,178.4,166.44,172.41,888322
2026-01-02,173.79,176.5,168.7,169.97,401653
2026-01-05,169.5,169.51,166.33,166.85,160040
2026-01-06,166.5,168.6,164.34,166.49,147709
2026-01-07,166.3,170.5,165.7,166.58,224328
2026-01-08,166.9,170.88,158.51,159.88,310178
2026-01-09,158.54,159.84,153.47,155.0,192499
2026-01-12,153.0,156.79,149.11,153.33,199967
2026-01-13,154.85,161.39,151.67,152.19,307984
2026-01-14,152.5,154.31,151.1,153.29,95422
2026-01-16,153.0,155.69,147.1,149.6,199133
2026-01-19,147.9,151.92,142.39,144.48,297774
2026-01-20,143.9,146.78,137.31,139.89,260819
2026-01-21,137.8,140.17,133.35,135.45,266462
2026-01-22,137.8,141.95,136.16,137.77,142366
2026-01-23,138.81,138.86,134.0,134.99,85464
2026-01-27,136.0,136.76,130.35,131.44,183319
2026-01-28,135.8,138.5,132.73,137.17,164000
2026-01-29,138.27,163.35,138.09,150.72,11949023
2026-01-30,148.95,151.7,143.0,147.04,790700
2026-02-01,147.04,152.29,142.4,144.07,203908
2026-02-02,143.0,144.48,137.1,141.21,191782
2026-02-03,150.0,154.0,145.0,146.69,306616
2026-02-04,147.2,153.8,145.21,149.76,263607
2026-02-05,151.11,154.9,147.2,150.85,236487
2026-02-06,149.3,149.99,146.5,149.27,108777
2026-02-09,150.27,155.0,149.64,153.96,261956
2026-02-10,154.45,161.05,153.12,155.52,300085
2026-02-11,156.19,156.9,151.63,152.47,182587
2026-02-12,152.99,166.4,149.5,157.9,2761558
2026-02-13,156.0,156.9,151.85,153.47,243359
2026-02-16,153.48,154.51,150.36,151.1,175396
2026-02-17,150.0,156.25,149.99,152.66,199067
2026-02-18,153.34,156.42,151.55,152.46,162526
2026-02-19,152.0,155.9,145.05,146.32,305962
2026-02-20,146.6,146.63,143.1,144.13,163310
2026-02-23,145.0,146.8,141.78,142.44,142812
2026-02-24,141.0,143.2,139.5,141.51,143072
2026-02-25,141.51,143.7,137.2,138.04,225746
2026-02-26,138.58,142.47,137.35,138.6,209547
2026-02-27,138.0,138.69,135.1,136.0,161030
2026-03-02,124.55,134.29,124.55,131.64,267614
2026-03-04,129.99,129.99,125.0,126.49,179757
2026-03-05,126.21,135.0,124.74,132.74,374540
2026-03-06,131.9,132.57,126.6,127.89,179525
2026-03-09,122.41,127.81,122.35,123.24,120041
2026-03-10,125.95,128.6,125.41,127.89,129292
2026-03-11,128.6,131.0,124.0,124.94,348928
2026-03-12,123.0,129.6,122.16,126.19,231206
2026-03-13,124.8,125.59,120.0,120.56,144785
2026-03-16,120.56,121.52,115.05,117.05,179103
2026-03-17,118.8,121.55,117.15,119.04,165155
2026-03-18,119.74,123.34,119.72,121.32,287063
2026-03-19,118.75,120.0,115.8,116.22,123277
2026-03-20,117.5,123.15,116.44,117.45,262289
2026-03-23,115.69,115.7,107.1,108.69,253960
2026-03-24,110.3,126.5,110.05,117.39,21549953
2026-03-25,117.98,123.85,116.71,119.26,1623708
2026-03-27,116.64,119.09,112.0,113.44,562080
2026-03-30,113.0,113.43,103.98,105.09,528192
2026-04-01,110.55,119.8,110.55,117.51,481300
