date,open,high,low,close,volume
2025-03-24,1565.0,1574.35,1525.25,1535.1,47707
2025-03-25,1537.0,1548.0,1506.0,1531.0,60191
2025-03-26,1540.65,1549.0,1507.65,1527.0,33979
2025-03-27,1513.1,1643.8,1513.1,1627.7,80219
2025-03-28,1645.2,1728.0,1643.0,1705.05,65542
2025-04-01,1723.95,1805.5,1714.0,1787.25,61644
2025-04-02,1799.0,1838.0,1763.7,1828.55,39933
2025-04-03,1799.3,1845.95,1792.3,1818.55,39484
2025-04-04,1817.25,1824.95,1731.05,1745.3,39071
2025-04-07,1501.0,1720.85,1501.0,1693.5,49660
2025-04-08,1750.0,1806.9,1733.05,1765.5,31081
2025-04-09,1785.0,1785.0,1721.2,1728.95,13115
2025-04-11,1750.0,1832.6,1750.0,1817.5,68513
2025-04-15,1860.0,1905.0,1840.2,1869.1,90279
2025-04-16,1870.0,1870.0,1815.3,1837.2,38898
2025-04-17,1800.0,1864.4,1793.1,1843.1,50073
2025-04-21,1895.0,1924.0,1844.5,1893.1,74920
2025-04-22,1921.5,1928.7,1870.5,1882.4,48120
2025-04-23,1892.3,1950.0,1854.5,1907.6,52105
2025-04-24,1879.0,1941.8,1879.0,1925.4,51874
2025-04-25,1944.0,1944.0,1841.0,1899.4,44569
2025-04-28,1899.7,2037.8,1893.6,1981.9,221181
2025-04-29,2008.0,2043.9,1991.5,2022.4,104957
2025-04-30,2033.0,2035.1,1954.1,1971.2,49656
2025-05-02,1971.0,2054.0,1954.4,2049.3,218543
2025-05-05,2114.9,2120.0,1986.5,2020.7,405600
2025-05-06,2050.0,2051.0,1861.1,1879.4,192022
2025-05-07,1881.8,1981.1,1855.5,1962.2,123085
2025-05-08,1975.0,2187.0,1950.0,2124.8,837241
2025-05-09,2100.0,2185.0,2075.4,2115.3,285739
2025-05-12,2190.0,2220.0,2161.0,2206.3,214786
2025-05-13,2223.9,2234.1,2171.4,2211.7,130680
2025-05-14,2219.4,2349.0,2189.9,2335.2,277325
2025-05-15,2380.0,2386.0,2308.9,2341.2,115850
2025-05-16,2335.0,2382.8,2300.0,2320.8,66694
2025-05-19,2372.8,2394.0,2273.1,2286.3,127345
2025-05-20,2294.4,2341.5,2247.0,2279.3,96732
