date,open,high,low,close,volume
2025-11-18,145.0,161.99,137.35,155.24,273389694
2025-11-19,156.5,161.0,138.54,143.28,160504001
2025-11-20,140.76,151.75,121.22,141.93,212737569
2025-11-21,143.0,149.59,128.55,134.31,162327758
2025-11-24,133.0,135.64,127.05,129.52,56559525
2025-11-25,130.0,138.19,129.5,135.59,90283295
2025-11-26,136.5,137.7,130.6,131.89,25053449
2025-11-27,132.0,133.39,125.0,126.99,18617289
2025-11-28,126.99,127.78,123.25,124.89,22042292
2025-12-01,125.97,144.2,123.3,134.69,188839751
2025-12-02,134.75,138.44,132.6,136.76,56375555
2025-12-03,136.21,139.0,130.51,134.94,29666762
2025-12-04,136.29,138.88,133.91,135.86,20817682
2025-12-05,135.85,137.0,134.52,135.9,10162538
2025-12-08,135.39,141.33,134.51,138.44,30171732
2025-12-09,142.75,145.6,135.0,137.89,82074266
2025-12-10,137.0,137.84,129.37,131.83,17891019
2025-12-11,130.11,131.25,128.0,129.92,13329935
2025-12-12,130.5,137.16,129.5,135.99,19793538
2025-12-15,134.59,137.47,129.5,132.06,17390346
2025-12-16,132.2,139.08,132.01,137.4,20588728
2025-12-17,135.09,138.5,132.5,133.81,8706574
2025-12-18,134.6,135.2,129.47,130.88,7255942
2025-12-19,132.23,134.81,130.05,132.29,10017807
2025-12-22,133.9,139.99,132.83,137.17,15555748
2025-12-23,136.49,136.74,133.63,134.51,4638684
2025-12-24,134.5,134.5,131.92,132.45,4903602
2025-12-26,133.1,133.75,130.74,131.78,4296717
2025-12-29,132.0,132.79,129.2,130.79,3904582
2025-12-30,131.39,131.82,127.88,129.39,4311502
2025-12-31,129.01,133.5,128.1,132.81,6734740
2026-01-01,132.1,134.3,131.7,132.63,2300067
2026-01-02,132.5,136.08,130.51,131.12,4678330
2026-01-05,131.12,131.67,128.0,129.39,2796481
2026-01-06,129.97,130.55,127.85,129.03,3207818
2026-01-07,129.69,130.2,127.5,128.47,3668336
2026-01-08,128.55,129.6,126.3,128.48,3818873
2026-01-09,128.48,132.48,127.16,129.25,7242665
2026-01-12,128.0,129.0,126.62,128.64,2280880
2026-01-13,128.0,130.68,128.0,128.4,1438224
2026-01-14,129.06,131.76,128.41,131.2,2927924
2026-01-16,131.0,131.0,126.5,127.24,2845140
2026-01-19,127.37,127.48,118.6,121.3,3474352
2026-01-20,121.64,121.64,112.0,118.5,12398348
2026-01-21,119.0,119.26,113.07,113.82,3587978
2026-01-22,115.0,136.5,114.71,132.55,55541695
2026-01-23,130.0,130.77,125.0,126.5,18584561
2026-01-27,126.45,126.45,119.25,121.22,5238991
2026-01-28,121.3,126.99,121.23,124.92,4518521
2026-01-29,124.9,126.0,120.55,121.71,2634666
2026-01-30,121.01,121.11,119.0,119.45,1974674
2026-02-01,120.11,125.49,115.83,119.47,3139846
2026-02-02,120.5,120.56,115.8,117.87,1995890
2026-02-03,121.98,121.98,118.06,119.41,4042689
2026-02-04,119.41,124.21,117.36,121.89,4126189
2026-02-05,122.73,127.0,120.8,121.56,7835497
2026-02-06,124.0,124.0,114.26,116.16,12407107
2026-02-09,118.0,118.4,114.05,114.74,4610842
2026-02-10,114.71,115.2,106.9,108.07,13615028
2026-02-11,108.95,110.43,106.1,107.38,11803886
2026-02-12,106.95,106.95,99.55,100.36,16524925
2026-02-13,100.69,111.49,95.43,107.33,85349296
2026-02-16,107.34,108.6,103.21,104.68,11422872
2026-02-17,104.2,106.7,102.01,104.22,7247092
2026-02-18,104.1,104.81,101.2,102.34,4189285
2026-02-19,102.59,104.96,99.0,99.73,7357493
2026-02-20,99.73,102.64,96.9,100.45,10769523
2026-02-23,102.75,102.75,95.08,97.01,8177897
2026-02-24,97.09,97.28,88.62,91.05,22619964
2026-02-25,91.5,97.65,90.96,91.8,15798886
2026-02-26,92.0,92.09,88.1,89.3,10455142
2026-02-27,89.25,90.42,85.2,86.57,12421525
2026-03-02,81.51,83.86,80.28,80.81,10730877
2026-03-04,79.99,80.79,77.72,79.56,25962965
2026-03-05,80.1,84.12,78.69,82.68,19448469
2026-03-06,82.48,84.37,80.75,82.99,11032603
2026-03-09,80.99,85.0,78.81,83.33,10899991
2026-03-10,83.5,84.9,82.75,83.31,5270033
2026-03-11,84.26,85.12,82.25,83.17,4428311
2026-03-12,83.31,88.6,82.08,84.29,11193515
2026-03-13,84.66,85.4,83.06,84.08,4703833
2026-03-16,84.2,84.84,80.6,83.72,10408408
2026-03-17,85.0,85.05,79.4,80.25,4521133
2026-03-18,80.8,87.78,80.6,86.82,8315494
2026-03-19,82.91,88.08,82.65,86.25,11141960
2026-03-20,86.93,95.19,86.49,89.95,25398502
2026-03-23,87.56,88.76,84.59,86.78,9837397
2026-03-24,89.71,91.18,87.37,87.72,6007417
2026-03-25,88.7,89.75,85.3,86.05,8218541
2026-03-27,86.05,92.75,84.9,89.5,13034464
2026-03-30,87.5,88.79,85.5,87.3,5231885
2026-04-01,87.98,89.9,86.51,89.0,5192147
2026-04-02,87.5,90.5,85.95,89.97,2898130
2026-04-06,89.02,94.28,88.24,93.03,6482752
2026-04-07,92.5,95.8,91.32,95.01,3720032
