date,open,high,low,close,volume
2025-03-24,470.25,470.35,453.1,455.4,439965
2025-03-25,458.0,459.9,434.75,435.7,567448
2025-03-26,435.7,440.85,420.1,423.25,460806
2025-03-27,423.25,439.95,419.4,437.05,611125
2025-03-28,440.0,446.5,432.3,445.0,494281
2025-04-01,445.0,452.65,439.3,449.3,268737
2025-04-02,451.7,456.7,441.65,451.25,142040
2025-04-03,443.25,461.1,443.25,455.8,143976
2025-04-04,453.7,453.7,436.2,446.3,410507
2025-04-07,420.0,441.5,412.85,439.1,315180
2025-04-08,447.75,451.95,437.35,444.9,117812
2025-04-09,444.5,444.75,432.65,438.65,125145
2025-04-11,449.9,454.4,443.8,451.65,147366
2025-04-15,461.9,475.25,455.4,461.15,264547
2025-04-16,464.0,464.3,455.65,458.15,98505
2025-04-17,457.6,461.7,449.0,449.9,195838
2025-04-21,450.0,463.6,449.1,456.1,243759
2025-04-22,460.0,480.5,454.2,476.3,467308
2025-04-23,480.0,483.3,462.1,464.55,439610
2025-04-24,463.9,471.0,458.4,460.45,231262
2025-04-25,463.45,463.45,437.55,442.3,298489
2025-04-28,448.0,451.75,435.75,448.4,137043
2025-04-29,448.4,450.8,443.6,448.2,156498
2025-04-30,450.6,450.6,431.0,433.8,172762
2025-05-02,433.8,450.75,427.0,448.55,208700
2025-05-05,451.0,452.45,444.3,446.45,106852
2025-05-06,446.8,453.35,435.0,438.55,235001
2025-05-07,431.95,440.0,423.0,439.25,100841
2025-05-08,437.0,444.0,425.2,426.6,363096
2025-05-09,422.7,441.9,419.0,439.7,447612
2025-05-12,449.0,465.9,442.5,463.4,289048
2025-05-13,466.0,477.0,459.25,474.3,145029
2025-05-14,478.9,486.6,470.8,481.45,211148
2025-05-15,483.85,491.75,479.8,488.25,147660
2025-05-16,491.75,494.7,484.85,488.8,138868
2025-05-19,490.0,509.0,484.55,505.25,494776
2025-05-20,508.8,524.0,493.1,495.3,343652
2025-05-21,491.05,506.8,488.25,505.05,253539
2025-05-22,504.15,504.45,496.0,502.15,160851
2025-05-23,504.45,509.6,497.0,505.05,79341
2025-05-26,517.6,568.2,511.55,525.4,2242837
2025-05-27,495.0,507.75,469.1,472.05,2115007
2025-05-28,476.0,480.8,465.2,466.4,589577
2025-05-29,465.0,466.3,447.0,448.65,1111555
2025-05-30,450.05,451.95,442.0,443.8,330184
2025-06-02,444.65,458.2,439.6,441.65,745981
2025-06-03,444.65,445.85,434.25,441.65,398883
2025-06-04,442.1,457.65,441.05,455.65,796136
2025-06-05,455.65,455.75,445.3,446.4,275707
2025-06-06,448.55,452.7,444.0,445.0,593505
2025-06-09,447.3,455.45,447.2,449.8,174480
2025-06-10,452.0,454.0,448.5,449.6,297533
2025-06-11,450.2,456.35,448.05,452.35,238788
2025-06-12,455.4,455.4,445.0,446.05,225329
2025-06-13,440.0,444.95,437.7,442.5,182889
2025-06-16,442.35,443.65,426.7,428.7,381855
2025-06-17,429.95,439.6,427.55,429.3,389727
2025-06-18,431.4,438.6,423.7,436.35,230563
2025-06-19,434.15,437.6,426.8,430.75,231744
2025-06-20,428.9,438.2,425.2,432.95,210496
2025-06-23,431.7,436.85,428.8,429.55,165440
2025-06-24,434.9,439.95,430.95,433.3,154633
2025-06-25,433.9,445.5,433.55,443.5,202408
2025-06-26,444.0,447.6,438.55,440.3,178662
2025-06-27,442.45,457.5,437.6,452.75,435428
2025-06-30,457.8,459.85,447.4,457.5,311510
2025-07-01,459.6,460.75,448.6,450.5,247219
2025-07-02,451.9,452.2,438.0,440.1,805173
2025-07-03,448.0,482.0,447.6,464.35,3501137
2025-07-04,467.95,468.6,455.1,462.15,471982
2025-07-07,459.8,464.4,457.0,459.4,202284
2025-07-08,459.4,476.8,458.15,468.8,990319
2025-07-09,470.6,470.8,459.5,463.7,226967
2025-07-10,467.5,485.0,464.7,480.9,1117298
2025-07-11,477.75,485.0,469.0,470.8,460200
