date,open,high,low,close,volume
2025-03-24,1085.05,1095.0,1042.15,1051.35,435487
2025-03-25,1054.65,1056.8,1004.0,1039.85,475983
2025-03-26,1047.55,1047.55,1021.95,1032.6,213250
2025-03-27,1030.0,1042.5,1011.0,1040.45,224735
2025-03-28,1046.85,1057.3,1026.05,1046.65,213129
2025-04-01,1040.0,1051.8,1019.0,1029.55,112973
2025-04-02,1038.9,1064.2,1015.0,1060.1,142630
2025-04-03,1053.55,1077.0,1030.0,1046.9,285044
2025-04-04,1046.05,1054.95,1003.55,1010.35,166480
2025-04-07,952.3,977.0,914.05,967.85,214918
2025-04-08,1009.0,1009.0,967.1,1003.4,125192
2025-04-09,999.0,1027.85,975.4,1023.0,105900
2025-04-11,1038.45,1048.8,1022.1,1042.55,100140
2025-04-15,1070.0,1083.7,1055.0,1062.0,137116
2025-04-16,1060.0,1075.0,1038.1,1043.1,140945
2025-04-17,1048.0,1088.8,1046.0,1055.6,167918
2025-04-21,1070.0,1070.0,1037.6,1053.8,206276
2025-04-22,1054.2,1068.6,1043.3,1046.5,113198
2025-04-23,1055.0,1059.5,1037.2,1052.2,136398
2025-04-24,1048.1,1067.8,1027.0,1033.1,91361
2025-04-25,1034.9,1050.0,1002.0,1011.8,141901
2025-04-28,1010.0,1017.0,996.3,1004.8,95541
2025-04-29,1014.8,1024.2,995.0,999.2,64333
2025-04-30,999.2,1002.6,956.3,962.2,116145
2025-05-02,962.95,973.15,937.1,941.2,125054
2025-05-05,950.45,965.5,935.55,956.8,143923
2025-05-06,959.0,963.7,912.4,918.65,102467
2025-05-07,921.65,998.7,911.35,975.5,568284
2025-05-08,983.2,1019.5,932.45,942.9,223550
2025-05-09,918.0,960.0,916.4,956.9,204970
2025-05-12,980.85,1019.0,980.85,1004.55,205916
2025-05-13,952.0,1019.0,931.15,1010.0,784196
2025-05-14,1010.0,1014.65,970.0,979.7,289428
2025-05-15,985.0,1029.5,972.55,1008.9,582034
2025-05-16,1009.95,1050.45,1005.0,1008.8,262636
2025-05-19,1009.0,1045.0,1001.55,1022.55,146691
