date,open,high,low,close,volume
2025-03-24,25.96,26.54,23.92,25.49,188571
2025-03-25,25.49,25.61,23.97,25.61,51429
2025-03-26,26.1,26.1,24.62,25.2,60000
2025-03-27,24.38,26.1,23.33,26.07,2717143
2025-03-28,25.55,26.72,24.73,26.54,462857
2025-04-01,25.96,25.96,24.38,25.43,214286
2025-04-02,25.08,25.84,25.08,25.84,68571
2025-04-03,24.97,26.13,24.67,25.96,120000
2025-04-04,25.43,25.43,24.67,24.97,77143
2025-04-07,24.5,24.56,23.33,24.56,51429
2025-04-08,23.92,24.91,23.92,24.91,137143
2025-04-09,24.15,24.67,23.45,24.44,162857
2025-04-11,23.33,26.07,20.42,25.78,1482857
2025-04-15,25.14,26.83,24.97,26.4,308571
2025-04-16,26.4,26.83,26.4,26.54,154286
2025-04-17,26.72,27.42,26.54,27.1,145714
2025-04-21,27.42,27.42,27.42,27.42,8571
2025-04-22,27.42,28.29,27.42,27.5,600000
2025-04-23,26.8,28.0,26.8,27.71,128571
2025-04-24,28.23,28.23,27.71,28.12,162857
2025-04-25,27.24,27.59,26.86,27.59,60000
2025-04-28,27.12,28.87,27.12,28.52,257143
2025-04-29,28.58,28.58,27.36,28.17,188571
2025-04-30,28.41,29.46,28.29,29.22,441429
2025-05-02,29.34,29.4,28.03,28.82,115714
2025-05-05,28.58,29.34,28.41,29.11,488572
2025-05-06,28.32,28.41,27.5,27.85,60000
2025-05-07,27.12,28.7,27.12,28.32,51429
2025-05-08,27.47,27.47,25.67,27.42,467143
2025-05-09,26.83,29.69,26.25,29.17,441429
2025-05-12,29.17,30.22,28.29,30.07,325714
2025-05-13,29.98,30.57,29.46,30.1,124286
2025-05-14,30.16,31.21,29.9,30.95,214286
2025-05-15,30.95,31.32,30.95,31.24,145714
2025-05-16,31.3,31.79,31.3,31.79,210000
2025-05-19,31.79,32.67,31.44,31.79,167143
2025-05-20,30.92,32.08,30.68,31.79,137143
2025-05-21,31.79,31.97,31.47,31.97,60000
2025-05-22,31.91,31.91,31.79,31.79,17143
2025-05-23,31.5,32.0,31.5,31.97,55714
2025-05-26,31.97,31.97,31.12,31.53,107143
2025-05-27,31.53,31.91,31.09,31.76,102857
2025-05-28,31.5,32.08,31.5,31.91,1774286
2025-05-29,32.61,32.61,30.8,32.08,445714
2025-05-30,31.67,32.87,31.56,32.58,600000
2025-06-02,32.58,32.58,31.79,31.94,42857
2025-06-03,31.79,32.02,31.73,32.0,68571
2025-06-04,32.08,32.08,31.27,32.08,51429
2025-06-05,31.79,31.97,31.06,31.41,257143
2025-06-06,31.41,31.73,31.03,31.62,60000
2025-06-09,31.79,32.08,31.12,31.7,985714
2025-06-10,32.02,32.08,31.56,31.79,960000
2025-06-11,31.73,32.2,30.74,31.76,882857
2025-06-12,32.02,32.08,31.53,32.08,1787143
2025-06-13,31.67,31.67,31.47,31.47,34286
2025-06-16,31.47,32.58,31.47,32.29,1144286
2025-06-17,32.29,32.4,32.08,32.2,42857
2025-06-18,32.02,32.2,31.85,32.0,42857
2025-06-19,31.7,31.79,30.89,31.32,64286
