date,open,high,low,close,volume
2025-03-24,56.15,58.8,55.26,55.57,455836
2025-03-25,55.62,56.28,55.0,55.17,312506
2025-03-26,55.0,56.25,52.62,52.96,706708
2025-03-27,53.0,54.21,52.02,53.08,644576
2025-03-28,53.28,54.46,51.68,52.12,577418
2025-04-01,52.5,54.0,52.25,53.6,207416
2025-04-02,54.08,54.53,52.73,53.92,111336
2025-04-03,53.8,56.42,53.5,56.02,456040
2025-04-04,56.02,56.02,53.41,54.98,307514
2025-04-07,50.5,53.44,50.5,53.06,349732
2025-04-08,53.85,55.85,53.1,54.97,215478
2025-04-09,54.16,54.8,53.64,54.62,57638
2025-04-11,55.08,56.2,54.53,54.74,80198
2025-04-15,55.48,57.4,55.23,56.36,148666
2025-04-16,55.65,56.95,55.5,55.85,98378
2025-04-17,55.8,56.5,55.08,56.1,119768
2025-04-21,56.25,57.49,56.25,57.05,236118
2025-04-22,56.8,58.9,56.7,57.3,314306
2025-04-23,57.9,57.9,56.78,57.08,93344
2025-04-24,57.08,57.84,56.8,57.16,74872
2025-04-25,57.7,57.7,55.0,55.6,154512
2025-04-28,54.6,58.0,54.5,56.58,274816
2025-04-29,56.99,57.45,55.0,55.72,109844
2025-04-30,55.94,56.1,54.76,55.02,131870
2025-05-02,55.02,55.53,54.32,55.05,107676
2025-05-05,54.48,55.9,54.0,54.32,108782
2025-05-06,54.3,54.76,52.66,53.26,205346
2025-05-07,53.0,54.4,52.46,53.51,126784
2025-05-08,53.8,54.2,52.4,52.9,87850
2025-05-09,50.75,53.64,50.75,53.47,69276
2025-05-12,53.5,54.95,53.12,54.2,524646
2025-05-13,53.5,54.43,52.5,52.92,322670
2025-05-14,53.0,53.5,52.3,52.66,250986
2025-05-15,53.0,54.34,52.55,52.68,121654
2025-05-16,53.2,58.5,52.8,57.4,801280
2025-05-19,57.85,59.6,57.32,57.96,416766
2025-05-20,58.42,59.5,57.25,58.62,348252
2025-05-21,58.62,59.95,57.8,58.45,214170
2025-05-22,58.5,59.9,58.06,58.94,211970
2025-05-23,58.76,59.28,57.9,58.22,165668
2025-05-26,58.5,62.0,57.75,60.98,520476
2025-05-27,61.0,61.48,59.2,59.6,339236
2025-05-28,59.18,61.9,59.04,60.43,384350
2025-05-29,60.5,61.14,59.5,59.94,150320
2025-05-30,60.0,60.0,58.5,58.72,192380
2025-06-02,58.02,59.5,56.96,57.57,382522
2025-06-03,59.5,59.5,56.28,56.8,504032
2025-06-04,57.1,60.43,55.79,59.6,581424
2025-06-05,59.98,60.59,58.65,58.85,489386
2025-06-06,58.5,60.2,58.3,58.83,324544
2025-06-09,58.75,63.85,58.75,63.02,947244
2025-06-10,63.7,69.05,63.34,68.19,1768252
2025-06-11,68.85,71.75,67.05,71.12,2417186
2025-06-12,72.4,73.42,69.52,70.05,1166056
2025-06-13,67.52,74.7,67.52,73.86,3174556
2025-06-16,73.12,73.95,69.82,71.56,1765758
2025-06-17,72.15,73.24,68.59,69.82,447198
2025-06-18,69.82,70.2,67.42,67.74,226082
2025-06-19,67.75,69.84,66.0,66.6,373782
2025-06-20,66.5,69.9,66.0,68.58,1153344
2025-06-23,68.58,74.2,67.3,72.94,2561452
2025-06-24,73.63,78.0,73.0,73.7,1880374
2025-06-25,74.22,78.48,73.61,76.84,1368304
2025-06-26,76.0,77.38,75.1,75.84,513402
2025-06-27,75.5,77.02,74.44,76.16,806614
2025-06-30,76.16,79.82,75.24,77.89,1854458
2025-07-01,79.5,80.0,77.2,78.75,1849084
2025-07-02,79.0,79.53,77.32,77.78,465946
2025-07-03,77.0,78.44,76.3,76.7,300502
2025-07-04,76.71,78.55,75.71,76.85,264168
2025-07-07,77.4,77.4,74.9,76.23,382250
2025-07-08,77.68,77.9,76.0,76.88,535592
2025-07-09,77.64,77.64,75.78,76.58,269166
2025-07-10,76.5,78.42,76.2,76.65,444916
2025-07-11,76.65,77.45,74.96,76.46,411986
2025-07-14,76.4,76.4,74.0,75.16,260014
2025-07-15,75.3,77.15,75.16,76.46,222956
2025-07-16,76.95,77.35,75.73,76.56,429400
2025-07-17,76.0,76.65,75.6,75.88,178678
2025-07-18,75.88,76.15,74.25,74.94,211718
2025-07-21,75.0,77.04,74.32,75.89,178032
2025-07-22,76.5,76.5,74.8,75.36,138194
2025-07-23,74.85,76.45,72.85,75.71,589522
2025-07-24,76.0,76.3,74.8,75.3,108032
2025-07-25,76.0,76.0,71.8,73.46,193862
2025-07-28,72.5,76.4,68.88,73.98,929650
2025-07-29,73.98,74.68,71.42,72.25,155736
2025-07-30,72.75,73.08,71.42,71.86,59442
2025-07-31,70.24,72.99,70.24,71.1,96424
2025-08-01,70.64,71.78,70.05,70.32,83162
2025-08-04,72.9,74.4,69.08,69.98,86988
2025-08-05,70.5,70.98,68.0,68.24,58178
2025-08-06,68.24,71.01,65.92,69.8,178464
2025-08-07,69.74,70.5,68.3,69.83,75500
2025-08-08,69.1,70.16,68.08,69.09,69906
2025-08-11,68.4,69.95,67.5,69.4,144064
2025-08-12,68.35,70.0,67.88,68.9,113928
2025-08-13,68.54,70.5,68.3,69.96,114384
2025-08-14,69.15,69.81,68.18,69.06,112584
2025-08-18,70.0,70.0,68.5,69.3,116828
2025-08-19,69.87,69.87,67.82,68.56,185642
2025-08-20,68.66,69.37,68.22,68.52,51548
2025-08-21,68.05,69.77,68.0,68.3,113656
2025-08-22,69.0,69.04,67.21,67.8,69468
2025-08-25,67.65,68.47,66.4,67.13,135422
2025-08-26,67.16,67.95,65.08,66.5,90676
2025-08-28,65.05,66.64,64.08,64.89,84128
2025-08-29,64.25,66.5,64.25,65.06,78116
2025-09-01,64.42,68.0,64.42,67.04,89264
2025-09-02,67.7,69.2,67.04,68.15,77888
2025-09-03,68.82,68.82,67.5,67.96,34014
2025-09-04,68.06,68.46,67.04,67.9,29090
2025-09-05,67.5,69.45,66.65,68.08,47564
2025-09-08,68.08,68.45,67.01,68.04,84362
2025-09-09,68.04,68.71,66.46,67.96,39446
2025-09-10,67.0,68.48,66.87,67.47,107848
2025-09-11,67.0,71.78,67.0,68.99,307952
2025-09-12,69.39,70.75,67.55,68.77,66972
2025-09-15,69.45,69.9,68.65,68.84,76212
2025-09-16,69.5,70.1,66.88,69.29,100944
2025-09-17,69.28,70.1,68.59,69.24,176688
2025-09-18,69.0,71.25,69.0,70.22,770266
2025-09-19,71.37,71.75,69.5,70.64,401396
2025-09-22,71.44,71.96,69.88,70.22,206204
2025-09-23,70.75,72.0,69.56,70.33,213928
2025-09-24,71.0,71.0,70.0,70.6,190106
2025-09-25,71.45,71.94,69.02,70.58,331822
2025-09-26,70.58,70.74,68.96,70.13,139042
2025-09-29,70.98,70.98,68.81,69.59,683744
2025-09-30,70.0,70.17,69.32,69.88,470656
2025-10-01,70.45,70.75,69.14,69.42,86220
2025-10-03,69.42,70.7,69.05,70.06,128410
2025-10-06,71.0,72.6,70.22,71.61,1101106
2025-10-07,72.1,72.35,70.75,71.32,259044
2025-10-08,71.45,71.45,70.14,70.72,260246
2025-10-09,71.0,71.44,69.6,69.84,166548
2025-10-10,69.84,70.51,69.3,69.7,95820
2025-10-13,70.0,70.22,68.5,68.92,116736
2025-10-14,69.45,69.45,66.69,67.31,138170
2025-10-15,67.31,68.5,67.02,68.18,86254
2025-10-16,69.2,69.2,67.31,67.86,116506
2025-10-17,67.86,69.04,67.13,67.8,99704
2025-10-20,67.75,68.44,67.25,67.64,67220
2025-10-21,67.5,68.74,67.5,68.06,44106
2025-10-23,68.06,68.5,67.31,67.86,52158
2025-10-24,67.87,68.5,67.5,68.16,64020
2025-10-27,67.5,68.38,67.15,67.7,125628
2025-10-28,68.0,68.24,67.5,68.02,99334
2025-10-29,68.24,68.84,68.0,68.38,150114
2025-10-30,68.5,69.24,67.7,68.66,89872
2025-10-31,67.75,70.82,65.54,67.43,507498
2025-11-03,67.0,67.5,66.52,66.66,77954
2025-11-04,66.25,67.79,66.1,67.15,68736
2025-11-06,66.58,67.8,64.5,65.07,202590
2025-11-07,64.98,65.96,64.7,65.46,55550
2025-11-10,67.0,69.0,66.75,68.53,336566
2025-11-11,69.0,69.85,68.44,69.32,266680
2025-11-12,70.0,70.36,68.96,69.46,205810
2025-11-13,69.0,70.2,68.18,68.52,348278
2025-11-14,70.95,72.79,65.45,66.71,441771
2025-11-17,66.7,67.0,63.43,64.03,193527
2025-11-18,63.3,63.68,61.51,62.24,225308
2025-11-19,62.88,62.88,61.29,61.58,103901
2025-11-20,61.3,63.84,59.3,60.01,248305
2025-11-21,59.75,59.99,56.99,58.08,497020
2025-11-24,57.6,58.5,57.6,57.88,48491
2025-11-25,58.75,58.82,57.75,58.08,51508
2025-11-26,59.6,61.0,57.2,60.04,194695
2025-11-27,60.65,63.4,59.61,62.07,184568
2025-11-28,62.1,63.75,61.42,61.81,71868
2025-12-01,62.45,63.0,58.71,58.91,211664
2025-12-02,58.7,61.75,57.79,61.15,182124
2025-12-03,61.5,62.1,59.32,61.34,118647
2025-12-04,61.94,73.6,61.65,73.48,7764914
2025-12-05,77.0,77.0,73.0,73.54,2771316
2025-12-08,72.88,73.39,70.56,71.83,594164
2025-12-09,70.1,75.0,70.0,74.25,597361
2025-12-10,76.0,76.0,73.76,74.03,761388
2025-12-11,74.0,76.43,73.01,76.02,541434
2025-12-12,76.7,84.99,75.96,84.17,7007284
2025-12-15,84.95,89.68,82.83,88.84,3495124
2025-12-16,88.25,89.77,86.6,88.3,2658296
2025-12-17,86.7,87.61,84.2,85.05,2333359
2025-12-18,85.05,86.47,82.2,84.03,840962
2025-12-19,85.94,85.94,83.13,84.05,453915
2025-12-22,87.25,87.25,84.6,86.21,1035143
2025-12-23,86.98,89.8,85.5,85.56,12941180
2025-12-24,86.44,90.9,86.44,89.34,3989122
2025-12-26,89.4,90.7,87.05,88.04,1027158
2025-12-29,87.5,87.89,82.87,83.99,3948326
2025-12-30,84.3,86.21,83.14,85.57,784170
