date,open,high,low,close,volume
2025-03-24,63.21,65.38,62.49,62.92,667719
2025-03-25,64.53,65.04,61.28,61.59,629845
2025-03-26,61.94,62.91,60.32,60.47,750150
2025-03-27,60.36,61.64,59.51,60.03,823462
2025-03-28,60.36,61.77,56.7,57.73,873863
2025-04-01,57.06,63.67,57.06,61.44,956208
2025-04-02,62.06,63.63,60.02,62.68,543151
2025-04-03,62.06,62.87,60.97,62.33,437439
2025-04-04,62.06,65.38,60.64,63.74,1212815
2025-04-07,51.1,59.51,51.1,57.7,1691716
2025-04-08,60.62,65.47,58.42,63.19,965736
2025-04-09,62.53,62.87,60.37,60.64,515171
2025-04-11,62.91,63.34,61.3,61.76,382697
2025-04-15,63.16,65.24,62.19,63.3,636772
2025-04-16,64.23,64.23,62.83,63.2,316460
2025-04-17,62.91,62.91,61.5,61.86,408228
2025-04-21,61.21,61.85,60.7,61.31,190473
2025-04-22,61.47,62.06,61.04,61.52,3084987
2025-04-23,62.15,62.32,60.96,61.43,152980
2025-04-24,61.64,62.15,59.51,60.06,292331
2025-04-25,60.7,60.7,57.05,57.05,348485
2025-04-28,58.56,59.51,54.92,58.94,386007
2025-04-29,58.14,61.8,57.81,60.83,354308
2025-04-30,61.21,61.21,58.66,58.75,123013
2025-05-02,58.04,59.47,56.71,58.03,121292
2025-05-05,58.24,59.47,57.77,58.52,79344
2025-05-06,58.83,58.83,55.6,56.08,132758
2025-05-07,53.6,58.24,53.6,57.52,144860
2025-05-08,56.95,58.66,55.26,55.37,214134
2025-05-09,53.56,54.91,53.56,54.42,139928
2025-05-12,57.13,57.14,56.37,57.13,161417
2025-05-13,59.94,59.99,57.81,59.98,334979
2025-05-14,61.21,62.23,59.99,61.02,196984
2025-05-15,61.55,62.15,60.36,61.86,231940
2025-05-16,61.64,64.95,61.64,64.68,415841
2025-05-19,67.91,67.91,66.32,67.91,435378
2025-05-20,66.55,66.55,66.55,66.55,126600
2025-05-21,65.22,65.22,65.22,65.22,68465
2025-05-22,63.91,63.91,63.91,63.91,56252
2025-05-23,62.67,65.18,62.67,65.18,390562
2025-05-26,63.88,63.88,63.88,63.88,248774
2025-05-27,62.59,62.59,62.59,62.59,123296
2025-05-28,63.84,63.84,63.84,63.84,165563
2025-05-29,65.12,65.12,65.12,65.12,73448
2025-05-30,66.42,66.42,66.42,66.42,100381
2025-06-02,67.74,67.74,67.17,67.17,203063
2025-06-03,67.17,67.17,65.82,65.82,217340
2025-06-04,64.61,64.7,64.61,64.7,75993
2025-06-05,65.81,65.89,63.42,63.42,114321
2025-06-06,63.68,63.76,63.59,63.59,62581
2025-06-09,64.86,64.86,64.86,64.86,33316
2025-06-10,66.15,66.15,66.15,66.15,47197
2025-06-11,67.47,67.47,67.47,67.47,381424
2025-06-12,67.51,68.19,67.51,67.51,114858
2025-06-13,68.02,68.44,66.22,67.96,160037
2025-06-16,67.17,67.59,66.6,66.6,106182
2025-06-17,66.6,66.6,65.27,66.15,90237
2025-06-18,64.82,65.64,64.82,65.47,119942
2025-06-19,65.14,65.14,64.16,64.16,72668
2025-06-20,64.16,64.16,62.91,62.91,51943
2025-06-23,62.91,63.87,62.91,63.87,44343
2025-06-24,65.14,65.14,65.14,65.14,155526
2025-06-25,65.72,66.44,64.61,66.44,112375
2025-06-26,67.17,67.17,67.08,67.08,99537
2025-06-27,66.91,66.91,66.7,66.74,120165
2025-06-30,70.07,70.07,70.07,70.07,184811
2025-07-01,73.58,73.58,73.58,73.58,97932
2025-07-02,77.25,77.25,73.03,74.08,830174
2025-07-03,74.31,76.52,70.65,72.86,327717
2025-07-04,72.27,75.67,72.27,74.52,329362
2025-07-07,78.24,78.24,78.24,78.24,164272
2025-07-08,82.15,82.15,76.52,82.11,1297667
2025-07-09,79.49,80.77,78.22,79.14,910463
2025-07-10,81.53,81.53,77.37,79.1,601253
2025-07-11,79.1,80.68,78.64,80.4,167519
2025-07-14,80.68,82.04,79.24,81.58,317451
2025-07-15,81.62,85.66,81.62,85.65,821316
2025-07-16,85.65,89.89,84.17,86.71,783005
2025-07-17,88.42,88.42,84.38,86.05,342776
2025-07-18,86.73,89.19,85.87,88.27,641880
2025-07-21,90.97,101.33,90.14,97.97,2901751
2025-07-22,98.15,103.72,95.23,99.46,2355571
2025-07-23,100.03,102.87,97.79,99.92,1016763
2025-07-24,100.36,101.6,95.05,96.64,905864
2025-07-25,96.33,108.23,96.11,104.15,3873122
2025-07-28,102.63,103.21,95.91,98.17,1381439
2025-07-29,97.61,106.86,96.65,103.64,1937277
2025-07-30,104.47,107.97,102.53,103.91,1046964
