date,open,high,low,close,volume
2025-03-24,238.45,243.35,233.67,237.39,336025
2025-03-25,240.99,242.01,231.1,232.08,393081
2025-03-26,232.0,232.0,222.0,226.03,355799
2025-03-27,228.0,229.55,220.5,227.25,668789
2025-03-28,230.57,247.45,230.57,240.73,776620
2025-04-01,242.65,264.0,241.11,260.1,1029449
2025-04-02,260.1,312.12,258.0,312.12,3392872
2025-04-03,313.0,352.0,308.0,329.26,6687152
2025-04-04,325.0,325.0,300.2,315.11,852829
2025-04-07,283.59,300.95,283.59,296.29,504948
2025-04-08,309.5,319.98,295.96,301.53,486460
2025-04-09,300.99,328.0,292.1,317.26,698971
2025-04-11,325.98,326.0,309.45,311.32,335192
2025-04-15,318.4,338.85,305.0,328.28,782023
2025-04-16,328.0,344.5,317.55,328.4,857210
2025-04-17,329.15,331.0,319.97,320.99,338558
2025-04-21,326.88,345.71,320.0,337.54,1350638
2025-04-22,335.0,351.0,326.11,336.26,941511
2025-04-23,339.7,341.49,311.53,315.93,1002555
2025-04-24,317.99,325.01,315.94,319.73,246990
2025-04-25,322.49,324.2,297.35,307.29,427764
2025-04-28,307.0,313.0,298.92,301.09,194026
2025-04-29,303.99,313.0,300.4,306.69,183919
2025-04-30,312.0,321.4,295.35,317.87,696673
2025-05-02,319.95,320.0,303.0,306.7,205450
2025-05-05,311.0,313.4,301.25,303.95,291353
2025-05-06,304.0,315.0,290.05,293.8,311377
2025-05-07,290.95,302.1,290.05,299.6,197411
2025-05-08,303.9,306.4,288.1,292.1,208239
2025-05-09,285.0,294.0,277.55,290.8,190834
2025-05-12,299.0,312.0,299.0,308.9,355971
2025-05-13,312.0,322.5,305.05,319.8,358996
2025-05-14,322.85,326.0,319.0,320.4,250740
2025-05-15,300.0,307.0,294.5,298.45,964102
2025-05-16,301.0,305.55,283.6,285.25,759505
2025-05-19,287.35,293.65,283.2,285.1,315156
2025-05-20,286.0,288.9,273.0,274.55,246463
2025-05-21,275.05,276.9,266.0,267.85,253967
2025-05-22,268.8,274.7,264.0,266.65,223117
2025-05-23,267.9,269.9,262.0,262.85,240113
2025-05-26,264.0,271.0,262.9,269.75,276146
2025-05-27,270.95,271.65,265.5,266.7,141245
2025-05-28,267.0,268.45,262.05,262.7,95394
2025-05-29,263.5,268.65,259.6,261.55,233756
2025-05-30,261.55,261.55,257.75,259.75,134365
2025-06-02,260.0,263.7,257.3,258.8,123724
2025-06-03,259.95,261.1,252.0,254.25,198982
2025-06-04,253.9,266.6,253.25,259.95,351166
2025-06-05,260.0,267.35,253.75,254.6,253557
2025-06-06,256.7,260.1,255.95,258.55,136800
2025-06-09,260.0,265.2,260.0,262.8,134453
2025-06-10,263.0,263.8,258.0,260.95,147918
2025-06-11,262.0,267.0,260.0,262.25,144709
2025-06-12,263.0,265.0,255.5,256.75,81157
2025-06-13,250.0,261.9,249.95,258.9,178231
2025-06-16,257.0,259.85,250.75,256.0,237913
2025-06-17,257.0,260.6,254.6,256.35,58408
2025-06-18,256.0,263.0,251.85,260.9,154366
2025-06-19,260.9,265.4,252.0,255.45,128168
2025-06-20,254.9,258.35,251.55,255.95,63009
2025-06-23,255.0,261.8,251.5,260.65,85148
2025-06-24,264.0,272.9,258.7,260.75,260671
2025-06-25,263.35,292.0,262.85,289.15,1870159
2025-06-26,289.4,294.2,278.9,287.8,407946
2025-06-27,286.1,306.95,281.1,297.65,1090800
2025-06-30,298.95,315.0,294.8,312.55,1143440
2025-07-01,315.35,319.9,312.55,317.05,557719
2025-07-02,317.2,323.8,311.85,321.75,705880
2025-07-03,324.9,330.0,291.35,297.15,1807703
2025-07-04,295.0,305.75,292.25,296.15,441222
2025-07-07,293.25,298.45,286.45,287.6,183592
2025-07-08,287.6,301.95,286.2,291.25,510295
2025-07-09,291.0,294.45,288.5,290.05,226845
2025-07-10,291.9,292.0,286.0,286.75,131124
2025-07-11,285.45,290.4,283.85,287.25,94390
2025-07-14,284.35,289.4,284.25,287.8,74733
2025-07-15,288.75,295.6,288.65,294.5,133487
2025-07-16,294.5,295.15,288.5,291.9,136135
2025-07-17,291.0,293.8,281.15,284.5,227194
2025-07-18,284.5,286.5,277.1,279.6,150409
2025-07-21,276.5,285.3,276.5,282.0,97985
2025-07-22,285.0,285.0,278.35,280.05,72715
2025-07-23,279.1,280.0,273.3,274.15,141972
2025-07-24,276.65,276.65,270.5,271.45,74112
2025-07-25,273.0,273.65,265.4,271.2,159786
2025-07-28,267.65,269.25,260.6,267.0,131125
2025-07-29,268.0,279.0,262.8,274.15,159497
2025-07-30,272.0,289.8,269.4,281.15,317455
2025-07-31,276.5,280.25,272.95,276.6,171732
2025-08-01,273.15,279.6,267.1,269.2,115572
2025-08-04,284.9,299.3,273.0,278.6,3865767
2025-08-05,278.65,299.0,277.0,292.4,613477
2025-08-06,289.0,296.8,285.7,290.55,303152
2025-08-07,290.55,313.0,286.9,309.45,987018
2025-08-08,310.0,319.7,301.9,305.15,519123
2025-08-11,303.8,314.95,300.5,309.4,254216
2025-08-12,310.95,319.9,308.8,312.9,313365
2025-08-13,314.4,318.8,310.05,311.45,186109
2025-08-14,312.0,323.0,310.65,313.7,332653
2025-08-18,318.4,323.0,313.85,316.35,236241
2025-08-19,316.05,322.7,314.55,318.0,186185
2025-08-20,317.95,322.45,315.0,316.3,176151
2025-08-21,318.0,328.0,310.3,314.15,390643
2025-08-22,315.0,320.0,311.6,314.95,135718
2025-08-25,318.1,330.0,317.0,323.35,644515
2025-08-26,324.9,324.9,315.0,320.3,196771
2025-08-28,326.0,328.0,317.6,325.65,393179
2025-08-29,326.0,328.6,320.8,324.5,164804
2025-09-01,325.0,347.5,323.5,337.95,1175804
2025-09-02,341.15,347.0,338.0,344.0,383850
2025-09-03,344.9,346.25,336.6,343.1,256381
2025-09-04,345.4,357.85,339.6,350.65,808076
2025-09-05,355.0,355.55,338.05,346.5,323151
2025-09-08,354.0,373.75,343.15,366.7,921417
2025-09-09,369.0,369.2,356.0,359.65,195831
2025-09-10,358.9,362.45,352.8,357.1,274476
2025-09-11,355.45,374.95,355.45,366.45,747570
2025-09-12,366.45,373.0,364.15,370.2,325051
2025-09-15,370.0,372.75,362.0,363.5,228326
2025-09-16,363.5,372.0,363.0,365.35,259701
2025-09-17,365.35,377.0,365.3,373.4,302881
2025-09-18,375.15,378.0,365.45,367.7,256478
2025-09-19,370.5,373.0,362.85,367.2,131032
2025-09-22,368.9,370.85,364.0,366.45,166004
2025-09-23,366.0,370.8,356.45,368.8,259107
2025-09-24,365.1,374.55,359.05,362.25,438677
2025-09-25,361.25,372.0,355.05,357.35,247021
2025-09-26,357.35,366.85,352.15,360.3,682445
2025-09-29,364.0,377.5,358.25,370.3,854923
2025-09-30,371.9,387.05,368.4,370.7,987090
2025-10-01,372.3,381.4,370.1,377.1,535555
2025-10-03,377.5,392.0,347.55,354.05,3237377
2025-10-06,352.05,356.95,335.05,348.0,1015177
2025-10-07,347.3,349.6,328.7,340.9,507497
2025-10-08,338.0,342.35,333.95,336.45,211891
2025-10-09,337.4,343.7,333.05,335.5,219411
2025-10-10,332.05,339.5,327.45,329.05,266718
2025-10-13,330.5,334.6,316.7,319.3,420660
