date,open,high,low,close,volume
2025-03-24,410.2,423.0,405.8,415.4,105060
2025-03-25,419.0,420.0,404.4,407.75,72826
2025-03-26,410.8,410.8,390.6,392.4,72830
2025-03-27,389.4,389.4,380.0,380.85,98684
2025-03-28,380.05,387.0,375.0,376.15,150767
2025-04-01,374.7,382.75,370.0,379.9,76455
2025-04-02,379.9,383.9,374.25,379.6,38447
2025-04-03,375.0,393.6,375.0,385.5,52644
2025-04-04,387.4,389.1,369.85,374.15,86354
2025-04-07,372.0,372.0,350.0,364.15,98644
2025-04-08,377.0,379.2,367.45,376.4,36808
2025-04-09,378.75,379.0,370.5,375.05,25000
2025-04-11,381.85,384.3,373.8,381.8,45839
2025-04-15,387.55,399.6,387.55,397.2,47391
2025-04-16,401.9,401.9,392.5,396.75,53128
2025-04-17,392.5,398.3,385.55,389.6,82807
2025-04-21,389.6,407.2,388.95,402.1,87466
2025-04-22,402.55,404.65,396.55,399.9,40864
2025-04-23,401.6,406.2,398.75,404.4,47063
2025-04-24,405.0,405.0,399.35,400.85,31799
2025-04-25,400.85,400.85,388.9,395.45,38235
2025-04-28,394.0,400.2,393.65,397.6,67863
2025-04-29,399.1,403.8,390.8,395.25,48222
2025-04-30,395.0,395.0,382.1,384.8,50868
2025-05-02,384.8,391.7,379.15,387.65,67814
2025-05-05,387.95,395.15,379.2,392.95,33175
2025-05-06,394.9,395.4,384.5,388.95,31319
2025-05-07,380.0,394.5,379.95,392.1,56433
2025-05-08,394.3,403.6,387.0,389.0,114897
2025-05-09,382.05,387.1,374.0,384.45,588513
2025-05-12,387.7,404.0,387.7,401.75,571435
2025-05-13,404.7,412.5,402.25,406.45,103923
2025-05-14,408.0,425.0,403.5,419.65,144937
2025-05-15,421.0,427.0,415.0,423.25,79462
2025-05-16,424.9,424.9,414.45,418.9,98999
2025-05-19,419.4,424.65,415.25,421.0,50563
2025-05-20,421.9,422.7,406.0,408.9,95541
2025-05-21,408.25,421.0,408.0,419.15,87488
2025-05-22,419.15,421.65,415.4,420.1,37603
2025-05-23,421.9,425.5,418.55,423.05,98105
2025-05-26,424.7,426.5,419.05,425.3,549252
2025-05-27,428.1,440.9,425.3,439.0,260286
2025-05-28,440.05,450.75,423.45,425.8,366733
2025-05-29,418.5,428.35,413.4,426.7,713340
2025-05-30,429.0,434.85,415.55,418.65,133482
2025-06-02,418.65,420.25,409.05,414.85,44294
2025-06-03,415.0,421.5,410.35,419.7,571579
2025-06-04,418.0,441.25,417.95,433.2,254251
2025-06-05,433.0,475.0,431.0,471.25,957959
2025-06-06,472.95,479.95,461.85,477.7,452541
2025-06-09,477.65,484.9,466.55,469.55,155994
2025-06-10,473.9,484.0,464.5,476.0,162060
2025-06-11,476.0,480.45,470.3,474.95,85233
2025-06-12,477.3,477.3,457.4,461.65,67623
2025-06-13,460.0,465.65,449.95,457.25,110233
2025-06-16,453.0,457.25,447.7,455.55,59580
2025-06-17,455.55,467.3,453.3,463.9,104685
2025-06-18,490.0,490.0,455.3,459.6,508283
2025-06-19,462.0,468.55,443.0,447.1,149994
2025-06-20,444.75,452.1,442.1,444.25,311760
2025-06-23,443.0,446.55,435.5,437.0,58047
2025-06-24,440.05,449.0,437.0,440.0,81133
2025-06-25,440.95,467.0,440.0,464.5,330452
2025-06-26,467.25,476.45,458.1,462.15,305300
2025-06-27,464.4,479.0,462.4,473.95,276235
2025-06-30,476.6,485.95,476.6,482.3,186204
2025-07-01,484.5,489.0,472.65,474.8,100528
2025-07-02,478.8,478.8,466.25,472.45,78689
2025-07-03,472.5,478.0,470.65,474.5,140601
2025-07-04,474.45,475.0,470.2,474.85,51542
2025-07-07,474.5,474.5,465.0,466.35,148384
2025-07-08,466.0,469.6,455.1,463.0,80428
2025-07-09,463.0,468.0,456.25,460.65,84316
2025-07-10,462.0,469.0,460.05,466.65,52945
2025-07-11,466.55,466.55,444.5,447.95,120072
2025-07-14,447.95,471.7,444.0,469.45,222553
2025-07-15,476.5,476.5,464.45,467.05,394789
2025-07-16,467.25,470.0,464.0,465.8,74491
2025-07-17,463.15,469.95,459.65,468.05,489232
2025-07-18,468.05,473.95,464.1,465.5,45829
2025-07-21,466.0,466.9,455.1,457.35,43239
2025-07-22,457.35,461.2,454.0,458.1,60450
2025-07-23,460.0,463.15,454.85,457.7,30237
2025-07-24,458.95,478.75,454.0,473.0,151936
2025-07-25,473.0,475.0,463.0,466.55,106287
2025-07-28,469.45,469.5,461.3,463.9,53982
2025-07-29,461.6,466.9,452.2,463.15,66460
2025-07-30,463.15,468.95,457.65,459.75,31543
2025-07-31,450.0,466.5,445.95,458.8,64167
2025-08-01,462.3,475.0,452.25,454.65,87282
2025-08-04,454.65,456.7,445.95,451.85,61387
2025-08-05,450.0,456.3,445.1,451.1,37724
2025-08-06,448.0,450.25,433.1,436.55,82684
2025-08-07,435.0,441.25,429.55,438.75,67542
2025-08-08,439.9,439.9,431.1,434.85,48141
2025-08-11,442.0,448.0,413.35,427.6,217478
2025-08-12,427.6,444.1,427.6,440.6,67782
2025-08-13,444.2,447.4,435.05,442.75,59237
2025-08-14,439.7,448.0,439.7,441.6,57010
2025-08-18,443.7,456.85,443.65,448.95,189870
2025-08-19,448.9,466.45,448.75,463.65,134674
2025-08-20,465.0,475.0,457.35,460.9,193580
2025-08-21,460.9,465.0,456.0,457.7,29364
2025-08-22,456.35,459.5,448.75,455.0,51668
2025-08-25,455.0,460.75,451.0,452.2,24116
2025-08-26,451.05,452.2,441.15,444.9,61015
2025-08-28,441.0,463.85,439.2,453.0,162268
2025-08-29,453.0,461.1,447.05,452.2,58408
2025-09-01,452.2,462.0,448.55,459.1,47051
2025-09-02,453.65,464.5,453.65,461.45,55231
2025-09-03,462.85,464.45,459.0,461.2,23865
2025-09-04,463.1,464.05,452.4,453.55,419907
2025-09-05,453.55,462.75,451.4,460.65,27908
2025-09-08,461.55,472.0,455.0,457.9,72044
2025-09-09,460.7,463.75,457.55,459.15,23185
2025-09-10,458.0,463.0,456.0,458.5,27223
2025-09-11,455.1,459.7,445.45,446.7,54558
2025-09-12,446.7,450.0,442.3,444.85,36336
2025-09-15,442.0,449.5,440.0,446.4,48122
2025-09-16,446.0,455.9,445.15,450.55,75838
2025-09-17,450.45,461.7,448.5,454.5,40555
2025-09-18,454.0,462.45,453.6,455.7,33115
2025-09-19,456.95,482.55,456.95,475.45,366243
2025-09-22,475.4,478.0,461.9,464.0,98487
2025-09-23,464.85,499.45,464.85,494.0,766293
2025-09-24,500.0,517.65,486.0,493.25,793635
2025-09-25,499.0,499.05,483.15,485.85,187719
2025-09-26,489.0,499.1,480.35,494.05,201622
2025-09-29,500.0,504.9,449.35,461.4,789207
2025-09-30,461.65,473.3,459.0,462.8,171601
2025-10-01,462.8,468.05,461.4,463.9,86698
2025-10-03,466.8,484.8,464.3,474.45,82192
2025-10-06,475.8,479.8,457.9,459.6,101857
2025-10-07,458.0,460.7,448.15,449.7,74255
2025-10-08,447.05,454.65,445.5,449.1,46858
2025-10-09,447.0,450.85,441.6,443.75,61349
2025-10-10,445.0,456.2,442.95,448.35,88806
2025-10-13,448.35,448.6,438.55,443.3,50097
2025-10-14,445.1,447.7,438.85,443.3,109363
2025-10-15,448.8,448.8,440.75,443.15,59344
2025-10-16,444.8,455.25,442.05,450.05,72618
2025-10-17,450.9,453.55,442.8,443.35,61120
2025-10-20,443.35,450.0,441.8,447.3,75321
2025-10-21,444.85,450.0,444.85,447.3,9006
2025-10-23,444.45,460.0,444.45,447.05,90196
2025-10-24,447.05,449.5,442.85,443.25,39147
2025-10-27,442.95,442.95,433.25,439.2,89934
2025-10-28,436.9,441.85,435.5,437.05,34565
2025-10-29,438.8,441.0,435.0,438.55,55515
2025-10-30,438.55,447.0,437.6,443.9,53744
2025-10-31,443.9,450.9,441.25,446.55,107473
2025-11-03,446.65,465.0,446.65,456.5,121830
2025-11-04,459.5,459.5,444.0,445.2,153112
