date,open,high,low,close,volume
2025-03-24,725.95,768.0,718.6,761.15,430125
2025-03-25,765.7,765.7,722.5,726.95,293539
2025-03-26,732.35,763.5,728.2,743.15,327145
2025-03-27,740.0,743.15,715.25,734.35,301493
2025-03-28,739.9,754.75,725.55,734.15,180922
2025-04-01,731.75,744.85,723.15,731.8,189593
2025-04-02,734.2,790.0,712.3,786.4,817765
2025-04-03,780.0,842.0,775.0,795.1,1284915
2025-04-04,787.9,787.9,686.55,709.65,1084539
2025-04-07,608.6,684.9,604.7,674.85,600437
2025-04-08,706.0,715.0,670.65,698.8,353324
2025-04-09,689.45,689.45,651.2,667.8,528869
2025-04-11,767.0,767.0,697.4,711.05,534040
2025-04-15,728.0,743.0,714.55,732.95,245278
2025-04-16,739.0,761.05,733.5,743.9,336135
2025-04-17,745.5,758.95,733.25,745.45,225046
2025-04-21,754.0,789.95,740.1,743.8,485734
2025-04-22,744.8,756.1,724.95,727.6,262596
2025-04-23,729.8,742.95,716.0,718.85,196716
2025-04-24,721.7,724.5,705.5,706.6,227268
2025-04-25,705.0,712.8,675.05,688.6,319866
2025-04-28,691.95,711.9,680.0,689.5,227954
2025-04-29,689.1,698.45,668.0,670.95,195415
2025-04-30,669.6,672.45,642.7,645.15,229734
2025-05-02,645.15,654.45,635.0,638.35,219978
2025-05-05,645.0,665.0,638.85,660.05,182534
2025-05-06,665.4,665.4,625.0,626.85,202820
2025-05-07,619.0,629.9,600.0,623.3,591142
2025-05-08,631.25,647.55,628.9,638.1,327476
2025-05-09,621.0,640.35,615.0,629.0,173274
2025-05-12,657.75,664.8,647.25,662.4,192769
2025-05-13,667.7,683.05,657.0,664.35,220801
2025-05-14,669.1,689.9,664.5,686.05,201277
2025-05-15,689.9,712.3,685.0,709.45,279633
2025-05-16,709.4,713.0,691.35,696.6,263040
2025-05-19,700.0,716.9,691.1,701.6,216593
2025-05-20,701.8,721.5,701.8,714.8,246793
2025-05-21,720.0,723.95,705.25,715.7,154193
2025-05-22,719.15,729.0,710.2,725.5,151868
2025-05-23,729.0,735.4,715.45,732.15,152739
2025-05-26,737.7,749.85,729.0,744.95,287173
2025-05-27,749.0,752.6,725.8,729.7,209728
2025-05-28,750.0,755.9,720.15,722.75,548965
2025-05-29,730.0,782.5,722.75,750.1,777646
2025-05-30,751.6,758.45,721.1,724.0,356232
2025-06-02,724.0,728.95,712.85,716.55,292814
2025-06-03,713.0,725.85,713.0,714.8,158035
2025-06-04,715.0,720.6,696.4,699.7,211283
2025-06-05,710.0,712.75,692.05,694.7,174442
2025-06-06,693.05,699.8,687.75,690.55,219652
2025-06-09,698.0,702.4,686.0,687.3,280735
2025-06-10,693.9,697.0,677.95,679.9,207657
2025-06-11,679.9,695.0,676.25,680.5,288565
2025-06-12,683.0,707.75,679.05,699.8,437594
2025-06-13,690.0,704.0,681.1,689.55,223219
2025-06-16,694.0,696.45,672.15,691.8,198777
2025-06-17,698.2,711.6,676.0,680.6,236282
2025-06-18,682.0,682.8,666.0,670.85,211255
2025-06-19,669.15,683.95,651.7,655.25,159829
2025-06-20,655.25,685.6,653.6,681.8,237128
2025-06-23,675.0,689.8,668.0,672.3,183672
2025-06-24,675.0,693.4,675.0,682.1,99910
2025-06-25,685.0,705.0,664.95,670.95,626725
2025-06-26,673.8,682.4,665.55,680.6,179642
2025-06-27,683.2,692.0,675.95,688.8,154815
2025-06-30,688.75,711.0,680.9,709.05,383741
2025-07-01,711.75,738.35,707.85,724.5,580952
2025-07-02,720.0,733.25,716.0,725.7,310985
2025-07-03,729.35,731.75,718.2,726.0,181836
2025-07-04,722.0,743.2,722.0,735.3,491906
2025-07-07,742.65,746.75,710.0,713.75,326031
2025-07-08,715.55,724.55,700.7,704.4,320520
