date,open,high,low,close,volume
2025-03-24,250.0,264.4,249.5,259.64,1051655
2025-03-25,260.25,261.4,250.0,252.37,476394
2025-03-26,250.25,255.71,243.11,243.81,515985
2025-03-27,243.0,252.96,243.0,249.45,622298
2025-03-28,249.74,254.86,242.99,244.37,288934
2025-04-01,243.0,263.0,242.0,257.72,1025070
2025-04-02,256.35,261.1,250.38,257.57,371568
2025-04-03,254.05,269.5,253.1,263.3,795850
2025-04-04,270.0,272.0,250.0,252.8,1081704
2025-04-07,225.2,243.9,225.2,240.73,618441
2025-04-08,247.0,251.59,241.52,246.48,538330
2025-04-09,242.0,245.28,237.08,239.1,286759
2025-04-11,247.0,249.9,243.03,247.48,366952
2025-04-15,250.0,262.0,250.0,257.76,542157
2025-04-16,257.76,262.34,256.05,256.84,383025
2025-04-17,257.0,261.82,256.04,259.81,398754
2025-04-21,261.5,264.0,257.0,258.19,427731
2025-04-22,262.0,271.0,259.83,268.91,595482
2025-04-23,271.05,275.0,264.1,269.95,585083
2025-04-24,269.0,279.47,266.54,275.33,718381
2025-04-25,279.44,283.0,261.99,265.74,880486
2025-04-28,267.0,267.7,260.66,265.85,323557
2025-04-29,264.01,268.79,258.41,264.99,347626
2025-04-30,264.5,265.5,255.02,256.29,555982
2025-05-02,252.0,265.3,250.45,262.8,417005
2025-05-05,264.7,264.7,257.0,258.4,275936
2025-05-06,259.0,262.5,249.95,251.15,390408
2025-05-07,248.25,261.75,247.0,257.75,375794
2025-05-08,258.4,278.0,257.15,260.95,1520565
2025-05-09,254.3,264.0,253.5,262.8,361119
2025-05-12,270.6,281.5,270.6,280.25,526979
2025-05-13,282.45,289.9,279.5,283.5,478544
2025-05-14,286.6,303.0,284.6,291.3,3207757
2025-05-15,296.0,297.85,272.9,283.65,1969304
2025-05-16,283.65,293.8,283.0,292.45,819381
2025-05-19,292.45,299.0,289.15,293.8,812919
2025-05-20,293.8,299.5,292.0,296.9,735943
2025-05-21,294.45,301.9,294.0,297.6,502356
2025-05-22,294.6,317.25,294.6,311.2,1799406
2025-05-23,318.0,329.0,314.35,326.85,1629542
2025-05-26,329.0,330.2,317.7,320.05,518507
2025-05-27,320.05,325.85,317.45,324.4,395565
2025-05-28,324.4,333.3,324.1,330.95,409213
2025-05-29,331.5,340.0,330.65,333.25,454491
2025-05-30,333.0,335.9,325.4,330.25,292898
2025-06-02,330.25,335.0,327.5,332.0,239739
2025-06-03,332.3,341.5,331.0,335.65,443923
2025-06-04,335.8,339.95,331.55,333.05,266565
2025-06-05,333.4,344.1,333.4,340.15,608971
2025-06-06,340.15,344.9,334.35,335.7,352740
2025-06-09,337.9,342.0,334.45,341.2,202200
2025-06-10,341.3,348.45,340.55,344.7,490555
2025-06-11,345.7,349.5,339.15,343.3,300076
2025-06-12,343.0,347.1,338.2,343.8,640090
2025-06-13,335.1,341.2,334.65,336.95,300211
2025-06-16,336.0,345.0,335.55,344.35,492486
2025-06-17,344.0,347.6,336.55,337.95,358456
2025-06-18,337.75,342.65,335.15,340.35,227007
