date,open,high,low,close,volume
2025-03-24,125.2,129.0,124.2,125.15,134919
2025-03-25,125.35,126.96,117.31,119.24,332625
2025-03-26,120.0,122.39,115.4,116.39,294573
2025-03-27,116.4,117.11,113.65,114.74,541423
2025-03-28,114.9,117.69,113.0,113.67,397332
2025-04-01,114.0,124.01,113.99,122.04,652214
2025-04-02,122.04,126.45,119.0,125.81,340569
2025-04-03,125.7,139.9,124.51,131.41,1276233
2025-04-04,131.0,139.9,128.0,128.72,1038094
2025-04-07,122.99,124.27,118.01,118.81,799511
2025-04-08,123.8,125.82,119.51,121.76,461277
2025-04-09,119.95,121.09,118.3,119.33,264298
2025-04-11,124.0,125.5,121.2,122.3,282489
2025-04-15,126.0,128.8,123.78,127.57,242802
2025-04-16,127.0,128.98,125.5,126.14,186497
2025-04-17,125.3,128.7,125.3,126.32,168782
2025-04-21,127.74,127.9,126.23,127.13,173057
2025-04-22,127.63,131.0,127.58,129.42,334344
2025-04-23,130.0,132.05,126.52,130.1,296451
2025-04-24,130.5,143.99,130.5,141.2,1493786
2025-04-25,143.44,144.0,134.15,135.99,895983
2025-04-28,134.5,138.89,133.0,133.31,306901
2025-04-29,133.31,135.57,130.0,130.95,321879
2025-04-30,130.87,131.83,126.25,127.5,223782
2025-05-02,127.1,131.8,120.12,122.69,535505
2025-05-05,123.12,131.79,123.0,130.95,553151
2025-05-06,131.28,132.61,127.2,127.57,237564
2025-05-07,124.0,139.69,123.89,137.59,1002512
2025-05-08,139.19,143.0,136.92,137.83,723349
2025-05-09,136.99,144.03,131.99,142.45,870657
2025-05-12,148.9,154.35,145.6,153.07,1095118
2025-05-13,153.32,174.9,153.05,171.33,10067558
2025-05-14,160.3,188.2,160.3,184.11,6592781
2025-05-15,186.3,198.54,180.89,184.97,4405440
2025-05-16,184.0,190.58,181.53,188.73,1208015
2025-05-19,190.9,218.0,190.02,207.98,4711595
2025-05-20,207.98,209.24,201.0,205.64,1022932
2025-05-21,203.61,212.9,201.85,211.77,996254
2025-05-22,210.0,219.55,208.53,215.41,963805
2025-05-23,215.41,218.8,206.36,207.69,849066
2025-05-26,213.0,216.95,209.0,214.08,632027
2025-05-27,214.08,235.48,213.16,235.48,1254390
2025-05-28,250.48,250.48,238.43,244.46,1840963
2025-05-29,245.0,245.93,230.1,231.4,693915
2025-05-30,237.17,250.0,232.31,244.86,1075864
2025-06-02,244.5,247.98,240.58,246.14,694000
2025-06-03,249.0,249.0,235.9,237.84,449789
2025-06-04,235.1,239.54,224.29,234.28,928065
2025-06-05,234.28,240.0,232.0,233.62,306778
2025-06-06,233.0,235.74,213.0,221.19,1476187
2025-06-09,223.0,229.45,217.5,222.16,1079563
2025-06-10,222.49,226.26,220.79,224.57,300907
2025-06-11,226.12,247.02,226.12,247.02,1460988
2025-06-12,250.0,271.72,249.0,260.57,3428378
2025-06-13,250.0,259.98,234.68,236.03,2123847
2025-06-16,237.6,257.8,235.0,248.48,1618556
2025-06-17,248.0,248.4,236.05,236.95,285825
2025-06-18,240.0,242.0,228.0,235.26,199004
2025-06-19,237.61,239.9,224.0,226.23,217751
2025-06-20,226.23,230.0,221.26,227.29,220159
2025-06-23,221.02,226.9,215.92,225.37,186456
