date,open,high,low,close,volume
2025-03-24,353.1,357.25,350.6,351.45,3218583
2025-03-25,354.5,356.4,331.75,337.5,5518715
2025-03-26,330.7,336.0,321.2,323.85,7488889
2025-03-27,323.85,341.0,312.65,335.75,19591307
2025-03-28,335.0,342.2,326.55,330.2,10683126
2025-04-01,328.7,339.3,325.5,331.9,5731994
2025-04-02,330.0,351.4,328.8,344.6,10629913
2025-04-03,341.0,349.5,338.15,345.15,3395256
2025-04-04,342.0,346.6,335.1,337.35,3339600
2025-04-07,310.0,327.45,306.95,321.7,6536264
2025-04-08,329.0,334.6,322.55,333.3,6086723
2025-04-09,331.0,345.0,329.4,339.75,8437070
2025-04-11,347.0,347.1,331.35,333.0,6373180
2025-04-15,338.0,342.8,332.8,334.0,2904801
2025-04-16,334.5,340.6,334.25,336.25,5653384
2025-04-17,337.0,350.7,329.45,340.8,10107653
2025-04-21,342.45,347.4,341.65,343.85,3326600
2025-04-22,343.85,345.65,338.55,343.35,7967985
2025-04-23,344.8,349.45,339.45,348.05,4461816
2025-04-24,344.25,351.45,339.3,340.6,5934561
2025-04-25,342.1,343.35,320.0,321.4,6237853
2025-04-28,322.1,328.7,319.7,323.75,4572731
2025-04-29,327.4,328.35,318.5,319.85,2140615
2025-04-30,326.85,326.85,309.15,316.4,8197937
2025-05-02,314.0,317.9,303.0,305.3,8692148
2025-05-05,310.0,356.65,304.2,343.95,44623517
2025-05-06,337.0,344.9,332.6,342.5,18751451
2025-05-07,322.05,338.75,322.05,328.8,12816563
2025-05-08,332.9,335.35,311.55,315.2,7026155
2025-05-09,306.0,314.6,303.6,313.1,7752428
2025-05-12,319.4,325.0,306.25,320.3,22530437
2025-05-13,305.0,315.7,297.0,310.55,99269069
2025-05-14,313.2,313.4,306.0,307.3,23571274
2025-05-15,310.0,318.15,308.15,316.25,24138544
2025-05-16,317.8,327.2,315.3,321.2,23405796
2025-05-19,321.8,328.8,319.2,323.5,19845567
2025-05-20,325.0,325.3,310.15,311.35,17531661
2025-05-21,313.65,315.0,308.7,313.8,14723896
2025-05-22,311.05,318.2,310.15,315.05,7794455
2025-05-23,317.05,326.5,311.45,323.65,14197901
2025-05-26,324.9,327.1,318.55,320.85,8612919
2025-05-27,322.0,325.35,317.9,320.15,7969088
2025-05-28,320.35,326.9,318.5,320.2,11061254
2025-05-29,321.3,331.2,320.0,328.85,21764736
2025-05-30,328.95,338.2,327.65,333.05,19704228
2025-06-02,330.85,343.55,327.95,333.3,16854594
2025-06-03,338.0,347.25,330.6,333.2,25827808
2025-06-04,335.4,364.95,335.1,362.75,52634733
2025-06-05,361.0,370.0,357.1,364.15,40086834
2025-06-06,365.75,376.5,365.15,374.45,23372942
2025-06-09,376.0,376.25,360.1,364.6,17070230
2025-06-10,364.55,369.5,352.55,361.6,17183361
2025-06-11,360.5,361.6,352.0,356.05,15836583
2025-06-12,357.0,366.0,352.85,356.1,12378876
2025-06-13,350.0,357.9,345.75,354.2,12527621
2025-06-16,355.0,362.0,352.2,360.95,10330332
2025-06-17,361.95,364.2,351.9,355.75,7081371
2025-06-18,357.5,366.9,352.65,365.4,13208158
2025-06-19,364.55,385.0,362.1,374.15,47446089
2025-06-20,376.5,398.9,371.0,389.5,51835877
2025-06-23,385.85,395.85,378.05,389.0,16573120
2025-06-24,390.9,399.4,384.25,391.15,13783191
2025-06-25,393.15,402.5,389.3,399.95,17314395
2025-06-26,399.5,412.0,398.4,405.25,17362686
2025-06-27,408.5,410.0,395.2,406.95,17772506
2025-06-30,405.5,406.95,398.65,400.4,8510810
2025-07-01,400.5,402.1,391.55,393.45,8749440
2025-07-02,394.0,395.0,380.0,381.55,12607551
2025-07-03,383.25,388.35,380.6,386.0,6837958
2025-07-04,388.0,395.0,381.55,383.5,8466011
2025-07-07,386.0,387.5,375.05,376.65,6436786
2025-07-08,378.15,383.0,376.15,381.45,7154362
2025-07-09,381.5,382.95,374.55,380.15,7658449
2025-07-10,380.0,390.4,377.6,384.35,9000967
2025-07-11,383.85,389.0,377.85,385.1,11097294
2025-07-14,384.5,394.7,380.4,393.05,12695624
2025-07-15,393.0,399.2,383.3,388.45,12334200
2025-07-16,390.0,400.0,386.75,389.85,16832818
2025-07-17,391.75,393.2,383.9,385.65,5598050
2025-07-18,387.0,393.0,386.05,388.8,4840264
2025-07-21,388.8,400.8,380.1,394.75,17679121
2025-07-22,405.0,426.3,403.75,417.15,82273537
2025-07-23,418.0,421.0,412.6,418.7,17008721
2025-07-24,418.0,429.9,405.7,419.25,21757408
2025-07-25,418.55,418.55,406.0,407.95,7747460
2025-07-28,405.9,416.2,401.35,407.1,9524154
2025-07-29,408.1,415.7,402.3,413.8,5833966
2025-07-30,413.8,414.0,399.0,401.1,10405480
2025-07-31,400.0,407.0,397.7,403.75,8479325
2025-08-01,408.0,408.5,386.4,392.35,22583961
2025-08-04,392.5,403.15,381.75,399.2,14946689
2025-08-05,397.2,398.9,383.0,385.55,11103861
2025-08-06,386.9,399.0,385.55,393.95,16552149
2025-08-07,392.0,400.55,387.5,398.5,10357031
2025-08-08,402.9,402.9,381.85,384.8,9492514
2025-08-11,385.0,404.95,381.65,400.7,9171569
2025-08-12,403.0,403.5,391.65,393.25,9640468
2025-08-13,396.45,405.75,395.1,400.4,12854438
2025-08-14,401.0,403.8,397.0,398.4,7189281
2025-08-18,408.05,410.85,397.8,399.85,12185716
2025-08-19,401.8,410.75,399.5,409.7,12943754
2025-08-20,408.5,422.7,406.35,421.05,26084973
2025-08-21,427.0,443.4,424.1,435.7,39503599
2025-08-22,431.85,434.95,421.2,427.9,15407596
2025-08-25,428.0,432.3,420.1,425.65,13757056
2025-08-26,427.0,439.4,419.0,430.55,126308057
2025-08-28,430.55,433.2,419.6,421.0,9101997
2025-08-29,425.0,425.0,406.15,409.75,13267998
2025-09-01,416.95,430.0,413.25,428.5,12343339
2025-09-02,427.95,432.6,421.45,425.95,7323331
2025-09-03,428.1,434.75,424.65,430.6,8201506
2025-09-04,432.0,436.25,421.2,423.1,7536276
2025-09-05,425.0,440.0,420.7,439.05,20282407
2025-09-08,443.0,458.95,440.0,443.15,19458812
2025-09-09,445.0,445.0,432.2,436.65,9435995
2025-09-10,438.75,438.75,421.4,423.9,13012999
2025-09-11,426.95,432.2,422.5,423.7,8593765
2025-09-12,425.05,430.0,415.55,420.55,8562600
2025-09-15,422.65,427.9,420.45,424.85,5200192
2025-09-16,427.9,439.2,425.3,437.2,12767732
2025-09-17,437.0,442.6,432.0,440.95,7017969
2025-09-18,440.0,445.0,436.25,444.5,4542176
2025-09-19,445.0,474.0,440.85,458.45,66256100
2025-09-22,461.0,464.35,446.55,449.55,12825424
2025-09-23,450.7,451.65,445.2,449.2,7987236
2025-09-24,458.2,460.9,436.0,438.45,19597212
2025-09-25,439.95,440.8,425.0,426.1,8856362
2025-09-26,425.0,427.9,418.0,420.65,11140200
2025-09-29,423.55,423.6,413.2,416.5,19854203
2025-09-30,419.25,426.5,416.55,422.95,13565339
2025-10-01,423.3,423.3,414.25,417.75,7083494
2025-10-03,420.0,421.25,412.55,413.85,7409123
2025-10-06,413.85,424.7,408.15,421.55,8057127
2025-10-07,422.0,422.65,414.45,420.75,8625939
2025-10-08,420.0,423.45,416.5,420.9,4546535
2025-10-09,422.8,437.8,421.05,436.9,11540849
2025-10-10,436.1,439.0,428.7,435.55,7920712
2025-10-13,435.0,437.6,431.3,434.8,7146572
2025-10-14,435.2,442.0,432.35,440.15,8288544
2025-10-15,440.4,443.5,435.7,442.7,14283145
2025-10-16,444.45,459.95,442.75,448.4,24563868
2025-10-17,447.0,447.0,424.95,432.15,18430213
2025-10-20,435.0,435.9,416.1,421.9,13304432
2025-10-21,427.0,433.9,424.0,432.1,2266400
2025-10-23,432.1,433.05,423.0,424.3,7858545
2025-10-24,426.0,430.2,423.0,424.9,4343894
2025-10-27,425.95,427.35,420.3,425.65,3890805
2025-10-28,427.7,429.0,419.15,422.1,4360893
2025-10-29,423.25,426.6,417.65,418.95,3267281
2025-10-30,419.95,422.5,413.5,417.95,4122844
2025-10-31,430.0,434.0,407.1,409.95,19552018
2025-11-03,409.8,409.8,401.4,402.45,4897191
2025-11-04,405.0,415.45,402.3,413.35,9477215
2025-11-06,412.65,413.0,402.6,403.95,5526680
2025-11-07,399.95,408.8,395.65,401.4,5018639
2025-11-10,404.0,411.4,380.0,386.95,11133596
2025-11-11,387.9,396.1,377.0,394.25,10574487
2025-11-12,395.75,398.0,390.8,395.75,3236998
2025-11-13,397.0,397.9,382.2,383.1,6102890
2025-11-14,380.0,395.0,379.6,393.1,7601634
2025-11-17,395.0,397.2,384.3,394.8,6430519
2025-11-18,396.0,401.8,392.55,393.35,3571077
2025-11-19,394.2,398.8,393.5,397.0,2144091
2025-11-20,397.0,402.9,393.7,395.5,3578421
2025-11-21,395.5,396.45,383.85,385.45,3384015
2025-11-24,380.3,410.7,378.0,404.6,22449342
2025-11-25,402.0,402.9,390.0,394.6,4669131
2025-11-26,393.25,396.5,390.4,392.4,2723100
2025-11-27,392.45,394.4,385.25,386.65,2317260
2025-11-28,386.65,387.25,376.9,378.3,4711401
2025-12-01,380.0,391.75,378.5,388.65,5479785
2025-12-02,389.1,402.5,388.0,399.4,7626093
2025-12-03,395.7,405.5,395.05,403.25,6943055
2025-12-04,400.0,406.65,398.15,401.55,4482233
2025-12-05,397.55,404.9,393.1,394.4,3225832
2025-12-08,393.8,394.9,380.8,385.9,4167603
2025-12-09,384.0,400.0,380.15,398.05,8414782
2025-12-10,395.0,406.9,390.1,395.5,12642146
2025-12-11,397.0,407.9,396.95,401.2,15444380
2025-12-12,404.75,421.6,403.4,416.5,27004727
2025-12-15,417.95,417.95,409.4,413.4,9870619
2025-12-16,410.0,410.0,389.15,396.25,24398408
2025-12-17,395.0,406.0,392.35,398.95,15208618
2025-12-18,400.0,415.4,397.35,410.7,68636561
2025-12-19,420.0,420.0,404.25,412.2,26002051
2025-12-22,410.0,412.2,404.7,406.4,6158867
2025-12-23,406.4,406.9,400.15,405.05,4643245
2025-12-24,404.4,406.6,398.45,400.05,2735627
2025-12-26,394.0,396.4,391.0,391.9,2814694
2025-12-29,393.95,406.6,391.05,394.85,6448408
2025-12-30,395.0,399.7,386.55,394.05,7583146
2025-12-31,395.45,396.0,385.0,386.25,7184388
2026-01-01,389.0,393.9,386.75,390.7,5158253
2026-01-02,390.7,390.7,381.0,387.2,6161772
2026-01-05,387.2,390.25,377.0,378.4,8100279
2026-01-06,378.4,379.0,356.35,361.0,28274163
2026-01-07,362.9,366.5,359.5,361.9,10461943
2026-01-08,362.9,363.9,351.35,352.85,12496904
2026-01-09,352.85,358.15,349.5,351.65,11237565
2026-01-12,351.7,352.3,342.0,349.6,14808886
2026-01-13,350.4,355.55,345.15,350.35,10758860
2026-01-14,348.1,348.6,341.3,347.05,10277865
2026-01-16,346.25,347.0,337.55,340.25,9816756
2026-01-19,340.0,341.5,331.2,333.8,13552564
2026-01-20,331.8,334.3,324.05,326.1,6863680
2026-01-21,325.75,339.4,318.4,334.55,18958128
2026-01-22,343.0,347.85,312.9,320.3,26797175
2026-01-23,320.55,321.7,310.15,311.75,17199531
2026-01-27,314.1,317.9,304.0,312.25,14294472
2026-01-28,313.0,325.3,309.0,323.5,12888262
2026-01-29,324.6,330.5,321.65,327.65,6541452
2026-01-30,309.0,316.0,302.1,309.75,41695914
2026-02-01,313.0,323.5,297.9,314.35,9238581
2026-02-02,314.0,315.6,304.1,306.4,11554416
2026-02-03,319.0,328.35,314.7,317.75,23083774
2026-02-04,319.5,324.2,314.05,321.1,8826152
2026-02-05,322.0,324.55,314.25,321.45,9503067
2026-02-06,321.45,322.2,314.0,320.0,6151935
2026-02-09,321.0,335.0,319.5,333.7,11280230
2026-02-10,335.05,359.0,333.1,355.75,31081429
2026-02-11,354.6,355.0,340.4,342.3,8093842
2026-02-12,340.0,340.6,328.7,337.35,9457585
2026-02-13,337.0,341.65,329.35,337.65,10114145
2026-02-16,337.0,343.0,333.65,342.0,6962143
2026-02-17,340.0,340.0,329.55,330.7,7661075
2026-02-18,333.0,337.85,330.0,333.95,6014459
2026-02-19,333.95,337.8,325.0,326.65,5700612
2026-02-20,323.5,328.7,322.15,323.8,6453794
2026-02-23,324.0,324.9,317.9,321.1,5744369
2026-02-24,318.2,322.35,310.55,314.0,7337473
2026-02-25,316.05,317.6,304.0,307.4,10518650
2026-02-26,309.0,311.9,304.75,307.05,7865362
2026-02-27,308.0,308.5,298.35,301.75,13686102
