date,open,high,low,close,volume
2025-03-24,258.9,265.75,255.95,260.3,3970685
2025-03-25,262.7,268.45,251.6,261.25,4697767
2025-03-26,262.0,263.0,247.05,249.65,3543363
2025-03-27,249.65,254.55,244.3,251.15,3903664
2025-03-28,253.0,261.65,247.0,250.35,4068161
2025-04-01,248.95,272.5,247.45,266.2,5829912
2025-04-02,267.5,268.65,256.5,264.55,2588266
2025-04-03,259.0,274.9,258.95,271.9,3364510
2025-04-04,271.0,272.85,256.1,259.1,3060429
2025-04-07,223.0,244.0,223.0,240.8,2924007
2025-04-08,246.55,253.8,243.25,247.55,1619501
2025-04-09,245.0,248.1,239.3,241.8,1080871
2025-04-11,248.65,252.0,245.45,250.85,1113053
2025-04-15,252.55,267.85,252.55,265.6,1845016
2025-04-16,264.2,284.7,263.25,280.7,6010610
2025-04-17,283.1,298.25,281.9,291.35,8243580
2025-04-21,293.15,314.7,287.1,309.0,7364961
2025-04-22,311.9,319.6,309.1,314.35,4297730
2025-04-23,316.0,328.9,306.55,325.2,5224905
2025-04-24,329.0,333.0,320.95,327.05,6277714
2025-04-25,332.7,333.0,310.7,310.7,3080611
2025-04-28,300.05,302.25,295.2,295.2,5176308
2025-04-29,298.0,299.85,283.75,285.65,2327128
2025-04-30,282.05,283.05,271.4,271.4,1656135
2025-05-02,267.55,274.9,258.0,258.9,2941353
2025-05-05,261.0,271.8,260.4,271.8,975363
2025-05-06,275.9,281.9,263.0,266.05,2316347
2025-05-07,261.95,268.65,256.0,263.35,1159612
2025-05-08,265.4,271.9,250.9,254.85,1354173
2025-05-09,245.25,257.0,244.6,251.75,1345698
2025-05-12,264.3,264.3,260.1,263.05,3022827
2025-05-13,264.0,276.2,263.1,276.2,1827086
2025-05-14,279.4,290.0,278.0,290.0,1679065
2025-05-15,296.2,297.9,286.35,292.2,2613718
2025-05-16,295.0,303.7,291.55,297.95,1590342
2025-05-19,300.0,304.8,287.5,290.05,1545479
2025-05-20,293.2,295.75,281.15,282.9,973589
2025-05-21,284.15,288.7,279.45,280.35,1096355
2025-05-22,280.35,283.35,275.1,277.85,952369
