date,open,high,low,close,volume
2025-03-24,508.75,521.9,505.8,508.65,1142939
2025-03-25,512.7,515.0,492.1,495.85,848877
2025-03-26,496.95,503.25,478.0,482.55,733385
2025-03-27,479.7,485.85,474.05,479.1,1187670
2025-03-28,480.5,493.7,463.2,467.25,963280
2025-04-01,466.0,484.9,464.0,480.45,584198
2025-04-02,480.45,482.5,470.5,478.1,451562
2025-04-03,475.5,486.0,472.15,481.25,444429
2025-04-04,478.5,479.9,445.0,454.3,698836
2025-04-07,416.0,438.85,412.0,434.35,864397
2025-04-08,444.0,462.0,437.3,457.55,512557
2025-04-09,454.0,461.5,441.15,460.05,413747
2025-04-11,477.95,490.55,467.6,483.9,816976
2025-04-15,490.05,499.35,480.0,483.5,940925
2025-04-16,481.0,498.0,478.0,480.1,875626
2025-04-17,505.0,505.0,482.55,484.55,2633237
2025-04-21,485.0,494.4,481.65,489.9,795285
2025-04-22,489.9,494.2,486.15,490.3,703693
2025-04-23,491.0,501.55,479.25,482.05,1634347
2025-04-24,482.55,489.45,481.0,484.0,868965
2025-04-25,481.3,481.3,461.55,469.2,1166965
2025-04-28,466.7,485.9,461.7,483.05,708286
2025-04-29,484.9,499.35,484.3,488.0,1086016
2025-04-30,483.0,492.1,471.6,474.35,767324
2025-05-02,472.05,512.95,467.8,496.7,3599948
2025-05-05,496.7,504.0,489.25,498.4,783680
2025-05-06,495.65,500.75,473.05,474.95,560072
2025-05-07,464.0,480.0,463.1,477.25,562787
2025-05-08,477.5,508.15,473.0,477.95,2042425
2025-05-09,465.0,474.8,460.9,470.15,534491
2025-05-12,494.0,498.0,483.4,494.45,860603
2025-05-13,503.75,573.0,502.2,557.35,20173785
2025-05-14,554.0,575.0,543.35,567.75,5484910
2025-05-15,563.0,564.4,554.8,556.45,1277957
2025-05-16,557.2,585.0,550.2,571.55,2657023
2025-05-19,576.0,589.8,573.0,581.2,1325906
2025-05-20,583.0,587.65,560.15,562.3,813210
2025-05-21,562.3,571.15,558.0,562.75,559528
2025-05-22,559.0,568.85,556.2,562.15,408029
2025-05-23,562.0,576.6,558.0,570.2,569972
2025-05-26,570.5,582.1,568.3,571.35,531628
2025-05-27,569.9,603.7,568.2,595.7,2466287
2025-05-28,600.0,617.0,600.0,609.6,1769021
2025-05-29,611.6,613.4,601.1,606.1,492894
2025-05-30,604.85,623.8,592.0,619.55,1208767
2025-06-02,618.0,634.0,611.0,627.95,1007849
2025-06-03,629.0,631.0,611.0,614.75,466062
2025-06-04,615.15,629.9,610.35,626.3,594081
2025-06-05,630.5,638.6,625.0,628.6,524862
2025-06-06,626.75,632.45,620.1,622.85,350573
2025-06-09,624.8,633.0,624.75,627.05,315586
2025-06-10,627.0,640.45,625.3,629.15,429632
2025-06-11,630.0,636.9,616.5,622.65,468725
2025-06-12,670.1,701.65,670.1,679.2,18953929
2025-06-13,664.0,673.5,652.4,666.6,1810418
2025-06-16,672.0,678.6,637.5,657.15,1653893
2025-06-17,677.0,707.7,672.0,676.5,9324164
2025-06-18,677.0,677.0,658.5,664.4,1298036
2025-06-19,661.0,665.9,637.95,643.25,891691
2025-06-20,641.75,657.7,634.1,652.85,608676
2025-06-23,642.9,652.1,642.9,645.3,501169
2025-06-24,650.2,663.75,648.15,652.1,634054
2025-06-25,654.0,658.45,648.15,653.55,409335
2025-06-26,654.8,658.4,642.0,645.45,536654
2025-06-27,647.0,650.8,644.15,646.5,358474
2025-06-30,648.0,653.8,642.05,643.95,402308
2025-07-01,644.8,653.5,643.55,647.4,378286
2025-07-02,647.8,650.15,636.8,640.0,437508
2025-07-03,640.5,644.7,637.0,643.1,357811
2025-07-04,643.1,645.25,637.8,639.4,212883
2025-07-07,638.2,646.6,633.0,634.25,345757
2025-07-08,636.0,642.05,634.25,635.95,261919
2025-07-09,635.95,641.7,635.0,638.0,212640
2025-07-10,638.95,642.0,635.0,636.6,204958
2025-07-11,635.0,641.2,630.0,632.1,270358
2025-07-14,632.35,637.5,630.85,634.95,191108
2025-07-15,637.0,656.35,637.0,645.9,736688
2025-07-16,646.6,679.2,646.6,657.4,1945268
2025-07-17,660.15,661.0,650.35,652.3,405000
2025-07-18,656.8,664.0,652.45,656.05,453938
2025-07-21,665.0,690.0,654.4,674.8,3029741
2025-07-22,680.0,684.6,671.95,674.45,680247
2025-07-23,665.0,682.5,655.35,678.6,677094
2025-07-24,682.95,686.65,668.0,676.65,701318
2025-07-25,666.4,666.4,644.0,648.9,900089
2025-07-28,649.95,651.6,609.0,614.15,737399
2025-07-29,612.3,644.95,609.0,642.85,563916
2025-07-30,642.6,647.25,635.0,638.7,288062
