date,open,high,low,close,volume
2025-03-24,647.0,658.0,640.0,643.0,668160
2025-03-25,649.0,650.0,631.0,636.0,508330
2025-03-26,639.0,645.0,623.0,626.0,429860
2025-03-27,625.0,637.0,621.0,633.0,624930
2025-03-28,637.0,648.0,629.0,632.0,550680
2025-04-01,632.0,635.0,622.0,623.0,274360
2025-04-02,623.0,629.0,617.0,627.0,184200
2025-04-03,620.0,632.0,620.0,627.0,161340
2025-04-04,621.0,628.0,607.0,615.0,273940
2025-04-07,579.0,602.0,579.0,598.0,477910
2025-04-08,620.0,620.0,600.0,611.0,274080
2025-04-09,614.0,614.0,601.0,605.0,133660
2025-04-11,615.0,623.0,609.0,617.0,318430
2025-04-15,620.0,627.0,620.0,623.0,245280
2025-04-16,623.0,634.0,623.0,626.0,246470
2025-04-17,629.0,633.0,623.0,629.0,204110
2025-04-21,632.0,655.0,632.0,640.0,869260
2025-04-22,635.0,635.0,624.0,628.0,678280
2025-04-23,631.0,634.0,622.0,626.0,300130
2025-04-24,629.0,631.0,621.0,626.0,194310
2025-04-25,629.0,629.0,606.0,613.0,356300
2025-04-28,613.0,618.0,604.0,612.0,286240
2025-04-29,614.0,618.0,605.0,607.0,227060
2025-04-30,608.0,612.0,592.0,594.0,282190
2025-05-02,594.0,600.0,587.0,593.0,200960
2025-05-05,593.0,604.0,591.0,600.0,162110
2025-05-06,604.0,604.0,585.0,586.0,182100
2025-05-07,584.0,590.0,579.0,584.0,269920
2025-05-08,589.0,601.0,584.0,587.0,297200
2025-05-09,580.0,584.0,574.0,581.0,279120
2025-05-12,610.0,610.0,595.0,602.0,280870
2025-05-13,604.0,611.0,600.0,608.0,260370
2025-05-14,611.0,614.0,606.0,613.0,197430
2025-05-15,615.0,620.0,610.0,618.0,243790
2025-05-16,621.0,626.0,618.0,621.0,305720
2025-05-19,624.0,639.0,622.0,632.0,515620
2025-05-20,638.0,639.0,617.0,618.0,198500
2025-05-21,618.0,626.0,614.0,617.0,228890
2025-05-22,618.0,622.0,613.0,619.0,139420
2025-05-23,623.0,636.0,614.0,627.0,425310
2025-05-26,635.0,641.0,625.0,627.0,321910
2025-05-27,630.0,632.0,625.0,631.0,150200
2025-05-28,631.0,659.0,629.0,643.0,1056430
2025-05-29,646.0,657.0,639.0,654.0,747610
2025-05-30,655.0,693.0,653.0,673.0,3229350
2025-06-02,673.0,683.0,662.0,679.0,661360
2025-06-03,680.0,685.0,663.0,666.0,487160
2025-06-04,670.0,673.0,659.0,662.0,347060
2025-06-05,663.0,672.0,660.0,663.0,281370
2025-06-06,668.0,718.0,666.0,683.0,4429670
2025-06-09,692.0,694.0,686.0,691.0,601680
2025-06-10,690.0,742.0,684.0,734.0,5108540
2025-06-11,738.0,739.0,710.0,717.0,1348270
2025-06-12,717.0,718.0,687.0,688.0,955190
2025-06-13,676.0,687.0,672.0,679.0,787190
2025-06-16,679.0,682.0,657.0,672.0,688190
2025-06-17,672.0,678.0,660.0,661.0,441880
2025-06-18,662.0,667.0,651.0,653.0,406750
2025-06-19,653.0,657.0,641.0,642.0,323330
2025-06-20,640.0,668.0,638.0,663.0,700150
2025-06-23,671.0,677.0,657.0,666.0,893420
2025-06-24,672.0,687.0,668.0,673.0,910770
2025-06-25,678.0,684.0,678.0,679.0,293500
2025-06-26,684.0,684.0,675.0,679.0,213970
2025-06-27,680.0,690.0,679.0,681.0,393970
2025-06-30,684.0,692.0,681.0,686.0,292980
2025-07-01,687.0,697.0,684.0,687.0,327380
2025-07-02,690.0,690.0,676.0,682.0,214500
2025-07-03,690.0,690.0,681.0,682.0,193260
2025-07-04,682.0,684.0,671.0,675.0,193690
2025-07-07,672.0,682.0,665.0,667.0,232490
2025-07-08,670.0,674.0,663.0,667.0,147120
2025-07-09,671.0,671.0,662.0,664.0,212850
2025-07-10,663.0,670.0,662.0,665.0,125520
2025-07-11,668.0,669.0,659.0,661.0,166130
2025-07-14,659.0,663.0,650.0,654.0,144930
2025-07-15,656.0,662.0,656.0,658.0,117830
2025-07-16,661.0,664.0,658.0,659.0,105300
2025-07-17,659.0,665.0,657.0,659.0,99440
2025-07-18,662.0,663.0,653.0,654.0,105480
2025-07-21,654.0,695.0,648.0,676.0,3171900
2025-07-22,679.0,685.0,670.0,672.0,378690
2025-07-23,675.0,686.0,668.0,678.0,471100
2025-07-24,680.0,690.0,673.0,675.0,234990
2025-07-25,675.0,675.0,660.0,662.0,170920
2025-07-28,658.0,686.0,658.0,665.0,552600
2025-07-29,664.0,679.0,659.0,672.0,337420
2025-07-30,673.0,684.0,670.0,673.0,248130
2025-07-31,677.0,693.0,673.0,680.0,965730
2025-08-01,693.0,693.0,675.0,678.0,567780
2025-08-04,681.0,716.0,675.0,698.0,2462850
2025-08-05,710.0,763.0,708.0,714.0,13478390
2025-08-06,715.0,722.0,706.0,708.0,1164670
2025-08-07,709.0,712.0,685.0,690.0,938130
2025-08-08,697.0,697.0,685.0,689.0,514040
2025-08-11,690.0,699.0,688.0,690.0,325570
2025-08-12,693.0,694.0,684.0,689.0,260360
2025-08-13,691.0,695.0,686.0,688.0,235040
2025-08-14,688.0,692.0,686.0,688.0,209830
2025-08-18,693.0,700.0,686.0,689.0,230550
2025-08-19,691.0,695.0,689.0,692.0,178560
2025-08-20,694.0,702.0,693.0,694.0,245710
2025-08-21,697.0,706.0,694.0,695.0,219040
2025-08-22,695.0,697.0,691.0,692.0,155220
