date,open,high,low,close,volume
2025-03-24,1390.4,1441.3,1388.2,1432.5,3072831
2025-03-25,1447.6,1457.3,1423.4,1429.4,2056315
2025-03-26,1437.7,1437.7,1384.2,1390.9,2231144
2025-03-27,1381.9,1404.3,1380.8,1398.3,2541022
2025-03-28,1389.7,1404.3,1383.3,1392.8,1642693
2025-04-01,1376.8,1391.5,1360.5,1370.1,1578367
2025-04-02,1372.1,1400.5,1372.1,1397.5,1617949
2025-04-03,1371.9,1374.9,1335.8,1344.8,1943422
2025-04-04,1325.8,1334.8,1295.2,1297.2,1757493
2025-04-07,1222.7,1270.6,1187.7,1264.9,3044730
2025-04-08,1290.4,1318.0,1268.0,1290.8,2868814
2025-04-09,1266.9,1276.6,1241.7,1249.9,3724878
2025-04-11,1252.1,1288.8,1251.3,1259.2,1803181
2025-04-15,1290.6,1290.6,1263.7,1278.3,1511866
2025-04-16,1268.8,1291.0,1260.5,1285.2,1093342
2025-04-17,1271.9,1285.4,1253.0,1283.4,3027966
2025-04-21,1280.6,1364.1,1279.6,1348.9,3759267
2025-04-22,1349.3,1371.0,1336.8,1351.8,2471135
2025-04-23,1393.4,1423.4,1382.7,1413.8,5944062
2025-04-24,1419.1,1441.2,1408.6,1419.3,2501415
2025-04-25,1429.3,1447.5,1350.3,1435.8,8211667
2025-04-28,1442.9,1453.4,1411.2,1435.3,2079431
2025-04-29,1439.9,1477.9,1437.0,1468.5,2652788
2025-04-30,1468.5,1483.7,1463.3,1476.0,1858465
2025-05-02,1478.0,1491.7,1463.1,1469.5,1986072
2025-05-05,1472.1,1479.5,1463.8,1467.8,846022
2025-05-06,1470.0,1477.8,1459.4,1469.4,1545773
2025-05-07,1462.4,1477.9,1454.0,1468.4,1272555
2025-05-08,1474.0,1491.3,1461.3,1475.8,2829448
2025-05-09,1453.4,1474.4,1451.6,1466.9,923174
2025-05-12,1494.7,1548.2,1490.2,1544.9,1891418
2025-05-13,1571.6,1572.2,1537.0,1544.3,3724272
2025-05-14,1555.6,1580.5,1549.8,1574.4,2354571
2025-05-15,1577.2,1607.0,1571.5,1599.9,2972408
2025-05-16,1605.7,1606.5,1572.6,1588.0,1159095
2025-05-19,1588.0,1597.0,1564.5,1569.1,681874
2025-05-20,1583.1,1590.4,1545.1,1547.7,1869716
2025-05-21,1548.7,1574.2,1541.2,1569.5,930031
2025-05-22,1561.2,1561.2,1530.0,1537.5,1789310
2025-05-23,1546.7,1575.2,1539.7,1551.9,1159290
