date,open,high,low,close,volume
2025-03-24,1052.95,1096.0,1042.15,1052.55,598647
2025-03-25,1066.95,1072.6,1001.15,1010.5,300881
2025-03-26,1040.0,1049.9,993.4,1005.9,342705
2025-03-27,1009.0,1033.0,991.1,1015.95,242136
2025-03-28,1020.0,1048.1,1000.0,1003.2,202816
2025-04-01,1003.2,1042.45,999.0,1024.25,225173
2025-04-02,1020.0,1028.65,999.0,1025.05,152041
2025-04-03,1015.0,1035.9,1009.95,1015.95,124410
2025-04-04,1001.2,1018.65,967.15,981.4,297051
2025-04-07,785.15,939.0,785.15,930.4,307006
2025-04-08,957.0,976.0,929.05,932.75,152250
2025-04-09,933.0,934.4,912.4,918.55,159898
2025-04-11,954.9,992.8,942.75,987.95,585746
2025-04-15,1029.9,1037.5,1012.7,1024.2,221647
2025-04-16,1021.0,1036.9,1018.0,1033.3,116513
2025-04-17,1030.0,1096.0,1029.0,1057.8,511917
2025-04-21,1080.0,1167.9,1050.9,1155.7,1221658
2025-04-22,1147.1,1150.1,1094.1,1119.9,463456
2025-04-23,1124.0,1142.2,1088.0,1135.7,298651
2025-04-24,1143.5,1143.5,1096.0,1100.2,157601
2025-04-25,1102.0,1110.8,1058.1,1101.4,312973
2025-04-28,1101.0,1101.0,1071.0,1091.5,221494
2025-04-29,1090.9,1122.2,1087.8,1096.9,140557
2025-04-30,1090.1,1102.4,1052.1,1063.5,179928
2025-05-02,1063.0,1075.8,1043.7,1065.6,111238
2025-05-05,1069.6,1085.5,1064.0,1080.0,235735
2025-05-06,1080.5,1089.9,1025.3,1044.5,275357
2025-05-07,1010.5,1084.7,1010.5,1078.4,152615
2025-05-08,1094.8,1139.9,1063.0,1070.5,205711
2025-05-09,1030.0,1086.0,1023.0,1082.6,101587
2025-05-12,1122.0,1135.2,1104.0,1124.5,150988
2025-05-13,1135.0,1136.2,1110.6,1117.4,100118
2025-05-14,1117.5,1198.0,1115.8,1193.7,587837
2025-05-15,1198.0,1225.9,1172.2,1220.9,436302
2025-05-16,1225.0,1287.6,1202.5,1280.1,270301
2025-05-19,1288.6,1305.0,1259.7,1274.9,170060
2025-05-20,1281.3,1285.1,1226.0,1230.8,141438
2025-05-21,1225.1,1255.0,1222.8,1238.4,131709
2025-05-22,1229.8,1255.9,1212.3,1228.5,111196
2025-05-23,1230.5,1236.4,1210.9,1217.9,157723
2025-05-26,1225.8,1298.0,1225.0,1275.0,485242
2025-05-27,1297.5,1315.0,1229.3,1250.7,467148
2025-05-28,1401.0,1464.0,1337.0,1438.0,6224851
2025-05-29,1435.0,1458.0,1420.0,1443.8,786563
2025-05-30,1456.0,1495.5,1404.6,1409.8,722278
2025-06-02,1421.0,1468.8,1419.8,1442.0,606685
2025-06-03,1449.2,1501.5,1435.1,1462.2,378484
2025-06-04,1490.1,1566.9,1452.0,1542.9,1300328
2025-06-05,1540.0,1550.1,1495.0,1506.4,380743
2025-06-06,1513.0,1524.2,1480.6,1484.1,213625
2025-06-09,1495.2,1557.0,1492.6,1548.3,299823
2025-06-10,1557.0,1565.0,1528.9,1532.0,233035
2025-06-11,1541.9,1548.0,1502.6,1518.9,252495
2025-06-12,1527.4,1533.8,1451.1,1464.7,316087
2025-06-13,1408.0,1467.3,1408.0,1454.2,212037
2025-06-16,1459.0,1494.0,1433.0,1486.7,281154
2025-06-17,1486.7,1542.0,1481.8,1509.2,310854
2025-06-18,1509.2,1532.9,1487.6,1502.5,122168
2025-06-19,1510.0,1535.0,1457.0,1466.7,277728
2025-06-20,1462.0,1489.0,1460.1,1480.7,119271
2025-06-23,1480.0,1524.7,1457.4,1520.0,234375
2025-06-24,1536.1,1564.5,1522.6,1529.7,276526
2025-06-25,1536.6,1559.0,1493.4,1504.1,361492
2025-06-26,1514.8,1540.0,1475.0,1529.8,277201
2025-06-27,1540.0,1623.3,1534.1,1591.6,878103
2025-06-30,1619.0,1634.0,1586.0,1600.1,381419
2025-07-01,1600.0,1645.0,1564.0,1636.1,358093
2025-07-02,1635.0,1639.8,1578.7,1583.0,286011
2025-07-03,1588.9,1597.9,1553.1,1558.7,263338
2025-07-04,1550.0,1594.0,1545.1,1575.5,217928
2025-07-07,1576.6,1588.9,1553.8,1578.5,183197
2025-07-08,1579.0,1625.2,1572.3,1613.0,303439
2025-07-09,1610.5,1640.0,1595.6,1621.1,271477
2025-07-10,1627.4,1654.0,1603.0,1613.3,254268
2025-07-11,1605.0,1619.4,1582.0,1598.2,186634
2025-07-14,1589.1,1589.1,1511.2,1544.0,500637
2025-07-15,1544.0,1579.8,1533.9,1572.2,189827
2025-07-16,1550.0,1576.3,1547.3,1557.7,102062
2025-07-17,1552.0,1567.7,1530.8,1537.7,179632
2025-07-18,1539.3,1564.9,1518.0,1527.4,113008
2025-07-21,1527.4,1550.0,1516.1,1544.6,114064
2025-07-22,1543.0,1554.2,1511.5,1517.0,107647
2025-07-23,1516.9,1523.2,1472.6,1481.2,140957
2025-07-24,1480.9,1491.0,1462.3,1469.6,131639
2025-07-25,1474.4,1474.4,1436.0,1441.5,136330
2025-07-28,1441.7,1450.4,1394.0,1411.4,267014
2025-07-29,1406.0,1470.9,1401.0,1462.5,155705
2025-07-30,1471.0,1472.5,1435.0,1446.7,64994
2025-07-31,1425.0,1478.2,1425.0,1456.3,114708
2025-08-01,1456.3,1456.3,1412.6,1419.0,73317
2025-08-04,1419.0,1455.2,1408.0,1434.8,111588
2025-08-05,1434.8,1455.1,1417.0,1426.1,63861
2025-08-06,1431.5,1446.1,1375.0,1380.9,200874
2025-08-07,1372.0,1407.4,1365.0,1395.9,131216
2025-08-08,1395.9,1417.8,1371.1,1380.3,88311
2025-08-11,1385.0,1403.1,1373.1,1398.2,66258
2025-08-12,1410.0,1418.7,1357.0,1366.8,151289
2025-08-13,1390.0,1477.0,1390.0,1439.9,928117
2025-08-14,1449.9,1513.0,1429.5,1493.9,627473
2025-08-18,1500.0,1521.4,1430.0,1440.4,290056
2025-08-19,1435.0,1464.0,1421.0,1449.6,256109
2025-08-20,1451.0,1490.0,1449.6,1478.9,234937
