date,open,high,low,close,volume
2025-03-24,547.45,547.45,536.4,547.45,104527
2025-03-25,572.0,574.8,555.0,574.7,81886
2025-03-26,569.0,579.05,546.0,546.0,43686
2025-03-27,518.7,570.0,518.7,541.65,52686
2025-03-28,548.85,564.8,514.6,514.85,64802
2025-04-01,515.05,540.55,514.85,539.55,21229
2025-04-02,542.0,554.75,526.0,544.6,31141
2025-04-03,522.4,547.9,522.4,538.35,38655
2025-04-04,536.95,540.0,511.45,527.65,47904
2025-04-07,501.3,501.3,501.3,501.3,7105
2025-04-08,501.3,519.0,476.25,502.95,41286
2025-04-09,499.65,507.0,486.1,489.3,12978
2025-04-11,498.45,509.95,490.1,498.5,22667
2025-04-15,496.1,509.0,473.6,473.6,81729
2025-04-16,455.05,470.0,449.95,449.95,90980
2025-04-17,429.05,440.0,427.45,427.45,87084
2025-04-21,406.1,448.8,406.1,448.8,149607
2025-04-22,458.95,458.95,426.4,431.85,133065
2025-04-23,420.0,449.95,415.25,445.2,58382
2025-04-24,443.9,448.7,428.4,446.6,24349
2025-04-25,449.95,450.0,424.3,433.4,91416
2025-04-28,422.0,427.0,411.75,412.1,47654
2025-04-29,406.05,432.7,405.05,432.7,40105
2025-04-30,428.9,428.9,411.55,417.75,33647
2025-05-02,417.75,438.6,405.05,429.55,51054
2025-05-05,429.55,439.9,415.5,435.75,20887
2025-05-06,435.0,455.0,420.0,421.3,30056
2025-05-07,414.5,434.8,414.5,423.2,21345
2025-05-08,425.65,434.0,403.0,406.1,35225
2025-05-09,386.0,418.9,386.0,401.25,42338
2025-05-12,414.0,421.3,405.7,421.3,26341
2025-05-13,442.35,442.35,425.0,440.55,50369
2025-05-14,443.0,462.55,431.4,462.55,56736
2025-05-15,469.9,485.65,460.0,485.65,47062
2025-05-16,495.85,509.9,486.15,509.9,42064
2025-05-19,499.7,499.7,499.7,499.7,10831
2025-05-20,489.7,489.7,489.7,489.7,6477
2025-05-21,479.9,479.9,479.9,479.9,8831
2025-05-22,470.3,470.3,470.3,470.3,25738
2025-05-23,460.9,460.9,460.9,460.9,9201
2025-05-26,451.7,451.7,451.7,451.7,13891
2025-05-27,442.7,460.7,442.7,460.7,104177
2025-05-28,469.9,469.9,469.9,469.9,17860
2025-05-29,479.25,479.25,460.5,460.6,42445
2025-05-30,451.4,460.6,451.4,460.6,28578
2025-06-02,469.8,469.8,469.8,469.8,23911
2025-06-03,479.15,479.15,477.9,479.15,22688
2025-06-04,479.15,480.0,479.0,480.0,15470
2025-06-05,480.0,481.05,480.0,480.0,9119
2025-06-06,473.0,473.0,470.4,470.4,11876
2025-06-09,461.5,470.4,461.0,470.4,49552
2025-06-10,470.4,479.8,470.4,479.8,17373
2025-06-11,489.35,489.35,489.35,489.35,19597
2025-06-12,499.1,499.1,479.6,480.15,29495
2025-06-13,484.0,484.0,483.0,483.0,10698
2025-06-16,480.0,480.0,480.0,480.0,11399
2025-06-17,472.1,472.1,470.45,471.0,22726
2025-06-18,471.0,472.0,471.0,471.4,7161
2025-06-19,468.0,468.0,462.05,468.0,14001
2025-06-20,468.0,474.85,468.0,474.85,10384
2025-06-23,455.2,483.95,455.2,478.65,23243
2025-06-24,484.9,484.9,468.0,473.3,30155
2025-06-25,473.3,479.8,468.15,475.3,16476
2025-06-26,478.0,499.05,478.0,499.05,67627
2025-06-27,499.05,524.0,495.0,524.0,83316
2025-06-30,537.0,550.2,530.0,550.2,31769
2025-07-01,577.7,577.7,526.05,559.9,108753
2025-07-02,550.5,559.0,531.9,542.8,44184
2025-07-03,531.95,531.95,531.95,531.95,9693
2025-07-04,521.35,521.35,521.35,521.35,8375
2025-07-07,510.95,510.95,510.95,510.95,3002
2025-07-08,521.15,521.15,521.15,521.15,28894
2025-07-09,531.0,531.0,514.0,514.0,25903
2025-07-10,510.0,510.0,503.75,503.75,25438
2025-07-11,513.0,513.0,504.0,504.0,30531
2025-07-14,504.0,514.05,504.0,514.05,26709
2025-07-15,524.3,524.3,524.3,524.3,33902
2025-07-16,529.9,529.9,513.85,514.05,43047
2025-07-17,514.05,519.1,514.0,514.0,26876
2025-07-18,514.15,514.15,510.0,510.0,20727
2025-07-21,499.8,499.8,499.8,499.8,19933
2025-07-22,489.8,499.0,489.8,490.0,41512
2025-07-23,490.0,499.8,482.05,499.8,18098
2025-07-24,509.75,509.75,508.0,508.95,20115
2025-07-25,510.1,510.1,500.2,500.2,7510
2025-07-28,503.5,506.0,503.5,506.0,14673
2025-07-29,516.0,516.0,501.55,501.55,6235
2025-07-30,500.0,510.0,500.0,510.0,13899
2025-07-31,501.1,508.5,500.6,506.95,8233
2025-08-01,510.0,510.0,500.0,500.0,8297
2025-08-04,500.2,500.2,490.0,498.0,15637
2025-08-05,498.2,498.2,488.05,490.15,9779
2025-08-06,491.0,491.0,487.0,487.0,14392
2025-08-07,484.6,484.6,477.3,477.3,14578
2025-08-08,477.4,479.0,474.0,477.0,16730
2025-08-11,488.9,500.85,472.0,496.55,19409
2025-08-12,501.0,521.35,490.0,521.35,61052
2025-08-13,547.4,547.4,547.4,547.4,15589
2025-08-14,574.75,574.75,574.75,574.75,27929
2025-08-18,603.45,603.45,574.75,584.65,164847
2025-08-19,582.1,613.85,555.45,585.4,147381
2025-08-20,575.0,607.0,562.0,599.9,71063
2025-08-21,609.0,614.9,569.9,573.55,91692
2025-08-22,573.55,581.0,557.0,566.45,47723
2025-08-25,570.0,623.05,569.95,614.2,579756
2025-08-26,623.9,624.95,601.0,615.65,114894
2025-08-28,622.7,664.2,601.0,644.15,162746
2025-08-29,644.15,667.95,644.15,654.6,61921
2025-09-01,674.95,675.0,617.5,619.75,110516
2025-09-02,619.75,632.85,607.0,622.25,63493
2025-09-03,616.0,655.05,616.0,651.15,73723
2025-09-04,657.5,666.95,626.0,636.1,53984
2025-09-05,628.65,643.7,614.1,624.65,38500
2025-09-08,624.3,639.45,609.05,613.15,46203
2025-09-09,611.35,647.65,595.05,612.05,80881
2025-09-10,619.8,635.0,613.05,625.95,28373
2025-09-11,626.0,629.65,611.05,613.6,24467
2025-09-12,640.0,640.0,598.0,601.5,49133
2025-09-15,598.5,606.0,586.05,597.9,46627
2025-09-16,597.9,615.0,597.9,607.75,51873
2025-09-17,623.0,623.0,592.1,605.55,44948
2025-09-18,602.8,614.75,601.55,608.85,44668
2025-09-19,617.0,622.75,599.55,611.6,42314
2025-09-22,611.0,616.55,592.0,601.75,79302
2025-09-23,600.1,609.55,589.9,590.65,29268
2025-09-24,601.0,601.95,588.55,595.55,38623
2025-09-25,595.55,598.9,578.15,584.6,45068
2025-09-26,580.2,592.0,554.1,564.5,86727
2025-09-29,594.95,594.95,542.55,576.3,103332
2025-09-30,584.0,609.0,579.15,590.1,51114
2025-10-01,605.0,605.0,582.95,587.4,14766
2025-10-03,585.0,595.0,582.0,584.75,15973
2025-10-06,586.0,594.1,566.05,577.15,35077
2025-10-07,577.05,585.0,559.0,561.55,41284
2025-10-08,555.0,569.0,541.1,545.95,30616
2025-10-09,555.9,571.85,555.0,564.5,59229
2025-10-10,564.5,584.3,564.45,576.45,25542
2025-10-13,576.45,579.8,571.55,576.3,14196
2025-10-14,571.55,580.9,561.2,564.95,21581
2025-10-15,570.0,570.0,535.65,547.95,61738
2025-10-16,541.75,555.0,540.0,549.1,32929
2025-10-17,545.05,569.6,545.05,563.75,22699
2025-10-20,575.0,620.1,546.1,615.05,135967
2025-10-21,638.0,642.65,611.05,633.7,78134
2025-10-23,625.0,627.4,605.0,610.85,45463
2025-10-24,610.85,615.5,595.5,603.1,40822
2025-10-27,606.0,632.0,605.7,613.05,29741
2025-10-28,620.5,624.5,612.05,617.65,26684
2025-10-29,617.65,634.95,581.65,623.75,92335
2025-10-30,629.9,636.65,621.05,630.65,38128
2025-10-31,639.0,654.0,618.0,647.25,242504
2025-11-03,650.5,658.0,637.5,644.15,40907
2025-11-04,650.0,650.85,628.05,631.1,33796
2025-11-06,634.25,636.95,616.0,632.55,40766
2025-11-07,630.0,695.8,625.0,695.8,291342
2025-11-10,704.5,765.35,700.0,764.9,540122
2025-11-11,765.0,837.0,733.05,813.4,538190
2025-11-12,794.8,794.8,772.75,772.75,51681
2025-11-13,736.05,759.0,734.15,745.3,239924
2025-11-14,731.5,782.55,731.5,781.4,278078
2025-11-17,780.0,805.1,766.1,780.55,100206
2025-11-18,795.0,795.55,748.0,766.55,94207
2025-11-19,775.0,804.85,760.15,802.25,164998
2025-11-20,811.0,824.35,800.0,809.25,125140
2025-11-21,810.0,810.9,768.8,774.7,66538
2025-11-24,774.7,774.7,738.0,742.7,94912
2025-11-25,725.0,767.0,725.0,756.85,51772
2025-11-26,759.4,767.95,741.4,752.85,34426
2025-11-27,742.0,755.65,715.2,734.2,63560
2025-11-28,760.85,760.85,728.4,747.05,70338
2025-12-01,751.7,751.7,725.0,726.8,20556
2025-12-02,721.0,725.05,710.4,717.2,23093
2025-12-03,727.0,739.9,702.05,727.35,45834
2025-12-04,735.0,735.0,705.05,726.1,40457
2025-12-05,722.5,722.8,700.05,704.3,50593
2025-12-08,702.05,719.0,687.1,706.2,54985
2025-12-09,706.2,720.1,680.15,711.3,40913
2025-12-10,699.0,718.9,699.0,704.1,19917
2025-12-11,699.0,738.9,668.9,738.2,149247
2025-12-12,746.5,758.0,730.05,746.7,148318
2025-12-15,743.0,764.15,731.5,747.8,57514
2025-12-16,737.0,748.8,735.45,738.25,22933
2025-12-17,744.15,744.15,715.0,724.5,62044
2025-12-18,716.0,745.0,714.0,735.65,56953
2025-12-19,736.0,736.0,705.0,724.7,41455
2025-12-22,739.0,760.9,725.1,760.85,418706
2025-12-23,756.0,792.4,750.0,782.75,479818
2025-12-24,779.65,780.75,743.65,745.0,236163
2025-12-26,737.0,752.0,707.75,709.15,114417
2025-12-29,707.0,707.0,673.7,673.7,82862
2025-12-30,669.0,670.7,640.05,641.35,148132
2025-12-31,609.3,609.3,609.3,609.3,18668
2026-01-01,578.85,578.85,578.85,578.85,29755
2026-01-02,567.0,607.75,567.0,607.75,1285253
2026-01-05,610.0,633.0,596.4,624.8,806267
2026-01-06,629.95,629.95,593.6,599.65,259429
2026-01-07,596.0,607.5,584.4,597.15,81735
2026-01-08,607.0,617.95,582.0,585.15,475729
2026-01-09,585.5,599.3,563.0,569.75,109826
2026-01-12,571.0,597.7,555.5,590.5,162334
2026-01-13,580.0,597.45,575.05,577.25,69249
2026-01-14,585.0,586.85,564.15,572.7,46865
2026-01-16,572.5,600.25,552.15,596.8,436984
2026-01-19,588.9,593.1,569.25,579.8,96426
2026-01-20,584.45,587.3,550.85,553.65,87137
2026-01-21,554.0,561.0,526.0,542.2,170259
2026-01-22,545.0,569.3,541.55,567.85,75613
2026-01-23,570.0,572.65,554.9,559.1,53535
2026-01-27,559.1,559.1,537.3,543.8,71879
2026-01-28,550.0,558.0,534.05,555.25,164362
2026-01-29,567.0,569.95,541.0,544.15,97366
2026-01-30,540.5,551.95,536.05,544.05,54745
2026-02-01,545.5,549.0,530.0,533.55,47441
2026-02-02,549.6,549.9,530.0,533.55,30920
2026-02-03,555.5,560.2,536.0,560.0,145740
2026-02-04,565.5,588.0,555.25,585.65,128059
2026-02-05,597.0,607.5,565.0,575.6,405194
2026-02-06,580.0,583.1,561.75,572.3,53265
2026-02-09,581.0,588.0,567.0,571.1,61827
2026-02-10,560.5,574.3,555.0,561.75,61964
2026-02-11,563.0,573.9,550.6,558.4,56293
2026-02-12,558.4,565.95,551.0,557.55,70602
2026-02-13,559.0,559.0,540.95,545.9,68612
2026-02-16,550.0,550.0,540.0,544.5,30039
2026-02-17,545.5,553.45,537.05,540.65,64414
2026-02-18,543.0,552.4,537.0,539.8,36650
2026-02-19,543.85,552.6,530.0,535.5,43193
2026-02-20,535.5,547.15,531.2,540.45,79929
2026-02-23,550.0,550.0,532.0,533.85,44202
2026-02-24,536.0,541.05,531.0,535.5,30705
2026-02-25,531.55,549.85,528.0,533.55,77296
2026-02-26,535.0,547.0,530.0,536.2,95613
2026-02-27,540.5,544.0,530.5,532.45,82236
2026-03-02,525.0,532.0,516.5,523.25,62860
2026-03-04,514.5,525.0,502.0,519.55,129013
2026-03-05,519.55,547.5,519.55,539.05,113220
2026-03-06,535.5,544.95,525.5,532.65,55884
2026-03-09,513.0,554.9,510.0,532.65,256239
2026-03-10,535.5,535.5,518.7,533.3,100787
2026-03-11,535.5,535.5,520.6,524.25,215794
2026-03-12,525.05,525.05,508.2,512.55,111666
2026-03-13,515.0,520.0,499.95,510.65,88780
2026-03-16,513.25,518.95,490.0,501.4,100457
2026-03-17,505.5,519.55,497.35,514.3,186195
2026-03-18,519.0,519.35,502.0,508.4,66699
2026-03-19,505.5,514.0,495.0,500.8,63792
2026-03-20,501.0,505.95,497.15,501.4,63392
2026-03-23,502.0,502.0,471.6,490.6,129777
2026-03-24,506.0,506.0,479.8,487.25,113962
2026-03-25,494.0,503.9,484.55,490.5,268177
2026-03-27,488.05,490.05,451.25,467.35,369796
2026-03-30,475.0,475.05,433.35,467.8,310076
2026-04-01,488.0,489.6,470.0,480.0,293667
2026-04-02,475.0,495.0,467.9,491.5,242517
2026-04-06,499.7,504.3,477.8,498.9,208919
2026-04-07,500.0,501.95,480.05,483.35,124072
2026-04-08,509.0,552.0,494.05,531.25,600160
2026-04-09,530.5,553.9,525.5,550.25,162505
2026-04-10,555.0,574.95,548.05,569.6,181254
2026-04-13,559.95,590.0,545.0,584.65,323311
2026-04-15,594.0,609.95,584.5,587.9,438694
2026-04-16,592.6,594.2,580.1,587.65,125549
2026-04-17,586.0,591.95,580.0,582.25,122356
2026-04-20,585.5,607.0,577.65,601.7,147993
2026-04-21,604.5,630.0,602.0,625.05,270916
2026-04-22,630.0,632.0,616.25,619.7,181628
2026-04-23,614.95,626.7,609.1,615.25,86783
2026-04-24,617.0,619.6,595.0,605.4,159813
