date,open,high,low,close,volume
2025-03-24,246.9,252.6,243.4,245.0,153846
2025-03-25,247.0,249.4,241.2,243.4,122634
2025-03-26,243.7,244.7,235.0,239.1,146136
2025-03-27,238.3,239.4,232.7,233.6,116766
2025-03-28,232.7,236.9,224.4,226.6,185130
2025-04-01,227.6,242.0,226.8,240.6,160374
2025-04-02,241.7,241.7,235.0,240.2,68889
2025-04-03,238.1,241.0,236.4,240.3,39090
2025-04-04,241.3,241.3,228.3,230.8,87615
2025-04-07,223.3,230.0,219.6,227.5,119037
2025-04-08,230.0,232.9,226.0,228.6,58233
2025-04-09,228.6,236.2,226.2,235.2,53022
2025-04-11,236.4,238.3,232.3,233.9,51609
2025-04-15,234.2,239.4,234.2,237.8,46716
2025-04-16,239.1,243.3,233.0,235.4,135753
2025-04-17,235.0,242.0,234.3,236.2,102051
2025-04-21,236.2,245.3,236.0,243.7,111528
2025-04-22,243.7,276.7,242.8,265.0,611001
2025-04-23,267.6,271.0,254.1,256.4,450315
2025-04-24,275.7,304.2,273.3,282.2,6208320
2025-04-25,282.2,312.9,276.8,300.8,5001441
2025-04-28,298.7,312.6,292.6,304.0,1066788
2025-04-29,297.7,306.3,294.7,296.8,346206
2025-04-30,296.6,300.0,290.7,292.7,226242
2025-05-02,292.7,301.4,289.3,298.8,260523
2025-05-05,300.0,310.7,293.4,304.4,282756
2025-05-06,308.6,315.0,302.6,306.8,444396
2025-05-07,300.0,309.3,296.7,307.5,247515
2025-05-08,307.9,318.3,299.5,301.7,310122
2025-05-09,296.7,315.0,293.0,313.0,328788
2025-05-12,321.7,328.7,316.0,317.9,290718
2025-05-13,322.6,330.1,317.2,327.8,314820
2025-05-14,327.7,338.0,324.0,327.4,250383
2025-05-15,327.3,335.6,324.6,331.3,194622
2025-05-16,333.3,333.3,322.4,324.3,137205
2025-05-19,327.0,327.0,318.0,322.2,189165
2025-05-20,323.9,325.4,316.4,317.7,128421
2025-05-21,319.3,331.7,319.3,326.6,331953
2025-05-22,326.7,329.3,318.3,320.8,121332
2025-05-23,323.5,347.0,323.3,335.2,777039
2025-05-26,340.5,343.3,333.8,338.5,188784
2025-05-27,340.7,342.0,335.1,337.8,200412
2025-05-28,334.2,344.7,334.2,337.0,313083
2025-05-29,338.3,347.6,337.4,342.1,420114
2025-05-30,342.0,351.2,340.0,349.7,222834
2025-06-02,353.3,357.7,331.2,336.9,330915
2025-06-03,341.7,341.7,327.3,330.8,103053
2025-06-04,334.0,337.0,327.8,333.4,97131
2025-06-05,335.0,341.3,328.7,332.2,137358
2025-06-06,327.7,331.8,291.4,317.6,610347
2025-06-09,319.3,328.3,317.1,325.4,190926
2025-06-10,327.3,332.7,326.0,331.7,164118
2025-06-11,333.1,333.6,326.8,328.9,69027
2025-06-12,328.7,331.1,325.9,328.4,106689
2025-06-13,326.7,343.3,322.8,340.5,313221
2025-06-16,341.9,342.6,325.0,340.0,178266
2025-06-17,340.0,344.8,332.1,334.8,128844
2025-06-18,334.8,336.0,330.0,332.3,75045
2025-06-19,329.5,338.9,329.1,335.0,135717
2025-06-20,337.7,341.3,330.5,336.6,173193
2025-06-23,335.0,337.8,328.4,329.8,103743
2025-06-24,329.8,335.7,318.1,318.9,173298
2025-06-25,322.7,334.9,321.3,330.7,123282
2025-06-26,330.7,335.9,330.7,334.3,80226
2025-06-27,335.8,338.0,330.3,332.2,71658
2025-06-30,332.2,333.7,329.7,330.2,42570
2025-07-01,328.7,329.3,323.0,324.8,104802
2025-07-02,328.3,329.6,323.3,328.1,142311
2025-07-03,326.7,345.4,325.8,340.0,212196
2025-07-04,340.7,345.0,335.0,341.0,85473
2025-07-07,341.0,361.7,335.9,357.4,412011
2025-07-08,357.4,366.7,340.0,356.1,403155
2025-07-09,357.9,367.3,356.9,365.0,346284
2025-07-10,366.0,366.7,355.3,360.6,114648
2025-07-11,360.0,367.0,357.4,361.8,164763
2025-07-14,362.0,392.6,362.0,387.2,1231275
2025-07-15,391.3,393.0,370.1,388.2,471516
2025-07-16,390.0,400.9,381.3,399.5,429399
2025-07-17,402.0,402.6,384.7,387.0,274101
2025-07-18,385.0,400.0,385.0,394.8,242589
2025-07-21,398.7,399.0,386.5,397.7,169212
2025-07-22,397.3,400.7,393.2,395.8,278427
2025-07-23,395.7,403.7,395.0,401.8,293337
2025-07-24,417.0,452.6,410.0,445.7,5824314
2025-07-25,441.7,444.3,426.8,437.4,508722
2025-07-28,435.4,450.0,411.4,415.4,839901
2025-07-29,415.3,430.0,411.2,422.6,294699
2025-07-30,422.7,444.9,418.4,433.4,832359
2025-07-31,428.4,444.3,425.0,442.0,431856
2025-08-01,443.7,458.3,433.3,440.3,646386
2025-08-04,441.6,455.9,437.9,451.0,238863
2025-08-05,451.8,451.8,437.4,440.3,151500
2025-08-06,436.7,458.3,436.7,448.7,554700
2025-08-07,449.2,455.9,442.0,449.1,260997
2025-08-08,449.1,456.6,438.0,445.8,351258
2025-08-11,441.7,450.0,421.2,443.1,472137
2025-08-12,443.6,455.7,443.6,450.2,194619
2025-08-13,452.5,478.3,450.2,458.7,976416
2025-08-14,458.7,465.7,448.0,461.2,293595
2025-08-18,469.3,474.5,462.5,466.6,525483
2025-08-19,466.0,467.1,456.0,461.9,210438
2025-08-20,465.0,465.0,440.5,446.9,265869
2025-08-21,446.7,455.0,441.7,446.7,336342
2025-08-22,446.7,450.0,418.7,423.9,306984
2025-08-25,422.0,435.6,415.8,421.8,478089
2025-08-26,423.2,443.2,418.6,422.3,624579
2025-08-28,423.7,431.6,417.0,426.1,194139
2025-08-29,428.3,428.3,418.8,421.8,134430
2025-09-01,418.3,432.9,418.3,430.0,499053
2025-09-02,433.3,448.0,430.7,443.8,381414
2025-09-03,443.3,448.3,431.7,433.9,351339
2025-09-04,436.7,457.7,428.6,446.9,1126212
2025-09-05,445.1,451.5,440.0,442.3,646236
2025-09-08,443.6,461.2,435.1,440.6,498102
2025-09-09,442.3,444.2,430.5,433.3,168711
2025-09-10,433.0,436.0,423.9,431.1,325611
2025-09-11,429.3,432.5,415.3,418.2,320382
2025-09-12,418.3,431.3,405.4,407.9,564222
