date,open,high,low,close,volume
2025-03-24,404.35,408.75,398.0,399.7,241101
2025-03-25,402.0,403.8,390.65,396.35,446934
2025-03-26,396.9,397.15,383.5,385.0,169293
2025-03-27,385.3,396.4,380.5,392.15,294774
2025-03-28,396.65,404.0,382.55,384.45,371101
2025-04-01,380.0,387.0,376.2,379.0,256819
2025-04-02,375.4,380.55,366.6,378.9,380476
2025-04-03,376.95,386.0,373.05,380.95,357500
2025-04-04,381.85,396.6,374.0,378.7,1381236
2025-04-07,317.0,368.0,313.1,364.5,450559
2025-04-08,373.0,376.95,368.9,372.95,282186
2025-04-09,373.9,376.8,357.5,363.85,242936
2025-04-11,374.95,381.8,370.0,379.9,282830
2025-04-15,385.0,396.65,382.8,395.75,284745
2025-04-16,393.0,404.4,392.35,402.5,278002
2025-04-17,402.5,406.0,396.0,397.7,181057
2025-04-21,399.0,401.45,392.15,399.6,290372
2025-04-22,400.0,410.5,396.1,407.05,353215
2025-04-23,409.25,418.0,403.3,414.15,811158
2025-04-24,412.0,450.0,408.2,437.65,3029680
2025-04-25,437.65,437.65,416.0,420.9,566688
2025-04-28,416.0,421.95,412.55,416.15,279495
2025-04-29,418.0,429.45,413.75,416.65,277929
2025-04-30,418.05,428.65,407.5,409.2,374405
2025-05-02,409.2,420.7,402.25,417.15,332709
2025-05-05,417.2,425.9,410.6,424.6,259602
2025-05-06,421.1,424.15,404.15,406.2,170876
2025-05-07,401.0,422.0,401.0,418.4,265546
2025-05-08,421.1,423.6,402.25,409.4,160627
2025-05-09,400.05,410.0,395.55,407.05,251110
2025-05-12,419.95,427.0,417.05,419.3,221447
2025-05-13,420.0,427.2,419.4,421.5,169381
2025-05-14,421.8,430.5,421.65,426.9,247170
2025-05-15,429.0,442.0,424.2,432.0,439926
2025-05-16,436.9,437.55,424.0,430.1,157455
2025-05-19,432.45,441.4,428.4,433.65,368320
2025-05-20,437.0,440.2,427.2,428.55,183944
2025-05-21,430.0,433.55,418.55,421.35,202264
2025-05-22,422.0,427.95,418.0,423.4,131000
2025-05-23,424.95,426.55,419.6,423.5,131980
2025-05-26,425.95,429.95,421.2,423.5,89552
2025-05-27,425.0,428.0,417.8,424.5,230775
2025-05-28,434.0,468.1,434.0,451.4,7889412
2025-05-29,453.0,455.5,444.1,445.95,358246
2025-05-30,445.95,448.55,436.0,438.15,258285
2025-06-02,436.0,438.0,429.05,430.8,423164
2025-06-03,432.9,435.85,430.55,433.15,178376
2025-06-04,434.4,436.0,422.0,423.75,272881
2025-06-05,425.0,445.5,425.0,441.35,787731
2025-06-06,441.35,444.45,428.3,429.45,473901
2025-06-09,431.55,437.35,429.5,433.5,249533
2025-06-10,434.95,443.0,432.9,436.15,266852
2025-06-11,438.95,438.95,429.6,433.1,201339
2025-06-12,436.45,438.6,421.1,424.65,346643
2025-06-13,418.5,425.55,411.8,421.65,190977
2025-06-16,424.95,428.55,410.0,413.1,440185
2025-06-17,413.05,418.7,400.1,401.5,372400
2025-06-18,403.5,407.5,398.0,401.35,202811
2025-06-19,403.0,405.8,388.5,392.2,276829
2025-06-20,393.45,398.6,388.65,392.5,535689
2025-06-23,393.05,393.6,387.2,391.2,168780
2025-06-24,396.05,397.45,385.55,387.1,316384
2025-06-25,389.0,395.55,384.95,392.85,614153
2025-06-26,395.6,397.9,383.5,385.0,512037
2025-06-27,388.5,393.95,380.1,382.7,731783
2025-06-30,382.7,385.8,377.95,379.45,263034
2025-07-01,382.6,382.6,374.25,376.9,322524
2025-07-02,376.9,379.2,371.1,375.75,428754
2025-07-03,377.0,378.85,373.55,375.85,355421
2025-07-04,377.05,378.7,371.75,375.1,262624
2025-07-07,375.7,383.4,370.1,371.4,535074
2025-07-08,371.95,376.0,369.0,369.7,368780
2025-07-09,372.0,373.65,364.85,368.3,366704
2025-07-10,369.85,379.75,368.65,369.35,595924
2025-07-11,369.35,371.9,365.0,366.35,365490
2025-07-14,366.35,371.15,363.7,364.8,249422
2025-07-15,365.25,368.9,363.0,363.95,356715
2025-07-16,363.95,366.05,360.6,363.15,349557
2025-07-17,364.95,364.95,359.9,361.75,207817
