date,open,high,low,close,volume
2025-03-24,119.94,123.77,119.47,123.28,13638740
2025-03-25,124.14,124.38,118.33,119.32,15698193
2025-03-26,119.33,120.42,115.92,116.27,9343771
2025-03-27,116.36,121.43,115.74,120.14,53997400
2025-03-28,120.51,123.95,120.51,122.05,14157702
2025-04-01,120.18,121.72,119.11,120.69,13543667
2025-04-02,120.75,123.7,118.28,123.14,12062536
2025-04-03,122.03,128.54,121.87,126.99,24054870
2025-04-04,127.19,128.37,116.7,118.11,29824780
2025-04-07,110.07,115.37,108.83,114.07,13443609
2025-04-08,118.48,118.54,114.1,116.88,12048353
2025-04-09,116.79,117.46,111.72,112.92,10608142
2025-04-11,114.71,116.6,113.51,113.97,9947989
2025-04-15,116.18,118.66,115.58,118.39,8748156
2025-04-16,118.58,123.47,118.24,123.09,13803591
2025-04-17,122.94,123.66,121.05,122.44,8986202
2025-04-21,122.44,125.64,122.26,124.43,11910446
2025-04-22,125.84,126.51,122.69,123.74,23475105
2025-04-23,124.3,125.26,121.0,125.06,22310801
2025-04-24,125.05,125.92,123.42,124.31,9411382
2025-04-25,124.31,125.21,118.76,120.85,13496266
2025-04-28,121.02,125.21,120.48,124.34,8705644
2025-04-29,125.5,127.19,123.25,124.16,12465070
2025-04-30,123.9,123.9,121.01,121.66,8664857
2025-05-02,121.66,123.61,121.0,122.08,5482068
2025-05-05,120.95,122.83,120.91,122.07,4539265
2025-05-06,121.93,122.1,113.84,114.35,12230597
2025-05-07,113.17,118.0,113.02,114.59,12872742
2025-05-08,116.07,116.36,110.75,111.79,14324015
2025-05-09,111.23,119.43,110.76,118.87,62927788
2025-05-12,121.87,124.39,121.77,123.91,19027370
2025-05-13,123.91,127.53,123.19,126.49,25555763
2025-05-14,126.81,130.73,126.81,130.51,23675242
2025-05-15,130.38,130.38,127.46,127.84,14066035
2025-05-16,128.55,129.69,127.79,128.66,7500019
2025-05-19,129.95,134.74,128.06,132.48,23666872
2025-05-20,133.76,135.41,133.02,133.9,27060156
2025-05-21,133.77,136.04,132.84,134.89,14748770
2025-05-22,132.99,135.9,132.99,135.35,11038050
2025-05-23,134.93,136.96,134.93,135.83,13812756
2025-05-26,135.9,136.91,134.69,135.81,9018108
2025-05-27,135.41,136.67,134.35,136.47,8673950
2025-05-28,135.52,138.69,135.52,138.33,11359310
2025-05-29,139.19,139.27,135.56,136.49,5582187
2025-05-30,136.62,143.05,135.87,141.98,31496993
2025-06-02,144.12,149.33,143.15,148.15,36376375
2025-06-03,148.47,153.45,146.05,146.67,38496702
2025-06-04,147.02,149.07,144.23,148.13,17580356
2025-06-05,148.74,149.29,146.42,147.55,8518868
2025-06-06,148.66,150.3,144.58,148.26,22446550
2025-06-09,148.9,152.89,148.52,150.3,11992732
2025-06-10,150.35,150.76,147.99,149.25,7508565
2025-06-11,149.92,150.02,146.44,147.81,8389032
2025-06-12,148.44,148.47,145.09,145.57,8903203
2025-06-13,140.25,143.74,140.25,141.45,8319533
2025-06-16,141.45,142.39,138.62,142.15,7916581
2025-06-17,142.29,143.56,139.77,140.21,6045765
2025-06-18,140.21,141.17,138.63,139.4,6855826
2025-06-19,138.51,139.18,133.79,135.1,11149993
2025-06-20,134.98,140.54,134.98,138.78,14071542
2025-06-23,136.86,139.63,136.86,138.16,5731153
2025-06-24,140.25,143.91,140.19,142.27,13483665
2025-06-25,141.7,142.47,139.2,139.57,10013520
2025-06-26,141.02,143.63,139.53,143.27,10113786
2025-06-27,143.63,146.92,142.8,144.18,14926048
2025-06-30,145.03,149.92,144.61,148.57,21423582
2025-07-01,148.38,150.31,145.71,149.57,16061426
2025-07-02,149.57,150.79,147.07,148.36,8256586
2025-07-03,148.37,149.34,145.43,146.62,7183438
2025-07-04,146.99,148.66,146.4,148.07,9090399
2025-07-07,147.53,149.52,146.49,147.18,7350311
2025-07-08,146.68,148.4,144.03,145.33,9262309
2025-07-09,143.01,143.01,136.9,139.85,30348078
2025-07-10,140.25,140.82,138.59,139.15,7844092
2025-07-11,139.15,141.08,138.22,139.03,9203997
2025-07-14,139.11,142.6,139.11,142.19,16965783
2025-07-15,142.19,143.13,140.95,141.44,9051503
2025-07-16,142.14,144.7,141.33,143.48,13996500
2025-07-17,143.83,144.01,140.1,141.52,15581196
2025-07-18,141.99,143.73,140.56,141.66,12337028
2025-07-21,140.73,140.96,136.38,137.97,21670211
2025-07-22,139.72,140.68,137.93,138.25,12875505
2025-07-23,138.94,139.38,136.96,138.68,10270092
2025-07-24,140.01,140.68,137.96,140.22,12270864
2025-07-25,139.8,141.85,135.95,136.22,15840295
2025-07-28,136.0,137.05,133.1,133.44,13546810
2025-07-29,132.34,133.69,130.93,132.73,15736006
2025-07-30,132.82,133.89,130.55,130.76,10561917
2025-07-31,129.0,132.6,128.0,130.96,13135375
2025-08-01,130.96,131.45,127.8,128.1,9784214
2025-08-04,128.62,129.43,127.14,129.04,12083279
2025-08-05,128.9,129.87,127.18,127.98,14449850
2025-08-06,128.15,131.63,127.81,131.02,11985730
2025-08-07,130.0,132.8,129.64,132.45,12184697
2025-08-08,132.0,132.55,130.5,130.98,6249295
2025-08-11,131.0,134.96,130.98,134.78,10231895
2025-08-12,135.45,137.0,134.96,135.54,8579446
2025-08-13,136.0,136.94,134.81,135.69,6376913
2025-08-14,136.0,136.48,134.12,134.84,5981897
2025-08-18,136.86,137.63,134.9,135.79,10435748
2025-08-19,135.8,137.75,133.71,137.53,8218045
2025-08-20,137.02,138.29,136.41,136.91,7029534
2025-08-21,137.0,138.55,136.3,136.53,6917659
2025-08-22,136.58,138.22,134.6,134.76,7284576
2025-08-25,134.77,136.0,132.83,133.04,6493537
2025-08-26,133.0,133.0,128.94,129.67,13481767
2025-08-28,129.58,129.58,126.8,127.08,7294298
2025-08-29,127.45,128.2,124.64,124.82,13165024
2025-09-01,125.5,128.4,125.5,128.16,5838935
2025-09-02,128.51,129.41,127.23,127.66,4004275
2025-09-03,128.0,128.9,127.58,128.46,6926587
2025-09-04,129.75,130.59,126.63,126.83,7510587
2025-09-05,126.98,128.16,125.45,127.34,8063176
2025-09-08,127.74,129.05,127.1,128.05,2609891
2025-09-09,128.09,128.49,126.61,127.24,6435657
2025-09-10,127.9,132.9,127.87,132.51,17944307
2025-09-11,132.95,136.48,132.55,133.72,10910360
2025-09-12,134.3,134.3,132.82,133.88,5580149
2025-09-15,133.88,135.11,132.5,134.64,8200837
2025-09-16,134.95,135.07,133.0,134.29,6948055
2025-09-17,134.5,138.45,134.0,137.03,15301909
2025-09-18,137.41,138.36,135.3,136.59,12767032
2025-09-19,136.8,141.23,136.52,140.3,23479611
2025-09-22,140.35,141.56,138.33,138.81,7478022
2025-09-23,138.81,141.34,137.11,140.2,7618679
2025-09-24,140.6,141.63,138.77,139.17,9872466
2025-09-25,139.19,140.2,137.82,138.77,6552575
2025-09-26,138.55,138.7,133.9,134.08,8038715
2025-09-29,134.29,136.83,134.26,135.4,8531659
2025-09-30,135.89,139.15,135.68,138.51,9260926
2025-10-01,139.19,140.1,136.4,138.75,8641300
2025-10-03,138.78,140.45,135.29,137.71,11964819
2025-10-06,137.7,138.25,135.3,136.68,10215425
2025-10-07,137.0,139.15,136.75,138.54,8128536
2025-10-08,139.25,139.25,135.72,136.02,7718941
2025-10-09,136.65,139.35,136.15,137.83,7305339
2025-10-10,137.9,140.18,137.52,139.27,7959876
2025-10-13,139.27,141.0,136.91,139.9,8108286
2025-10-14,140.1,140.34,136.74,137.0,6987798
2025-10-15,137.24,140.4,137.14,139.44,6780170
2025-10-16,140.0,140.75,138.0,138.81,5116871
2025-10-17,138.81,139.08,135.8,136.69,7584213
2025-10-20,137.69,142.8,137.49,141.33,18095188
2025-10-21,142.0,142.52,141.1,141.66,2539060
2025-10-23,142.0,145.0,142.0,142.85,12272542
2025-10-24,142.71,144.0,140.8,141.77,5680097
2025-10-27,142.48,146.2,141.65,144.96,10145527
2025-10-28,145.9,147.73,144.7,147.07,15194370
2025-10-29,148.0,148.23,145.37,146.12,7276992
2025-10-30,146.4,150.8,140.8,142.32,37275551
2025-10-31,143.27,152.0,142.86,148.67,63642549
2025-11-03,149.0,152.75,148.95,150.88,23971441
2025-11-04,151.9,152.65,150.25,151.54,14622442
2025-11-06,152.58,152.58,149.6,150.15,10296779
2025-11-07,149.1,153.66,147.8,153.3,14462530
2025-11-10,153.98,155.42,152.3,154.24,13758440
2025-11-11,154.24,154.62,150.32,152.62,11291018
