date,open,high,low,close,volume
2025-03-24,318.05,318.05,309.05,314.95,204196
2025-03-25,314.95,316.25,304.75,306.7,425579
2025-03-26,306.7,309.75,300.9,302.25,218331
2025-03-27,302.25,303.9,296.9,298.4,185334
2025-03-28,298.4,304.75,292.3,294.4,214125
2025-04-01,296.1,312.85,294.45,311.8,113972
2025-04-02,311.75,313.75,303.85,312.0,35171
2025-04-03,312.4,315.25,308.6,313.25,22809
2025-04-04,317.95,317.95,300.35,303.95,61279
2025-04-07,297.05,297.05,284.3,291.4,117064
2025-04-08,293.45,305.7,291.35,301.5,51771
2025-04-09,301.5,301.75,294.2,297.1,20167
2025-04-11,301.85,303.15,296.2,297.7,53659
2025-04-15,299.25,307.85,299.25,305.5,43031
2025-04-16,307.3,311.85,306.25,307.45,36199
2025-04-17,307.45,314.2,307.45,311.25,36190
2025-04-21,311.25,317.15,308.2,315.05,30473
2025-04-22,315.05,321.2,310.4,319.7,41728
2025-04-23,323.9,329.25,314.3,317.75,49369
2025-04-24,317.75,322.65,315.25,320.85,28991
2025-04-25,316.05,323.0,310.2,314.6,62016
2025-04-28,319.3,319.3,308.8,311.6,62443
2025-04-29,314.1,315.45,307.2,310.55,34353
2025-04-30,312.8,312.8,300.45,303.6,32324
2025-05-02,303.8,309.55,300.25,308.15,30593
2025-05-05,308.15,311.25,302.85,310.25,18995
2025-05-06,310.25,312.75,303.3,304.45,19690
2025-05-07,303.9,304.45,298.05,302.55,30654
2025-05-08,303.7,313.15,302.8,307.55,35331
2025-05-09,298.05,303.8,297.45,301.65,31291
2025-05-12,305.1,314.95,304.95,311.7,36541
2025-05-13,314.7,321.05,310.05,318.85,38223
2025-05-14,316.9,325.75,316.9,323.85,25352
2025-05-15,323.8,335.15,322.65,333.15,39576
2025-05-16,333.15,338.0,331.1,335.1,41182
2025-05-19,334.45,334.45,320.05,321.5,126465
2025-05-20,326.35,326.35,316.25,318.35,32537
2025-05-21,318.35,325.95,316.5,323.05,27464
2025-05-22,325.8,326.8,322.35,325.1,23592
2025-05-23,325.1,332.95,321.85,329.4,36191
2025-05-26,326.1,334.2,325.8,327.65,40173
2025-05-27,326.85,339.1,316.25,323.3,57734
2025-05-28,324.05,351.3,324.05,342.85,201576
2025-05-29,346.15,352.4,340.05,344.55,88900
2025-05-30,344.55,346.8,334.45,338.35,46184
2025-06-02,341.75,349.8,333.5,346.9,45747
2025-06-03,349.25,349.25,340.2,341.75,24115
2025-06-04,345.15,349.7,335.4,346.55,65609
2025-06-05,345.95,351.75,345.05,348.9,35694
2025-06-06,349.2,362.6,345.1,359.65,128086
2025-06-09,359.65,362.7,354.15,357.6,40588
2025-06-10,357.6,361.4,354.55,357.9,42549
2025-06-11,364.15,394.05,359.95,386.0,361314
2025-06-12,386.65,401.35,368.95,370.2,194073
2025-06-13,366.05,374.05,359.4,370.15,106781
2025-06-16,370.1,379.35,356.8,364.5,44992
2025-06-17,362.65,372.5,359.85,361.8,80631
2025-06-18,366.05,368.35,351.3,358.8,63069
2025-06-19,355.55,361.4,351.9,355.95,42649
2025-06-20,355.95,359.3,353.15,356.6,16923
2025-06-23,353.5,356.2,350.6,353.9,18206
2025-06-24,354.5,364.15,354.5,361.85,32669
2025-06-25,364.15,371.2,361.5,370.5,28625
2025-06-26,370.5,372.25,363.2,364.2,27341
2025-06-27,364.15,370.85,364.15,368.95,24402
2025-06-30,367.05,383.3,366.05,382.1,67810
2025-07-01,379.5,388.1,378.55,384.45,62969
2025-07-02,383.3,391.15,380.55,383.5,63785
2025-07-03,381.7,388.1,380.45,383.0,62138
2025-07-04,383.75,402.5,380.4,398.45,103735
2025-07-07,402.4,402.45,390.8,392.9,36515
2025-07-08,399.6,401.15,387.8,390.2,26089
2025-07-09,386.35,392.7,385.95,387.6,24765
2025-07-10,387.65,391.75,380.45,383.45,36284
2025-07-11,383.3,383.9,376.6,380.45,29328
2025-07-14,383.1,386.7,374.3,375.4,40959
2025-07-15,375.65,381.0,371.9,374.25,52396
2025-07-16,376.6,376.6,371.0,372.2,37016
2025-07-17,372.2,374.4,369.05,370.65,37000
2025-07-18,374.35,374.35,366.0,368.45,45518
2025-07-21,367.2,372.6,365.9,367.65,32997
2025-07-22,367.65,372.55,365.45,366.8,39412
2025-07-23,368.0,370.8,361.4,363.7,24437
2025-07-24,369.1,369.1,361.1,363.4,28250
2025-07-25,367.05,371.8,350.15,354.95,34724
2025-07-28,359.35,368.65,344.85,347.6,45035
2025-07-29,346.9,349.55,341.2,344.15,41024
2025-07-30,344.15,349.1,341.85,343.55,21120
2025-07-31,343.55,343.55,334.45,336.1,62969
2025-08-01,337.8,338.65,332.85,334.25,22800
2025-08-04,338.3,341.8,332.05,335.05,99186
2025-08-05,339.25,340.3,332.6,334.85,56552
2025-08-06,334.85,339.45,329.2,331.2,53107
2025-08-07,336.8,337.3,324.3,327.5,32943
2025-08-08,325.85,330.65,321.05,325.05,35986
2025-08-11,354.1,371.65,349.9,365.35,1234144
2025-08-12,367.8,381.9,364.15,374.75,295430
2025-08-13,374.75,381.35,371.8,375.45,168006
2025-08-14,374.7,386.95,374.7,382.4,208156
2025-08-18,382.35,388.85,370.95,374.95,105694
2025-08-19,374.95,398.55,374.95,396.35,184661
2025-08-20,397.7,407.75,392.9,405.55,141600
2025-08-21,405.6,418.8,401.35,403.3,147915
2025-08-22,400.55,413.3,396.3,402.5,114312
2025-08-25,407.3,407.3,388.7,390.85,67620
2025-08-26,388.1,389.5,375.45,375.95,45257
2025-08-28,375.9,381.75,375.5,377.6,30501
2025-08-29,375.65,387.55,375.65,378.75,38372
2025-09-01,375.65,383.25,375.65,381.55,44696
2025-09-02,385.4,393.25,381.4,391.25,38492
2025-09-03,394.05,399.75,391.0,395.1,35343
2025-09-04,400.55,402.3,391.1,393.55,34975
2025-09-05,396.35,400.25,391.1,394.25,34747
2025-09-08,394.8,401.6,393.95,395.9,37203
2025-09-09,398.75,399.6,390.1,392.95,35862
2025-09-10,396.9,407.3,394.8,396.35,69481
2025-09-11,396.75,402.5,390.65,393.7,51960
2025-09-12,398.65,399.45,392.95,394.4,29408
2025-09-15,397.5,397.5,391.0,394.75,37212
2025-09-16,392.9,399.05,392.9,397.15,22926
2025-09-17,397.85,400.45,385.55,389.2,42334
2025-09-18,391.0,405.35,391.0,393.5,957016
2025-09-19,396.65,399.15,389.05,392.95,89780
2025-09-22,391.95,404.4,391.45,403.15,133305
2025-09-23,407.2,414.95,394.85,409.5,278892
2025-09-24,409.5,414.9,395.85,399.4,77135
2025-09-25,402.0,402.65,391.0,391.65,59118
2025-09-26,391.45,391.95,383.3,388.3,50621
2025-09-29,388.6,393.55,388.0,388.1,39651
2025-09-30,388.1,395.5,387.45,389.2,30850
2025-10-01,389.2,400.55,389.2,398.35,49489
2025-10-03,398.35,403.85,397.7,401.0,42386
2025-10-06,401.05,411.1,396.65,398.8,76949
2025-10-07,398.8,475.3,397.35,438.35,6528632
2025-10-08,430.35,438.85,422.6,428.1,445843
2025-10-09,426.45,440.8,426.4,435.8,339488
2025-10-10,440.8,461.9,428.1,455.15,398000
2025-10-13,455.15,460.95,444.65,458.35,247316
2025-10-14,469.55,481.3,466.8,474.6,765007
2025-10-15,479.15,520.35,479.15,505.75,3231207
2025-10-16,515.45,521.25,501.6,508.55,616339
2025-10-17,509.3,514.35,495.45,504.5,421229
2025-10-20,508.85,511.4,499.3,508.4,508895
2025-10-21,512.7,519.4,510.95,517.1,274150
2025-10-23,505.6,509.8,482.3,487.4,626075
2025-10-24,485.7,485.8,458.05,465.95,438790
2025-10-27,468.0,475.65,459.15,471.0,137493
2025-10-28,474.0,481.25,470.35,479.15,148196
2025-10-29,475.15,478.95,471.0,475.8,79972
2025-10-30,478.8,525.0,478.2,519.4,1955408
2025-10-31,512.0,513.15,495.05,498.5,248693
2025-11-03,499.9,507.4,492.0,498.4,161320
2025-11-04,500.0,518.8,500.0,507.25,386689
2025-11-06,507.0,507.0,482.95,486.15,138904
2025-11-07,489.55,503.15,480.8,484.65,251166
2025-11-10,488.55,497.55,475.15,481.35,144400
2025-11-11,483.0,488.35,476.75,483.85,117549
2025-11-12,479.0,495.0,474.0,487.9,108338
2025-11-13,489.45,496.0,484.7,487.75,85955
2025-11-14,494.0,494.0,482.45,487.6,80811
2025-11-17,510.05,540.0,502.1,509.2,1020313
2025-11-18,509.0,509.0,490.05,492.6,158358
2025-11-19,491.0,491.7,476.0,488.25,216886
2025-11-20,487.1,495.0,482.3,492.25,92438
2025-11-21,491.0,491.0,480.0,481.1,58325
2025-11-24,481.1,490.65,472.5,484.3,100883
2025-11-25,477.05,488.9,474.65,481.2,109146
2025-11-26,485.0,489.95,471.2,484.7,114758
2025-11-27,495.0,498.35,486.8,490.3,105950
2025-11-28,493.0,500.95,487.05,496.25,94205
2025-12-01,501.2,504.8,488.9,496.55,124388
2025-12-02,499.4,501.85,490.05,499.4,58176
2025-12-03,500.0,503.5,489.0,490.75,76638
2025-12-04,490.2,498.0,485.0,488.8,45921
2025-12-05,488.7,488.7,473.3,476.9,82612
2025-12-08,470.0,494.0,460.2,465.0,227794
2025-12-09,467.05,484.0,457.95,482.75,68389
2025-12-10,482.75,489.0,477.4,480.8,53953
2025-12-11,480.8,487.0,475.05,484.0,63679
2025-12-12,480.0,491.0,480.0,489.4,52351
2025-12-15,490.0,501.9,487.45,499.4,77086
2025-12-16,499.4,507.7,492.95,498.35,56203
2025-12-17,497.45,498.95,485.0,488.35,38488
2025-12-18,490.75,492.3,485.15,488.35,31362
2025-12-19,489.0,489.2,480.3,483.9,22411
2025-12-22,488.0,509.85,488.0,501.6,154246
2025-12-23,501.6,504.8,492.75,495.1,68347
2025-12-24,495.1,498.6,485.9,487.25,44423
2025-12-26,487.25,496.0,481.55,483.0,44161
2025-12-29,481.0,487.35,474.85,481.4,71702
2025-12-30,482.75,483.3,475.1,477.45,27314
2025-12-31,481.95,486.5,473.0,484.55,46176
2026-01-01,486.0,486.0,478.05,481.45,17235
2026-01-02,483.0,502.5,481.0,497.05,79975
2026-01-05,498.8,505.0,492.15,497.1,72092
2026-01-06,499.9,507.2,488.35,495.15,46351
2026-01-07,493.75,497.75,486.7,493.65,42830
2026-01-08,497.0,497.0,433.6,443.95,488841
2026-01-09,442.45,458.15,425.3,434.4,191694
2026-01-12,435.0,441.2,422.9,437.1,121425
2026-01-13,437.1,447.1,435.25,440.4,61656
2026-01-14,440.4,444.7,430.4,431.95,36690
2026-01-16,430.25,441.0,428.05,437.85,104937
2026-01-19,439.9,440.5,427.1,428.6,68379
2026-01-20,428.6,432.0,404.4,410.2,127492
2026-01-21,408.7,421.3,399.8,418.25,100887
2026-01-22,415.0,428.0,415.0,422.6,30843
2026-01-23,422.75,431.95,410.6,413.5,33660
2026-01-27,421.0,421.0,405.0,410.75,45269
2026-01-28,410.7,428.65,410.7,426.25,37243
2026-01-29,430.0,430.0,415.55,421.5,42777
2026-01-30,415.2,434.4,412.3,432.45,41885
2026-02-01,436.0,443.8,427.55,434.35,38200
2026-02-02,439.8,441.0,415.0,437.55,74828
2026-02-03,470.0,495.0,460.0,491.15,313500
2026-02-04,488.1,498.9,482.7,497.15,84084
2026-02-05,492.6,500.0,486.95,493.5,63906
2026-02-06,490.95,497.05,482.15,485.6,60114
2026-02-09,490.0,509.9,490.0,501.75,158573
2026-02-10,506.6,540.0,495.0,524.25,480573
2026-02-11,524.2,524.4,510.6,513.4,77597
2026-02-12,495.45,525.0,495.45,516.65,100461
2026-02-13,516.65,522.25,512.0,515.65,78330
2026-02-16,510.0,510.0,490.1,492.85,138789
2026-02-17,490.0,501.6,484.85,495.1,43418
2026-02-18,495.1,499.95,492.65,495.85,41574
2026-02-19,493.0,503.95,480.0,481.4,51417
2026-02-20,481.4,485.1,471.7,474.85,59551
2026-02-23,478.8,484.95,474.85,483.4,34897
2026-02-24,483.4,483.4,468.05,471.75,35826
2026-02-25,479.1,480.0,471.75,473.45,22028
2026-02-26,473.5,476.1,461.0,465.95,34758
2026-02-27,473.0,473.0,457.0,458.2,41026
2026-03-02,450.0,456.0,442.45,450.95,56534
2026-03-04,450.85,450.85,435.15,444.85,61274
2026-03-05,446.0,460.4,436.05,453.85,65468
2026-03-06,451.2,474.45,450.6,458.3,53262
2026-03-09,455.3,457.25,431.0,445.55,101037
2026-03-10,446.9,463.5,446.3,460.95,38971
2026-03-11,463.35,470.0,454.5,458.95,39455
2026-03-12,458.95,458.95,441.9,444.15,35329
2026-03-13,440.0,443.95,433.2,440.45,66312
2026-03-16,442.0,448.8,430.25,439.5,42350
2026-03-17,442.8,462.95,438.0,449.6,75194
2026-03-18,453.2,466.0,451.8,459.95,66630
2026-03-19,454.0,460.0,450.0,454.2,52404
2026-03-20,453.2,467.95,451.95,456.0,36547
2026-03-23,445.0,452.0,440.5,450.2,76226
2026-03-24,450.2,459.85,447.95,453.6,50895
2026-03-25,452.05,476.5,452.05,472.45,73236
2026-03-27,468.0,475.95,456.0,460.05,90573
2026-03-30,460.05,460.05,433.05,442.95,88679
2026-04-01,454.95,466.9,450.0,458.8,41272
2026-04-02,455.0,472.75,445.05,469.1,41127
2026-04-06,479.5,479.5,462.5,474.0,38808
2026-04-07,470.25,494.0,470.0,492.5,116859
2026-04-08,503.1,513.0,495.3,511.1,121182
2026-04-09,505.0,516.55,487.15,491.7,89127
2026-04-10,496.0,510.0,496.0,508.65,95417
2026-04-13,494.0,505.0,494.0,496.5,43996
2026-04-15,498.0,517.8,498.0,515.45,70007
2026-04-16,516.0,521.0,504.95,511.65,57625
2026-04-17,511.65,532.7,511.6,517.5,150115
2026-04-20,520.0,525.6,505.0,508.3,41828
2026-04-21,508.3,514.9,498.25,504.35,48686
2026-04-22,504.35,516.85,500.75,511.0,48306
2026-04-23,511.0,512.3,495.6,499.05,40845
2026-04-24,492.0,506.8,492.0,502.6,36003
2026-04-27,504.0,525.0,504.0,511.0,85599
