date,open,high,low,close,volume
2025-03-24,164.4,169.8,160.2,169.8,242820
2025-03-25,171.4,178.3,171.4,174.5,688690
2025-03-26,173.8,173.8,166.2,170.5,403480
2025-03-27,169.8,171.4,164.0,169.3,871180
2025-03-28,170.9,172.9,169.0,171.9,565280
2025-04-01,174.5,174.9,170.0,172.4,326490
2025-04-02,174.6,181.0,170.2,181.0,2915120
2025-04-03,180.8,190.0,175.0,187.1,1534180
2025-04-04,184.0,184.1,177.7,180.4,1542920
2025-04-07,171.4,171.4,171.4,171.4,617730
2025-04-08,171.0,180.0,164.2,174.7,539640
2025-04-09,171.1,175.0,166.3,169.8,240380
2025-04-11,177.8,177.8,162.9,169.3,412930
2025-04-15,169.5,175.4,169.5,174.6,1207270
2025-04-16,177.0,178.0,172.3,175.8,227470
2025-04-17,175.8,175.8,169.0,173.4,244030
2025-04-21,174.7,182.0,173.5,182.0,424360
2025-04-22,181.4,191.1,179.0,191.1,446950
2025-04-23,191.1,197.5,185.0,190.4,338110
2025-04-24,186.1,190.5,183.0,185.1,330430
2025-04-25,186.7,186.7,177.0,183.8,724710
2025-04-28,182.0,182.0,174.6,174.6,579350
2025-04-29,165.9,172.0,165.9,165.9,1103490
2025-04-30,159.0,170.5,157.6,168.7,1491020
2025-05-02,165.5,168.5,160.5,166.9,543470
2025-05-05,166.1,170.0,165.0,169.8,246990
2025-05-06,169.8,169.9,164.5,168.8,529490
2025-05-07,166.1,173.0,166.1,170.8,259880
2025-05-08,173.4,173.5,166.0,166.1,242240
2025-05-09,161.0,169.0,160.1,166.0,192920
2025-05-12,173.5,174.2,162.0,170.6,643510
2025-05-13,168.7,172.0,167.5,168.4,237630
2025-05-14,168.7,169.9,165.0,167.3,204190
2025-05-15,167.3,175.7,165.6,175.7,500010
2025-05-16,177.0,184.5,176.5,184.5,400830
2025-05-19,185.5,193.5,184.5,188.2,498520
2025-05-20,189.5,190.1,181.6,189.6,538750
2025-05-21,187.0,190.0,184.5,187.5,224340
2025-05-22,188.1,189.5,185.1,187.4,118580
