date,open,high,low,close,volume
2025-03-24,1437.85,1456.7,1432.2,1449.1,1634298
2025-03-25,1453.0,1454.5,1418.0,1422.05,1306047
2025-03-26,1430.0,1436.0,1416.55,1428.65,1305728
2025-03-27,1420.0,1435.0,1413.65,1423.4,1682189
2025-03-28,1430.0,1469.8,1428.0,1458.7,2104275
2025-04-01,1430.0,1430.0,1347.85,1352.05,3909338
2025-04-02,1360.0,1364.35,1328.0,1344.8,2806215
2025-04-03,1330.0,1356.95,1327.15,1352.0,1252993
2025-04-04,1346.0,1351.0,1295.0,1298.1,1400431
2025-04-07,1221.1,1306.85,1221.1,1294.95,1402866
2025-04-08,1333.0,1334.75,1296.35,1320.65,726257
2025-04-09,1311.0,1313.5,1274.0,1277.75,1599417
2025-04-11,1300.0,1302.0,1277.4,1284.9,1739781
2025-04-15,1310.3,1310.3,1277.2,1289.3,2110074
2025-04-16,1292.0,1297.1,1274.0,1277.1,1650183
2025-04-17,1280.1,1294.6,1263.1,1284.9,2003289
2025-04-21,1288.0,1321.0,1283.8,1318.0,1963547
2025-04-22,1320.0,1357.2,1302.5,1344.6,3045620
2025-04-23,1354.0,1354.0,1286.0,1299.0,4051558
2025-04-24,1309.0,1309.0,1274.5,1276.0,2359722
2025-04-25,1281.0,1284.9,1223.2,1229.4,2212922
2025-04-28,1230.1,1253.9,1230.0,1246.4,1884572
2025-04-29,1251.0,1270.9,1245.4,1264.6,1139516
2025-04-30,1260.1,1262.0,1224.0,1236.1,2072635
2025-05-02,1232.4,1240.0,1200.0,1207.8,2380725
2025-05-05,1219.0,1251.0,1214.9,1240.3,1633643
2025-05-06,1242.0,1248.6,1222.5,1229.6,1012805
2025-05-07,1202.5,1255.8,1202.5,1244.0,2149507
2025-05-08,1288.0,1288.0,1212.1,1223.1,7440411
2025-05-09,1190.0,1240.0,1190.0,1235.6,2021024
2025-05-12,1262.9,1268.8,1251.4,1265.7,1877453
2025-05-13,1267.0,1277.1,1255.0,1257.7,1671442
2025-05-14,1260.0,1266.7,1237.2,1248.5,1201276
2025-05-15,1250.0,1264.9,1249.4,1262.4,889877
2025-05-16,1270.0,1270.0,1252.5,1261.4,1030398
2025-05-19,1267.7,1281.9,1260.0,1270.0,1127571
2025-05-20,1278.0,1278.0,1237.1,1239.4,1680536
2025-05-21,1242.0,1271.8,1240.3,1268.6,1054213
2025-05-22,1268.0,1276.8,1260.9,1272.0,1042997
2025-05-23,1262.0,1276.7,1253.3,1260.3,1212681
2025-05-26,1266.0,1268.4,1248.4,1253.8,1133427
2025-05-27,1252.0,1269.0,1249.3,1261.7,695507
2025-05-28,1260.0,1263.9,1252.4,1257.8,872186
2025-05-29,1257.5,1273.5,1256.4,1262.1,979339
2025-05-30,1260.4,1273.0,1255.0,1262.8,2725042
2025-06-02,1260.0,1262.5,1244.0,1246.0,1068841
2025-06-03,1248.1,1259.4,1224.4,1228.1,1436642
2025-06-04,1230.1,1236.8,1225.1,1229.4,458790
2025-06-05,1230.0,1251.9,1225.5,1247.5,1012011
2025-06-06,1252.8,1274.0,1250.0,1271.1,973152
2025-06-09,1274.8,1301.0,1274.5,1286.5,1637335
2025-06-10,1295.0,1319.7,1271.5,1317.7,2445395
2025-06-11,1327.7,1328.0,1297.0,1312.3,2233115
2025-06-12,1312.3,1319.5,1282.2,1289.9,1234601
2025-06-13,1262.0,1292.6,1262.0,1277.2,800998
2025-06-16,1272.8,1316.7,1266.6,1313.6,1362428
2025-06-17,1313.6,1322.5,1282.3,1294.2,2527321
2025-06-18,1269.8,1294.7,1261.5,1291.5,2428626
2025-06-19,1290.0,1296.7,1255.0,1261.0,1278610
2025-06-20,1251.5,1312.0,1246.5,1293.9,1563026
2025-06-23,1279.9,1304.0,1264.2,1294.2,1352440
2025-06-24,1307.0,1329.9,1301.6,1306.2,1990620
2025-06-25,1307.7,1316.9,1299.2,1311.0,1394524
2025-06-26,1322.2,1340.9,1305.0,1317.1,2728104
2025-06-27,1322.9,1329.7,1298.0,1305.3,4533397
2025-06-30,1310.0,1320.0,1300.0,1314.1,1352048
2025-07-01,1319.0,1332.5,1312.4,1326.5,1406545
2025-07-02,1326.0,1343.0,1315.1,1332.8,1408061
2025-07-03,1337.0,1380.0,1327.3,1367.0,2797627
2025-07-04,1369.7,1394.2,1353.3,1364.4,1780860
2025-07-07,1364.0,1368.5,1340.0,1365.7,874270
2025-07-08,1367.0,1373.0,1350.5,1371.2,616481
2025-07-09,1360.9,1382.4,1360.9,1366.9,1046247
2025-07-10,1365.0,1375.0,1361.8,1368.9,812127
2025-07-11,1370.0,1371.9,1353.3,1369.5,865797
2025-07-14,1370.0,1379.4,1361.3,1376.8,684695
2025-07-15,1376.5,1400.0,1375.0,1396.6,1387726
2025-07-16,1392.1,1399.9,1378.9,1397.3,1646006
2025-07-17,1400.0,1400.0,1387.0,1390.7,934758
2025-07-18,1385.1,1395.0,1369.0,1377.0,1041006
2025-07-21,1370.5,1392.0,1369.8,1385.7,483190
2025-07-22,1372.2,1378.3,1342.8,1357.4,1649309
2025-07-23,1356.3,1369.0,1348.0,1367.6,392460
2025-07-24,1360.0,1365.7,1341.8,1344.0,890104
2025-07-25,1337.5,1341.4,1307.3,1315.6,925449
2025-07-28,1303.3,1334.8,1301.2,1320.5,884988
2025-07-29,1308.6,1340.0,1308.6,1335.1,624288
2025-07-30,1320.0,1338.6,1315.3,1336.0,533140
2025-07-31,1320.0,1348.8,1315.0,1327.7,712912
2025-08-01,1326.8,1326.8,1306.0,1317.4,449595
2025-08-04,1308.0,1346.0,1308.0,1341.8,366914
2025-08-05,1340.0,1340.0,1312.1,1317.0,316284
2025-08-06,1319.0,1324.2,1302.5,1314.2,441055
2025-08-07,1301.0,1327.4,1289.0,1309.2,595668
2025-08-08,1312.0,1323.5,1294.0,1304.9,590345
2025-08-11,1201.0,1250.0,1192.0,1245.2,4002006
2025-08-12,1229.9,1259.9,1229.0,1245.0,839568
2025-08-13,1249.9,1284.0,1243.7,1276.1,1199406
2025-08-14,1270.0,1279.6,1258.0,1274.8,569544
2025-08-18,1337.9,1402.2,1326.0,1349.2,5466642
2025-08-19,1345.0,1382.8,1345.0,1378.9,958153
2025-08-20,1388.8,1388.8,1363.7,1369.8,563772
2025-08-21,1368.1,1372.0,1344.3,1362.7,1270171
2025-08-22,1360.0,1386.2,1350.0,1353.2,616349
2025-08-25,1360.0,1371.8,1348.1,1357.4,578894
2025-08-26,1353.4,1365.3,1339.0,1347.3,1192978
2025-08-28,1347.3,1364.6,1334.1,1359.3,957868
2025-08-29,1351.0,1382.5,1345.9,1374.0,1097616
2025-09-01,1370.0,1426.1,1367.1,1411.9,1473916
2025-09-02,1418.9,1445.0,1410.5,1440.6,1403210
2025-09-03,1436.0,1438.6,1413.0,1430.3,1030877
2025-09-04,1470.0,1470.0,1398.0,1402.6,1790205
2025-09-05,1409.9,1437.4,1405.2,1432.8,1254002
2025-09-08,1430.0,1436.8,1413.1,1419.2,456972
2025-09-09,1420.0,1428.0,1405.3,1412.3,887526
2025-09-10,1417.0,1425.2,1384.0,1394.9,1046892
2025-09-11,1399.0,1399.0,1371.5,1395.3,1235017
2025-09-12,1396.2,1409.1,1392.4,1403.6,824826
2025-09-15,1402.5,1421.9,1400.0,1415.8,576808
2025-09-16,1417.9,1434.0,1413.1,1414.6,620757
2025-09-17,1417.4,1421.9,1400.3,1411.9,744641
2025-09-18,1411.1,1430.4,1402.5,1426.2,1125138
2025-09-19,1426.2,1437.9,1416.0,1419.9,1366319
2025-09-22,1415.0,1415.0,1370.0,1376.2,1492222
2025-09-23,1376.2,1386.4,1356.0,1372.7,799766
2025-09-24,1371.9,1377.0,1355.0,1372.3,1056484
2025-09-25,1370.0,1382.9,1360.6,1372.4,643040
2025-09-26,1369.0,1371.6,1332.7,1340.2,1100967
2025-09-29,1335.0,1383.0,1333.6,1374.5,1315242
2025-09-30,1375.9,1389.8,1341.1,1353.5,1300920
2025-10-01,1349.1,1364.3,1342.4,1353.5,1189113
2025-10-03,1350.0,1366.1,1346.1,1360.4,873058
2025-10-06,1355.0,1376.0,1332.9,1366.7,1048625
2025-10-07,1360.0,1377.4,1356.1,1372.2,1282213
2025-10-08,1367.1,1377.0,1341.4,1367.3,2610499
2025-10-09,1367.0,1395.0,1366.5,1382.0,1000102
2025-10-10,1399.0,1437.6,1390.3,1417.3,2611807
2025-10-13,1410.0,1411.5,1365.7,1378.5,1430691
2025-10-14,1378.5,1399.7,1378.5,1391.7,1087951
2025-10-15,1382.0,1416.0,1375.0,1412.1,1045348
2025-10-16,1410.0,1423.2,1405.1,1415.6,910378
2025-10-17,1410.0,1437.0,1410.0,1426.6,1075540
2025-10-20,1420.0,1448.0,1405.1,1444.8,1058298
2025-10-21,1440.0,1460.0,1432.9,1455.8,200517
2025-10-23,1450.0,1463.8,1427.7,1431.2,1121329
2025-10-24,1431.2,1450.0,1431.2,1441.4,539503
2025-10-27,1433.0,1445.4,1421.0,1436.6,1206234
2025-10-28,1431.0,1435.9,1404.4,1428.4,1157671
2025-10-29,1415.0,1425.9,1386.7,1418.8,613025
2025-10-30,1410.0,1425.2,1400.0,1419.8,941460
2025-10-31,1419.8,1423.9,1379.0,1383.6,1115615
2025-11-03,1375.0,1386.8,1352.6,1365.7,658410
2025-11-04,1360.0,1379.7,1355.0,1359.4,834615
2025-11-06,1356.0,1372.6,1288.1,1292.4,1703216
2025-11-07,1292.4,1327.3,1288.2,1321.5,666465
2025-11-10,1320.0,1374.8,1308.5,1340.7,1057635
2025-11-11,1330.0,1339.0,1299.0,1303.8,1314969
2025-11-12,1305.0,1343.0,1304.6,1337.6,960761
2025-11-13,1329.9,1345.0,1313.6,1336.9,906489
2025-11-14,1304.0,1385.5,1299.3,1350.9,4110953
2025-11-17,1354.0,1390.0,1353.1,1373.9,1487978
2025-11-18,1373.0,1395.8,1364.7,1384.2,768433
2025-11-19,1390.0,1404.5,1383.6,1401.8,709008
2025-11-20,1399.5,1418.0,1394.0,1411.8,656309
2025-11-21,1401.0,1418.0,1382.8,1395.8,1221980
2025-11-24,1390.5,1404.0,1346.3,1354.6,3415624
2025-11-25,1355.0,1365.5,1343.6,1356.3,591991
2025-11-26,1351.1,1392.5,1351.1,1387.0,477248
2025-11-27,1384.0,1402.9,1365.0,1398.0,625765
2025-11-28,1385.1,1388.4,1361.3,1376.3,1004263
2025-12-01,1375.0,1384.7,1356.0,1360.4,512237
2025-12-02,1355.0,1367.6,1341.9,1352.9,1208807
2025-12-03,1342.0,1375.0,1330.5,1335.9,845596
2025-12-04,1329.5,1343.4,1325.6,1329.4,509272
2025-12-05,1325.0,1330.8,1312.5,1327.0,568640
2025-12-08,1326.0,1329.9,1309.5,1322.5,335954
2025-12-09,1315.0,1339.9,1310.0,1335.9,529692
2025-12-10,1331.1,1345.7,1327.3,1340.9,610249
2025-12-11,1331.0,1356.0,1327.7,1353.4,454556
2025-12-12,1355.0,1379.7,1353.6,1377.2,371973
2025-12-15,1370.1,1391.0,1362.0,1388.9,215764
2025-12-16,1380.0,1402.3,1375.5,1394.3,569307
2025-12-17,1390.0,1396.0,1375.7,1380.5,662702
2025-12-18,1377.1,1425.9,1370.4,1401.7,1063259
2025-12-19,1397.0,1415.0,1364.5,1375.5,1059210
2025-12-22,1375.5,1392.7,1372.0,1388.0,201211
2025-12-23,1388.8,1391.9,1376.2,1385.6,232195
2025-12-24,1385.6,1420.0,1377.8,1394.7,476963
2025-12-26,1390.0,1412.4,1377.0,1381.1,281489
2025-12-29,1384.5,1399.3,1376.0,1380.1,423594
2025-12-30,1377.0,1378.8,1346.4,1350.7,367193
2025-12-31,1350.7,1375.0,1343.7,1361.2,326590
2026-01-01,1361.2,1388.0,1361.2,1384.3,283325
2026-01-02,1389.0,1447.6,1386.9,1430.2,1109054
2026-01-05,1429.5,1494.6,1423.2,1476.8,1588073
2026-01-06,1476.8,1505.0,1472.8,1486.2,1231903
2026-01-07,1485.0,1517.9,1482.4,1507.6,1046719
2026-01-08,1507.7,1512.0,1465.1,1469.1,375644
2026-01-09,1465.0,1482.8,1458.0,1466.8,368916
2026-01-12,1461.0,1483.3,1457.0,1468.2,802829
2026-01-13,1470.0,1479.8,1445.5,1460.7,403722
2026-01-14,1459.0,1459.0,1429.1,1439.9,464407
2026-01-16,1440.0,1448.5,1407.0,1411.4,432002
2026-01-19,1405.2,1417.6,1395.0,1398.4,592965
2026-01-20,1390.5,1402.4,1319.2,1324.3,634651
2026-01-21,1320.0,1331.3,1274.2,1290.6,868081
2026-01-22,1304.0,1313.0,1274.9,1293.5,740297
2026-01-23,1298.0,1363.0,1295.0,1315.4,1639531
2026-01-27,1320.0,1343.4,1288.0,1330.6,879649
2026-01-28,1341.0,1379.9,1333.6,1372.9,744898
2026-01-29,1374.9,1374.9,1332.6,1349.1,712808
2026-01-30,1341.4,1364.2,1280.0,1327.9,1448958
2026-02-01,1328.0,1331.1,1283.3,1294.8,248364
2026-02-02,1297.4,1331.7,1270.0,1326.8,804266
2026-02-03,1351.0,1387.0,1350.1,1366.9,885505
2026-02-04,1368.4,1427.0,1360.2,1419.5,598049
2026-02-05,1429.0,1434.2,1404.7,1426.8,392029
