date,open,high,low,close,volume
2025-12-15,195.0,203.5,177.0,192.29,47754828
2025-12-16,188.0,199.9,188.0,193.97,12129115
2025-12-17,191.91,194.72,189.51,190.12,2726666
2025-12-18,192.0,197.4,187.62,192.92,1418303
2025-12-19,195.0,197.24,189.21,192.32,1506137
2025-12-22,192.31,200.96,182.5,186.67,4650041
2025-12-23,192.42,192.69,185.05,188.17,666497
2025-12-24,186.71,188.74,184.26,187.5,545170
2025-12-26,184.7,187.11,184.21,186.01,338690
2025-12-29,185.0,185.61,177.3,180.04,465777
2025-12-30,179.0,190.8,173.81,184.14,633390
2025-12-31,184.0,186.5,180.52,184.44,414018
2026-01-01,184.44,186.78,182.26,186.03,225162
2026-01-02,184.03,184.9,178.0,179.31,256270
2026-01-05,177.01,178.8,173.0,175.86,618899
2026-01-06,174.0,174.79,166.01,168.57,3156662
2026-01-07,167.91,171.92,164.06,169.47,641440
2026-01-08,169.9,175.86,166.9,171.34,482419
2026-01-09,168.3,175.4,167.21,172.67,464798
2026-01-12,165.15,175.0,164.51,174.01,685338
2026-01-13,174.5,177.95,170.97,176.21,838409
2026-01-14,175.0,179.4,173.06,177.91,195871
2026-01-16,176.0,183.0,175.02,181.68,220003
2026-01-19,179.6,182.95,177.17,182.03,140998
2026-01-20,181.05,181.97,178.3,181.49,180590
2026-01-21,178.2,182.59,177.51,181.63,196222
2026-01-22,180.0,183.7,180.0,182.53,57060
2026-01-23,181.3,184.36,180.05,182.25,159675
2026-01-27,182.0,183.0,176.45,180.23,198055
2026-01-28,179.1,183.48,179.1,180.75,504880
2026-01-29,179.3,181.35,177.32,180.07,79917
2026-01-30,178.0,183.42,176.59,182.25,79250
2026-02-01,180.01,182.65,177.6,178.58,52228
2026-02-02,178.0,180.0,176.41,179.69,38154
2026-02-03,179.98,183.79,176.0,182.9,110165
2026-02-04,185.01,192.0,177.84,180.96,315352
2026-02-05,179.0,183.0,178.95,182.18,59953
2026-02-06,180.1,184.07,178.52,183.12,87260
2026-02-09,180.1,187.0,180.1,185.73,165718
2026-02-10,188.99,204.0,183.56,200.59,9482885
2026-02-11,203.39,218.66,191.63,215.8,7784681
2026-02-12,214.73,224.0,210.01,214.95,1482196
2026-02-13,214.4,218.1,207.29,213.35,888724
2026-02-16,212.0,213.3,201.24,204.3,772894
2026-02-17,206.0,216.0,203.4,212.82,916331
2026-02-18,212.81,218.68,202.22,203.64,474299
2026-02-19,200.05,205.59,200.05,203.88,413329
2026-02-20,203.69,207.8,201.5,205.23,215166
2026-02-23,212.0,212.0,194.09,196.52,453204
2026-02-24,196.52,197.99,188.5,189.68,240567
2026-02-25,189.0,195.4,188.2,194.05,202899
2026-02-26,196.0,196.53,189.13,194.2,121929
2026-02-27,195.0,195.0,183.3,186.83,74925
2026-03-02,178.42,188.98,176.04,184.07,168769
2026-03-04,183.0,187.97,177.31,185.25,123359
2026-03-05,184.7,186.79,178.83,182.03,145779
2026-03-06,180.18,183.0,170.0,172.12,396113
2026-03-09,171.73,173.71,165.0,171.9,145589
2026-03-10,172.0,182.2,171.42,180.56,169804
2026-03-11,177.54,180.0,170.1,172.02,413120
2026-03-12,170.0,171.47,166.28,168.64,150932
2026-03-13,169.4,169.9,159.51,161.98,200234
2026-03-16,162.0,162.94,154.34,156.01,257031
2026-03-17,157.19,158.13,150.63,157.53,246496
2026-03-18,156.41,169.4,156.41,166.69,364354
2026-03-19,162.52,164.75,157.22,157.58,321057
2026-03-20,160.0,164.29,156.81,162.25,482213
2026-03-23,160.63,160.8,152.02,154.98,1542204
2026-03-24,160.64,173.0,157.21,164.16,351225
2026-03-25,165.95,167.64,159.64,161.22,205990
2026-03-27,160.98,161.22,149.7,153.3,870450
2026-03-30,153.0,153.99,147.5,152.01,305100
2026-04-01,151.95,158.5,145.78,147.69,270529
2026-04-02,147.0,148.59,142.23,147.25,120843
2026-04-06,147.24,150.0,143.82,147.17,82788
2026-04-07,144.42,150.0,144.42,145.89,108305
2026-04-08,155.0,155.0,146.74,151.76,191650
2026-04-09,148.99,154.24,148.1,151.34,253248
2026-04-10,152.23,155.95,151.4,153.06,112276
2026-04-13,147.0,152.78,146.5,151.58,67998
2026-04-15,155.5,155.91,152.12,152.87,125884
2026-04-16,155.0,161.5,149.6,151.75,336647
2026-04-17,151.75,153.95,148.25,148.64,365417
2026-04-20,149.76,149.83,146.01,146.94,120650
2026-04-21,149.4,150.78,147.06,147.78,150733
2026-04-22,148.54,149.99,146.03,147.09,110434
2026-04-23,147.1,147.65,143.5,143.85,135812
2026-04-24,146.99,147.9,141.3,142.09,106433
