date,open,high,low,close,volume
2025-03-24,167.76,173.01,165.5,166.42,632230
2025-03-25,167.4,171.9,158.09,159.12,610643
2025-03-26,159.5,160.85,151.5,152.23,511637
2025-03-27,152.9,159.84,152.15,159.84,331850
2025-03-28,161.1,165.49,154.0,154.94,648063
2025-04-01,155.0,162.68,154.0,162.68,105888
2025-04-02,170.81,170.81,165.65,170.81,1047655
2025-04-03,170.4,179.35,170.0,179.35,565301
2025-04-04,188.31,188.31,170.38,170.38,1677451
2025-04-07,153.34,161.39,153.34,157.45,790474
2025-04-08,164.8,173.19,163.0,170.85,1090603
2025-04-09,168.0,171.81,160.67,164.99,382306
2025-04-11,175.96,177.8,169.51,172.44,391688
2025-04-15,179.71,181.0,174.2,177.31,341001
2025-04-16,177.5,195.04,177.5,195.04,1578550
2025-04-17,196.4,209.0,195.06,200.66,1074556
2025-04-21,201.95,207.07,195.06,199.26,492606
2025-04-22,202.99,203.0,196.01,197.76,484493
2025-04-23,199.95,201.77,192.5,194.57,474761
2025-04-24,195.0,202.11,193.25,194.46,330232
2025-04-25,194.51,205.0,178.99,198.1,1349145
2025-04-28,202.95,202.95,192.12,192.91,472942
2025-04-29,197.85,200.0,191.7,195.79,636731
2025-04-30,195.0,196.71,178.65,180.82,602648
2025-05-02,182.39,185.58,177.11,178.99,354114
2025-05-05,179.41,191.9,178.38,188.91,413218
2025-05-06,188.6,189.17,178.65,179.46,231907
2025-05-07,178.0,185.5,177.0,181.14,332228
2025-05-08,182.96,187.01,171.66,174.99,444814
2025-05-09,170.2,185.0,170.0,178.76,577943
2025-05-12,183.1,189.4,183.0,187.33,492585
2025-05-13,187.11,196.0,186.99,193.38,671294
2025-05-14,194.83,212.71,193.28,212.71,2578568
2025-05-15,216.0,217.3,207.0,209.09,1239108
2025-05-16,211.0,229.99,208.77,227.47,2301330
2025-05-19,229.24,231.49,220.1,221.31,899673
2025-05-20,223.75,229.0,214.0,215.39,871129
2025-05-21,216.8,218.5,209.55,211.88,476670
2025-05-22,211.0,215.0,206.29,209.92,469863
2025-05-23,199.0,214.09,196.35,202.48,1310954
2025-05-26,203.35,213.7,201.97,208.94,634607
2025-05-27,209.65,217.7,207.2,213.47,598384
2025-05-28,214.4,220.01,211.83,214.85,693025
2025-05-29,216.2,221.0,215.13,217.28,442534
2025-05-30,218.35,239.0,217.4,235.32,3233563
2025-06-02,236.89,239.23,228.5,230.72,733297
2025-06-03,232.45,232.75,221.5,223.22,635331
2025-06-04,223.0,239.4,223.0,237.07,1228483
2025-06-05,238.55,245.01,236.15,237.68,1021256
2025-06-06,239.14,263.23,239.14,251.07,2863890
2025-06-09,253.7,266.0,253.7,262.47,1182258
2025-06-10,264.3,277.75,262.61,265.8,1487615
2025-06-11,266.3,272.39,259.4,263.6,1507346
2025-06-12,263.65,269.45,256.65,258.4,1119481
