date,open,high,low,close,volume
2025-03-24,983.75,1021.0,977.2,1004.65,523837
2025-03-25,1019.95,1019.95,969.7,987.75,319039
2025-03-26,993.95,993.95,959.8,969.45,261088
2025-03-27,968.7,994.9,959.05,985.55,252294
2025-03-28,992.05,1014.3,980.0,989.9,363653
2025-04-01,981.0,1066.2,979.65,1047.55,641509
2025-04-02,1046.0,1080.0,1036.65,1063.95,612445
2025-04-03,1060.0,1087.5,1044.0,1079.35,231375
2025-04-04,1078.95,1078.95,1041.4,1062.4,363523
2025-04-07,958.0,1035.0,936.0,1030.25,494551
2025-04-08,1051.0,1089.0,1051.0,1080.6,308316
2025-04-09,1069.95,1076.6,1057.0,1069.5,209536
2025-04-11,1085.5,1122.0,1074.0,1106.55,367290
2025-04-15,1125.0,1125.0,1090.25,1105.6,194076
2025-04-16,1106.0,1131.5,1094.55,1100.2,333248
2025-04-17,1100.2,1115.0,1085.9,1104.85,262970
2025-04-21,1115.0,1115.0,1088.45,1093.65,208327
2025-04-22,1093.65,1117.0,1071.1,1109.1,687546
2025-04-23,1110.0,1118.15,1078.1,1088.7,328829
2025-04-24,1094.0,1209.0,1075.2,1187.05,3182050
2025-04-25,1187.05,1189.0,1126.65,1156.55,567905
2025-04-28,1153.9,1223.95,1147.7,1199.85,724854
2025-04-29,1195.0,1330.0,1195.0,1291.5,4621629
2025-04-30,1292.0,1308.45,1237.0,1259.35,821566
2025-05-02,1241.5,1264.8,1221.1,1236.1,337039
2025-05-05,1240.0,1269.0,1210.1,1237.9,408604
2025-05-06,1230.0,1238.1,1190.0,1196.5,352915
2025-05-07,1181.0,1259.0,1181.0,1237.5,344188
2025-05-08,1246.0,1257.6,1223.0,1235.0,280826
2025-05-09,1170.0,1233.9,1170.0,1222.9,202720
2025-05-12,1267.0,1285.9,1245.0,1271.2,348496
2025-05-13,1272.0,1288.8,1247.0,1266.0,157166
2025-05-14,1280.0,1291.0,1252.7,1268.7,248850
2025-05-15,1272.8,1278.0,1261.7,1266.0,87180
2025-05-16,1279.1,1307.0,1265.0,1296.4,190823
2025-05-19,1311.0,1319.9,1281.0,1293.6,183478
2025-05-20,1310.9,1314.8,1271.7,1295.5,302295
2025-05-21,1345.0,1395.9,1259.0,1265.9,2360638
2025-05-22,1272.0,1273.2,1235.5,1267.1,335589
2025-05-23,1268.0,1290.0,1255.5,1262.8,244598
2025-05-26,1264.2,1282.0,1259.5,1272.0,147694
2025-05-27,1270.0,1275.3,1245.0,1249.7,325110
2025-05-28,1257.5,1257.5,1218.0,1224.3,250293
2025-05-29,1226.0,1233.4,1215.6,1225.2,274781
2025-05-30,1226.0,1252.4,1216.0,1235.9,211165
2025-06-02,1235.9,1250.0,1220.8,1240.0,99486
2025-06-03,1247.5,1253.0,1228.8,1232.4,78588
2025-06-04,1239.0,1264.3,1225.6,1251.1,98064
2025-06-05,1257.3,1283.4,1247.0,1269.8,283237
2025-06-06,1273.9,1290.0,1269.8,1288.4,156277
2025-06-09,1293.1,1371.8,1293.1,1354.7,1008960
2025-06-10,1356.0,1382.0,1315.0,1318.1,304681
2025-06-11,1321.1,1356.0,1317.9,1349.5,352869
2025-06-12,1361.8,1397.0,1335.0,1340.1,728280
2025-06-13,1320.0,1351.9,1303.2,1328.7,422091
2025-06-16,1320.0,1330.9,1298.9,1323.6,102103
2025-06-17,1323.6,1334.0,1307.7,1330.9,261560
2025-06-18,1339.0,1374.5,1312.3,1365.8,274057
2025-06-19,1368.6,1368.7,1310.2,1329.3,633874
2025-06-20,1336.0,1359.5,1307.0,1350.1,321039
2025-06-23,1331.0,1417.0,1323.1,1406.3,555190
2025-06-24,1406.3,1426.1,1365.1,1374.6,155279
2025-06-25,1380.4,1391.1,1366.4,1382.8,115301
2025-06-26,1389.7,1455.4,1383.7,1407.6,661546
2025-06-27,1407.1,1429.0,1396.3,1402.8,246348
2025-06-30,1416.0,1416.0,1386.0,1401.4,82117
2025-07-01,1400.0,1410.7,1370.5,1379.4,105929
2025-07-02,1380.1,1401.0,1375.3,1387.0,312725
2025-07-03,1380.5,1416.3,1380.5,1401.7,253033
2025-07-04,1414.8,1414.8,1372.0,1377.7,50772
2025-07-07,1377.0,1388.7,1364.0,1372.8,39785
2025-07-08,1361.0,1388.0,1326.3,1333.0,362977
2025-07-09,1339.9,1384.0,1328.9,1347.9,677735
2025-07-10,1352.9,1366.1,1323.7,1328.3,78100
2025-07-11,1328.9,1378.0,1328.0,1372.5,235537
2025-07-14,1375.9,1391.3,1364.9,1384.4,206209
2025-07-15,1377.2,1402.9,1365.4,1383.8,165918
2025-07-16,1383.8,1388.9,1354.9,1374.2,93481
2025-07-17,1381.9,1410.0,1363.0,1404.8,273855
2025-07-18,1405.0,1462.0,1392.4,1444.7,586408
2025-07-21,1442.1,1442.1,1418.3,1432.5,278285
2025-07-22,1432.8,1460.0,1420.0,1435.1,344515
2025-07-23,1450.0,1473.8,1416.4,1445.4,530848
2025-07-24,1435.0,1446.9,1404.0,1410.8,87717
2025-07-25,1410.8,1431.5,1388.0,1399.0,205070
2025-07-28,1380.0,1388.7,1352.5,1379.7,251012
2025-07-29,1379.7,1399.1,1341.6,1389.9,273836
2025-07-30,1399.0,1401.0,1372.6,1384.0,195464
2025-07-31,1349.4,1369.9,1322.7,1334.6,219175
2025-08-01,1325.0,1345.7,1311.0,1315.6,45471
2025-08-04,1319.9,1343.9,1311.0,1337.0,340338
2025-08-05,1337.0,1338.9,1311.0,1317.2,66910
2025-08-06,1315.2,1345.6,1310.1,1326.8,67935
2025-08-07,1320.0,1332.8,1259.2,1294.7,123257
2025-08-08,1295.0,1303.7,1257.0,1264.6,89083
2025-08-11,1257.2,1270.6,1248.8,1262.0,81614
2025-08-12,1274.1,1288.8,1237.0,1243.1,121014
2025-08-13,1255.0,1263.8,1232.6,1241.3,77359
2025-08-14,1235.0,1259.0,1223.1,1240.7,134694
2025-08-18,1289.8,1335.9,1282.4,1299.9,910775
2025-08-19,1310.0,1310.0,1278.0,1285.2,233411
2025-08-20,1289.9,1324.3,1285.9,1298.1,115121
2025-08-21,1300.0,1327.0,1298.6,1316.1,126166
2025-08-22,1313.0,1316.0,1295.0,1301.0,83710
2025-08-25,1302.0,1315.0,1300.5,1309.0,77875
2025-08-26,1309.0,1309.5,1275.0,1285.0,159609
2025-08-28,1286.9,1307.1,1267.0,1301.6,65921
2025-08-29,1302.0,1316.0,1285.1,1300.6,63439
2025-09-01,1299.8,1323.5,1286.2,1316.7,73760
2025-09-02,1317.0,1349.8,1302.9,1333.7,149266
2025-09-03,1340.2,1359.5,1332.1,1344.9,58914
2025-09-04,1390.0,1399.8,1340.1,1349.4,143633
2025-09-05,1351.9,1380.0,1336.2,1357.0,102297
2025-09-08,1357.0,1382.4,1351.1,1363.0,71309
2025-09-09,1363.0,1380.9,1345.1,1371.2,67927
2025-09-10,1339.5,1375.0,1329.3,1369.8,292702
2025-09-11,1371.9,1385.0,1326.0,1330.0,69958
2025-09-12,1332.7,1358.0,1321.1,1351.5,237037
2025-09-15,1357.8,1362.4,1331.8,1343.6,225535
2025-09-16,1351.9,1374.6,1340.4,1361.7,147724
2025-09-17,1369.9,1374.7,1334.9,1341.6,100276
2025-09-18,1370.0,1380.0,1325.9,1335.4,127578
2025-09-19,1345.0,1345.6,1325.0,1337.8,155436
2025-09-22,1341.8,1354.0,1322.1,1329.2,79924
2025-09-23,1337.5,1341.4,1314.1,1320.9,81756
2025-09-24,1307.7,1329.1,1290.0,1296.0,124810
2025-09-25,1305.0,1305.0,1244.0,1249.0,186474
2025-09-26,1249.0,1263.5,1228.1,1232.6,53574
2025-09-29,1232.6,1236.1,1189.8,1200.9,138880
2025-09-30,1205.0,1211.1,1170.1,1191.2,163235
2025-10-01,1191.2,1194.9,1163.0,1172.4,804507
2025-10-03,1170.2,1185.8,1165.2,1179.4,102783
2025-10-06,1180.0,1190.0,1167.0,1183.3,114656
2025-10-07,1191.4,1245.0,1180.3,1193.4,409793
2025-10-08,1197.0,1198.6,1160.0,1164.4,121339
2025-10-09,1168.0,1168.9,1134.5,1144.1,432592
2025-10-10,1152.8,1202.0,1152.6,1169.5,346896
2025-10-13,1170.9,1178.9,1154.6,1164.2,97508
2025-10-14,1170.0,1177.3,1142.5,1154.0,177626
2025-10-15,1154.0,1190.8,1141.9,1183.0,215207
2025-10-16,1192.0,1242.0,1179.4,1237.8,668308
2025-10-17,1252.0,1400.0,1252.0,1384.4,13457544
2025-10-20,1369.9,1371.8,1325.1,1357.9,1996019
2025-10-21,1368.0,1429.0,1352.0,1397.5,862136
2025-10-23,1384.0,1419.0,1349.2,1399.4,751639
2025-10-24,1395.0,1398.6,1363.3,1370.6,257528
2025-10-27,1371.4,1395.9,1360.8,1391.2,255792
2025-10-28,1392.9,1419.0,1372.0,1381.2,638163
2025-10-29,1380.9,1428.0,1376.6,1411.2,623929
2025-10-30,1418.2,1427.0,1400.6,1420.9,459995
2025-10-31,1429.7,1437.0,1383.6,1399.1,443208
2025-11-03,1375.1,1392.0,1339.2,1378.3,255456
2025-11-04,1387.0,1394.1,1369.2,1374.4,137466
2025-11-06,1346.5,1381.8,1322.4,1350.2,518957
2025-11-07,1336.0,1348.8,1306.2,1340.0,276370
2025-11-10,1350.7,1350.7,1275.4,1285.2,309930
2025-11-11,1291.5,1291.7,1232.0,1237.9,228201
2025-11-12,1238.7,1250.3,1222.2,1226.9,150585
2025-11-13,1237.6,1237.6,1209.0,1227.3,309099
2025-11-14,1230.3,1255.0,1227.5,1245.0,127195
2025-11-17,1245.0,1245.0,1222.2,1235.6,123991
2025-11-18,1242.0,1242.0,1201.7,1206.9,153828
2025-11-19,1203.0,1216.4,1198.0,1202.1,78970
2025-11-20,1202.1,1208.4,1185.2,1187.9,68264
2025-11-21,1192.4,1192.4,1172.1,1180.3,285426
2025-11-24,1174.1,1189.9,1165.5,1183.1,162347
2025-11-25,1189.9,1198.0,1169.0,1195.3,74534
2025-11-26,1196.0,1209.8,1185.6,1200.9,205071
2025-11-27,1084.0,1088.0,1055.8,1063.8,10857796
2025-11-28,1070.0,1085.1,1062.4,1072.1,2464070
2025-12-01,1072.0,1072.0,982.0,990.3,3819340
2025-12-02,992.6,1017.6,958.0,1009.9,3293492
2025-12-03,1010.0,1011.2,973.0,982.4,857047
2025-12-04,980.0,1001.0,966.0,979.1,877741
2025-12-05,979.1,979.1,947.7,949.5,722420
2025-12-08,940.8,948.9,912.5,914.6,617964
2025-12-09,914.6,920.5,887.7,911.2,1086864
2025-12-10,917.7,926.4,910.2,923.0,445393
2025-12-11,924.0,928.0,912.3,923.7,235501
2025-12-12,925.4,946.0,916.8,925.4,313531
2025-12-15,925.4,949.7,923.6,940.1,349229
2025-12-16,944.0,951.6,939.0,944.7,437801
2025-12-17,946.0,948.2,921.3,924.0,150062
2025-12-18,924.5,929.4,910.0,925.6,131911
2025-12-19,929.0,933.0,916.0,926.2,232776
2025-12-22,930.0,963.5,926.1,957.6,392761
2025-12-23,960.9,961.0,937.9,942.3,253073
2025-12-24,947.0,948.1,922.0,923.9,228989
2025-12-26,928.6,929.0,906.3,908.8,344876
2025-12-29,909.0,916.2,899.0,910.6,295493
2025-12-30,905.1,912.0,885.5,888.7,596698
2025-12-31,892.9,908.5,884.0,899.1,531355
2026-01-01,904.95,909.2,887.45,890.35,137529
2026-01-02,891.4,910.8,884.45,904.55,453052
2026-01-05,912.95,920.9,904.05,915.55,560436
2026-01-06,915.0,915.0,876.5,878.45,463669
2026-01-07,878.45,883.25,868.15,872.6,372201
2026-01-08,876.85,881.0,861.0,863.3,420643
2026-01-09,866.0,866.7,843.0,845.25,442917
2026-01-12,845.0,849.9,825.4,827.95,413240
2026-01-13,833.35,833.5,807.0,809.65,527384
2026-01-14,811.95,812.05,801.0,802.6,269518
2026-01-16,805.0,808.3,798.0,801.95,299374
2026-01-19,801.0,803.5,790.5,791.85,292159
2026-01-20,791.0,797.95,781.95,784.6,516195
2026-01-21,785.1,801.8,771.0,787.5,619063
2026-01-22,793.9,807.4,786.85,789.95,454251
2026-01-23,790.0,804.1,785.55,796.75,323756
2026-01-27,798.0,806.55,775.2,787.55,524329
2026-01-28,784.0,787.8,775.0,784.85,412691
2026-01-29,782.2,783.4,771.0,773.8,250871
2026-01-30,771.0,783.2,761.6,777.75,284713
2026-02-01,790.05,809.95,767.65,774.65,547704
2026-02-02,774.65,796.0,756.85,785.05,514950
2026-02-03,805.15,807.8,787.6,790.6,581096
2026-02-04,792.95,804.9,784.3,795.35,748655
2026-02-05,799.0,840.0,791.5,832.35,1476500
2026-02-06,830.0,858.45,825.2,854.65,591847
2026-02-09,865.0,914.1,855.05,906.9,653496
2026-02-10,905.95,922.4,881.0,883.4,398711
2026-02-11,890.0,919.95,886.95,915.9,778740
2026-02-12,915.9,915.9,884.05,888.35,301436
2026-02-13,888.0,906.25,867.8,898.4,564057
2026-02-16,898.5,902.0,881.0,898.2,201157
2026-02-17,896.95,937.0,896.0,934.65,483981
2026-02-18,936.95,945.6,926.55,930.65,387099
2026-02-19,939.95,939.95,910.05,913.6,297364
2026-02-20,913.6,934.35,909.55,930.25,258574
2026-02-23,930.25,935.15,918.0,924.9,153772
2026-02-24,916.0,924.55,897.05,904.25,221237
2026-02-25,907.0,925.0,907.0,919.85,234355
2026-02-26,920.0,936.75,891.25,903.15,254942
2026-02-27,910.05,927.0,901.3,921.85,381036
2026-03-02,880.0,917.0,880.0,914.35,400316
2026-03-04,914.35,914.35,889.75,899.95,225069
2026-03-05,901.45,912.8,894.65,908.8,188040
2026-03-06,910.0,919.8,893.0,896.5,169587
2026-03-09,892.0,892.0,860.0,871.85,428576
2026-03-10,884.8,885.0,869.0,877.7,167030
2026-03-11,887.65,904.35,872.2,891.45,326502
2026-03-12,891.0,891.45,855.0,860.85,281235
2026-03-13,860.95,863.0,821.0,837.65,353124
2026-03-16,842.3,843.4,810.0,819.35,244515
2026-03-17,820.0,828.4,815.3,821.15,194762
2026-03-18,824.0,848.9,821.95,840.4,140815
2026-03-19,830.0,837.25,806.0,811.7,147541
2026-03-20,814.5,854.8,813.05,836.35,1201228
2026-03-23,825.0,825.0,771.0,784.25,450000
2026-03-24,791.3,803.0,776.5,798.45,366106
2026-03-25,807.45,813.75,796.45,807.25,600361
2026-03-27,807.0,814.9,791.6,808.85,656600
2026-03-30,799.0,804.6,775.95,789.7,476730
2026-04-01,810.0,832.5,803.2,830.25,187059
2026-04-02,819.55,819.85,798.4,814.4,112563
2026-04-06,824.5,825.9,796.0,820.15,227757
2026-04-07,815.0,830.1,807.05,821.2,127233
2026-04-08,873.25,873.25,833.65,845.65,527852
2026-04-09,845.9,846.85,820.0,823.9,175040
2026-04-10,830.05,837.65,826.5,830.05,138792
2026-04-13,815.0,825.75,798.0,822.1,256954
2026-04-15,835.0,860.0,835.0,845.45,259427
2026-04-16,854.0,858.35,835.5,848.65,156125
2026-04-17,851.9,900.0,850.0,889.8,622961
2026-04-20,890.0,934.8,878.45,925.6,1131243
2026-04-21,928.0,943.8,915.9,920.2,280872
2026-04-22,918.0,939.35,910.05,932.2,351904
2026-04-23,927.05,966.2,927.0,947.15,708657
2026-04-24,953.0,969.75,943.1,952.55,788059
2026-04-27,960.0,998.5,948.0,994.5,658529
