date,open,high,low,close,volume
2025-03-24,335.0,337.8,330.2,336.0,169060
2025-03-25,337.8,338.3,330.0,333.7,180745
2025-03-26,335.0,335.0,322.5,323.6,98165
2025-03-27,323.6,341.0,320.7,338.1,248765
2025-03-28,335.2,345.8,333.2,336.1,138625
2025-04-01,336.1,340.4,330.0,335.7,56880
2025-04-02,334.0,342.0,332.0,341.4,65540
2025-04-03,341.2,347.4,338.1,339.7,94820
2025-04-04,340.0,347.0,333.2,339.4,64970
2025-04-07,339.4,345.3,326.8,336.4,277295
2025-04-08,338.4,350.6,336.8,347.5,163055
2025-04-09,347.0,350.0,341.7,345.6,292715
2025-04-11,349.0,356.2,348.0,349.6,205745
2025-04-15,349.6,356.5,346.2,349.8,212000
2025-04-16,350.5,356.8,349.8,353.1,98095
2025-04-17,352.2,359.6,350.4,352.5,117635
2025-04-21,352.6,354.4,347.4,348.9,115800
2025-04-22,345.7,359.4,344.9,355.0,118115
2025-04-23,355.2,359.6,350.4,352.9,46875
2025-04-24,352.8,366.0,352.0,361.2,158600
2025-04-25,360.5,362.1,349.6,353.1,94980
2025-04-28,353.0,355.6,347.4,352.3,48770
2025-04-29,350.4,363.0,350.2,360.5,371955
2025-04-30,360.5,367.8,351.8,353.0,110720
2025-05-02,349.8,355.7,344.4,346.7,66835
2025-05-05,348.0,348.2,341.0,344.6,66585
2025-05-06,343.0,345.6,336.8,338.9,62150
2025-05-07,331.0,344.0,331.0,338.3,87995
2025-05-08,338.8,344.5,336.9,342.9,77535
2025-05-09,335.0,346.3,334.5,344.8,45720
2025-05-12,352.0,368.0,340.7,361.4,212855
2025-05-13,364.8,364.8,355.2,361.3,52545
2025-05-14,361.8,367.7,358.9,360.1,156750
2025-05-15,362.0,367.2,358.7,360.2,130265
2025-05-16,360.4,370.0,358.5,365.5,97140
2025-05-19,371.0,378.8,363.6,366.5,1527365
2025-05-20,379.0,394.0,370.0,384.2,1778750
2025-05-21,387.5,403.6,383.8,394.0,1127890
2025-05-22,392.2,397.1,389.3,392.8,211385
2025-05-23,395.6,396.4,389.2,390.6,126790
2025-05-26,393.3,395.9,390.7,393.7,137880
2025-05-27,396.0,396.3,389.0,391.7,80695
2025-05-28,391.0,393.8,388.0,388.8,69385
2025-05-29,388.8,393.8,388.3,390.1,112695
2025-05-30,388.0,391.7,386.0,389.9,153520
2025-06-02,388.0,398.1,388.0,390.5,229740
2025-06-03,390.5,396.8,386.6,389.9,1018215
2025-06-04,390.0,393.1,378.8,380.0,718180
2025-06-05,382.7,383.4,377.0,377.9,102455
2025-06-06,384.0,390.8,379.2,389.3,1204760
2025-06-09,391.6,397.4,385.8,388.3,229095
2025-06-10,388.0,391.7,385.0,388.4,105020
2025-06-11,390.0,398.2,386.5,393.8,228610
2025-06-12,395.8,397.0,385.6,387.5,106665
2025-06-13,384.4,386.3,380.5,382.5,103335
2025-06-16,385.0,386.1,378.2,382.7,67050
2025-06-17,396.8,396.8,383.2,389.6,380650
2025-06-18,400.0,431.2,392.0,410.9,6935900
2025-06-19,410.2,426.0,406.8,413.1,1206205
2025-06-20,417.2,419.8,397.4,400.5,1427665
2025-06-23,400.0,410.0,398.4,408.2,324830
2025-06-24,408.4,409.6,396.4,399.0,442895
2025-06-25,400.2,408.0,398.2,406.9,281480
2025-06-26,411.0,411.6,402.5,404.8,203495
2025-06-27,406.0,413.8,404.0,406.7,355810
2025-06-30,405.6,411.0,401.9,404.6,229540
2025-07-01,407.4,410.5,401.6,403.4,183670
2025-07-02,403.4,405.0,397.2,399.7,210450
2025-07-03,401.8,401.8,394.3,395.9,159290
2025-07-04,395.9,403.0,395.9,399.0,171620
2025-07-07,401.1,401.8,396.0,397.2,162910
2025-07-08,397.2,401.2,394.0,395.8,119180
2025-07-09,397.9,409.8,395.3,407.6,384505
2025-07-10,410.0,411.6,400.8,402.7,153345
2025-07-11,403.8,410.8,402.4,403.8,222035
2025-07-14,405.9,408.8,396.5,402.3,398195
2025-07-15,403.6,410.1,402.3,404.4,158685
2025-07-16,405.0,407.0,400.1,400.9,303840
2025-07-17,402.0,423.2,401.4,420.4,445080
2025-07-18,421.3,423.8,416.0,418.8,405410
2025-07-21,420.0,422.9,415.5,418.7,397075
2025-07-22,420.9,421.4,410.0,410.8,243970
2025-07-23,413.0,419.3,408.0,417.7,267200
2025-07-24,417.7,431.2,417.7,427.6,563530
2025-07-25,429.9,431.5,418.6,420.5,223860
2025-07-28,420.5,429.8,403.6,406.4,155425
2025-07-29,403.6,408.5,400.4,402.5,121530
2025-07-30,404.6,416.0,388.0,410.9,1152655
2025-07-31,405.0,409.0,395.9,405.8,150410
2025-08-01,405.0,422.2,401.7,412.8,398015
2025-08-04,416.0,416.0,404.4,411.3,157655
2025-08-05,411.3,411.3,395.3,396.6,197020
2025-08-06,398.9,401.9,390.0,391.7,186035
2025-08-07,388.1,391.6,385.0,386.3,125800
2025-08-08,386.3,393.9,383.5,387.3,116720
2025-08-11,390.0,391.0,383.8,388.3,133315
2025-08-12,388.3,392.3,385.4,388.3,88985
2025-08-13,386.6,395.0,386.1,389.7,135930
2025-08-14,389.2,394.3,385.0,386.0,162835
2025-08-18,389.0,403.0,389.0,401.9,182205
2025-08-19,406.0,409.8,395.8,403.7,374500
2025-08-20,405.8,405.8,395.3,398.4,291475
2025-08-21,401.0,404.2,397.0,400.6,256200
2025-08-22,400.0,401.4,393.6,399.7,168420
2025-08-25,400.0,403.2,394.4,396.8,147405
2025-08-26,393.0,407.0,390.5,402.5,235170
2025-08-28,405.3,408.2,398.6,406.2,172650
2025-08-29,408.0,409.0,401.0,403.7,142730
2025-09-01,414.0,449.9,413.0,443.6,6339335
2025-09-02,447.5,457.2,444.3,450.7,1076930
2025-09-03,450.7,470.0,443.3,465.7,1281185
2025-09-04,468.1,490.8,462.1,484.8,1782070
2025-09-05,486.0,503.4,480.4,485.4,1401135
2025-09-08,485.8,495.7,475.2,480.0,977320
2025-09-09,482.5,495.2,478.5,494.6,499890
2025-09-10,494.0,499.2,484.4,497.4,480230
2025-09-11,497.0,513.2,487.5,510.4,842690
2025-09-12,507.0,524.6,502.0,507.4,819270
2025-09-15,510.0,523.4,503.2,509.1,645790
2025-09-16,510.0,525.0,508.5,524.3,683490
2025-09-17,524.5,525.0,513.0,515.6,398430
2025-09-18,521.9,529.7,515.5,520.9,375515
2025-09-19,515.9,530.9,497.8,515.9,1391566
2025-09-22,517.0,517.0,491.9,497.6,520890
2025-09-23,496.3,501.3,471.2,473.8,428510
2025-09-24,473.4,489.0,462.0,485.7,458218
2025-09-25,486.9,487.2,470.6,474.2,165971
2025-09-26,474.0,485.0,465.5,482.3,372367
2025-09-29,482.8,498.5,470.1,486.5,364292
2025-09-30,483.9,483.9,453.3,457.2,459667
2025-10-01,458.35,469.4,457.8,459.85,175196
2025-10-03,459.85,466.9,455.2,464.45,120454
2025-10-06,454.0,462.15,450.0,452.3,204451
2025-10-07,455.0,457.8,448.85,450.3,139697
2025-10-08,448.4,461.9,445.55,459.0,241259
2025-10-09,462.5,464.6,450.8,453.5,161068
2025-10-10,456.7,463.5,449.25,456.0,205575
2025-10-13,456.9,468.95,454.6,456.05,358510
2025-10-14,458.4,461.8,444.25,447.95,223159
2025-10-15,451.0,465.75,444.9,464.4,255692
2025-10-16,470.0,479.7,461.3,470.2,480331
2025-10-17,472.2,474.4,458.4,460.9,213813
2025-10-20,464.2,494.0,460.3,469.3,738491
2025-10-21,473.55,494.0,472.5,488.7,162862
2025-10-23,491.0,502.35,480.15,491.0,839943
2025-10-24,493.2,493.6,475.7,484.9,285864
2025-10-27,484.9,491.4,481.0,489.45,183809
2025-10-28,491.7,497.9,484.35,493.9,233288
2025-10-29,496.9,498.0,487.1,493.45,185371
2025-10-30,495.55,495.55,485.6,487.8,160925
2025-10-31,492.7,492.7,474.0,476.6,156540
2025-11-03,475.0,492.15,475.0,479.8,197683
2025-11-04,478.0,481.1,456.95,463.0,213260
2025-11-06,456.15,458.35,437.15,443.8,432504
2025-11-07,445.0,452.5,436.75,450.35,176149
2025-11-10,452.4,462.5,446.7,461.6,178841
2025-11-11,461.55,462.95,452.0,458.55,89848
2025-11-12,459.8,464.05,453.15,460.95,187422
2025-11-13,460.0,466.0,455.8,457.35,135002
2025-11-14,459.0,460.0,452.6,454.35,114995
2025-11-17,456.6,457.65,446.0,456.1,198008
2025-11-18,456.1,458.2,446.1,452.0,107935
2025-11-19,452.45,458.65,448.15,455.7,117168
2025-11-20,457.05,458.0,451.5,456.15,192598
2025-11-21,458.75,458.8,438.75,441.2,138638
2025-11-24,444.0,453.0,434.0,448.55,159578
2025-11-25,445.0,446.05,432.4,441.7,155936
2025-11-26,440.0,444.7,434.4,436.4,109663
2025-11-27,439.0,439.35,432.0,433.4,78696
2025-11-28,436.0,436.05,427.05,430.45,95655
2025-12-01,434.6,434.6,424.2,431.8,181213
2025-12-02,430.0,432.8,424.2,425.55,84541
2025-12-03,426.2,426.55,414.15,419.7,185355
2025-12-04,419.0,422.6,414.0,416.1,106626
2025-12-05,416.1,416.55,408.0,409.8,128999
2025-12-08,409.8,414.9,404.0,412.4,229564
2025-12-09,411.05,426.5,406.35,423.85,118670
2025-12-10,425.9,432.25,421.6,424.7,127658
2025-12-11,423.85,429.3,416.3,424.75,78716
2025-12-12,426.95,429.5,422.1,426.4,90536
2025-12-15,428.2,428.95,420.4,427.0,74969
2025-12-16,428.5,428.5,421.05,425.1,71767
2025-12-17,428.0,429.4,422.0,426.8,79447
2025-12-18,424.65,427.3,419.1,425.35,77837
2025-12-19,428.2,430.95,421.0,426.1,86511
2025-12-22,426.1,434.45,422.7,430.85,80561
2025-12-23,432.55,432.55,421.7,428.45,111954
2025-12-24,430.3,435.25,425.0,426.4,70289
2025-12-26,428.25,428.25,421.9,424.4,77760
2025-12-29,424.0,428.8,420.95,424.35,84047
2025-12-30,424.35,428.6,421.35,424.0,62243
2025-12-31,432.0,482.4,428.0,454.6,8536641
2026-01-01,457.9,483.4,455.4,464.25,1853302
2026-01-02,465.5,475.25,453.5,471.5,566201
2026-01-05,470.0,485.35,466.1,482.7,385349
2026-01-06,482.7,486.0,471.25,478.4,171702
2026-01-07,478.0,486.8,465.45,473.8,235543
2026-01-08,469.0,471.0,447.6,454.5,195297
2026-01-09,454.45,454.45,441.0,444.85,137251
2026-01-12,444.85,444.85,430.5,441.3,169140
2026-01-13,442.95,446.25,436.7,441.55,86593
2026-01-14,439.0,445.0,432.65,443.8,105709
2026-01-16,446.0,448.7,433.3,439.7,127170
2026-01-19,439.7,440.0,420.0,425.25,216032
2026-01-20,425.2,426.85,413.55,416.7,194843
2026-01-21,418.8,429.7,410.15,425.4,157978
2026-01-22,425.7,435.0,425.4,431.7,103170
2026-01-23,431.95,432.4,416.8,418.55,73242
2026-01-27,418.0,431.0,413.05,420.3,183478
2026-01-28,421.2,426.85,416.3,423.35,110500
2026-01-29,423.35,433.5,417.95,431.2,131491
2026-01-30,420.5,451.9,420.4,448.3,162338
2026-02-01,451.9,451.9,436.85,440.2,45667
2026-02-02,440.2,442.05,422.55,435.1,106399
2026-02-03,442.8,447.0,414.2,418.9,1075805
2026-02-04,420.0,421.4,399.3,401.25,371625
2026-02-05,400.0,402.0,390.45,392.45,208097
2026-02-06,392.45,395.05,386.0,388.6,153091
2026-02-09,388.6,409.0,386.6,407.15,369553
2026-02-10,411.9,418.05,407.2,416.7,160190
2026-02-11,416.65,418.75,410.15,413.95,88389
2026-02-12,416.45,416.45,404.0,406.55,101783
2026-02-13,406.55,410.0,396.8,407.3,88266
2026-02-16,407.3,407.3,397.2,400.8,82373
2026-02-17,402.0,407.05,399.25,405.6,76389
2026-02-18,405.0,407.75,400.15,401.75,79461
2026-02-19,402.75,404.6,397.2,400.3,84428
2026-02-20,400.3,401.35,394.05,399.25,80027
2026-02-23,400.05,410.95,399.4,406.65,92099
2026-02-24,406.65,406.65,395.0,399.0,69035
2026-02-25,401.8,402.45,390.0,393.7,87399
2026-02-26,393.95,396.5,382.35,384.85,162847
2026-02-27,386.7,389.1,378.1,384.9,257971
2026-03-02,367.6,384.15,367.55,378.95,172585
2026-03-04,378.4,382.5,371.3,377.1,131836
2026-03-05,379.25,385.9,375.1,383.0,77580
2026-03-06,381.0,386.6,380.0,381.2,67849
2026-03-09,374.0,376.0,367.95,373.5,134200
2026-03-10,376.5,381.45,374.25,378.65,65082
2026-03-11,378.65,389.8,378.65,384.3,69641
2026-03-12,388.6,390.65,376.9,388.9,63154
2026-03-13,387.0,450.65,383.4,404.25,48286539
2026-03-16,418.0,439.45,405.0,425.7,24721330
2026-03-17,425.8,439.8,412.0,422.0,2465422
2026-03-18,420.0,434.9,420.0,429.35,1061178
2026-03-19,420.0,430.0,411.0,414.5,459435
2026-03-20,414.5,429.0,412.15,424.65,620030
2026-03-23,415.0,418.45,404.25,414.45,272662
2026-03-24,421.0,444.0,417.25,440.55,731568
2026-03-25,440.0,470.0,428.8,457.95,501735
2026-03-27,451.0,462.0,433.85,446.1,1227688
2026-03-30,442.1,442.15,423.0,426.35,334233
2026-04-01,445.0,445.0,431.1,435.75,194848
2026-04-02,430.0,449.0,420.3,443.05,312212
2026-04-06,447.55,527.65,447.25,509.35,28657788
2026-04-07,502.0,513.6,490.0,496.6,3149468
2026-04-08,504.0,507.15,472.0,481.9,2169903
2026-04-09,481.9,493.8,478.3,489.5,679380
2026-04-10,489.5,497.25,483.05,489.75,385399
2026-04-13,489.0,552.4,489.0,517.8,29097398
2026-04-15,518.95,524.25,505.15,509.65,1612132
2026-04-16,509.0,514.45,497.15,502.3,744608
2026-04-17,502.5,522.0,493.2,499.25,900650
2026-04-20,503.85,503.85,491.0,499.45,390666
2026-04-21,502.85,534.35,500.5,506.7,3954559
2026-04-22,511.3,513.45,501.7,503.25,402359
2026-04-23,503.25,514.9,496.55,498.85,524513
2026-04-24,499.0,504.2,481.2,490.85,429201
2026-04-27,481.0,496.45,477.1,489.0,575369
