symbol,close,open,high,low,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,absorption_day,failed_breakdown_reclaim,failed_breakout,resistance_touches,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason,sector,sector_score
SMLMAH,5479.2,5024.0,5479.2,5020.5,False,True,True,True,True,True,15.514401605671518,819.3212136,20.456401997832533,True,0.542284103886479,True,22.17,False,0.45845094450820434,0.0,-2.38,0,True,▄▆▇▅█▅▅▆▅▆▃▅▂▅▅▅▅▇▄▁,False,True,False,3,0.36754355313732345,0.443300055317019,0.36740161756188106,0.4060913805709321,FLAT,True,95,86.0,STRONG,MARKUP,,NEUTRAL,A,WATCH_FOR_ENTRY,"CMF positive, RS leader",Consumer Durables,28.8
LODHA,1311.0,1233.2,1316.4,1228.25,False,True,True,True,True,True,3.611276849055099,1684.5698433,4.19786889928603,True,0.4330172116504713,True,45.67,True,1.0649535379915822,35.0,-0.32,0,True,▇▇▆▅▄▃▂▄▄▆▅█▆█▇▅▁▂▃▅,False,False,False,12,0.383641160949868,0.46940147948890365,0.3834992253744256,0.43219280474281674,FLAT,True,96,84.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader",Finance,29.1
VENUSREM,1797.5,1749.9,1800.8,1706.8,False,True,True,True,True,True,1.7646673076254629,44.25894375,2.1710958540240632,True,0.4306109637173773,True,44.1,False,0.6447886891489814,16.0,-0.95,0,True,▃▅▃▄▃▅▃████▅█▄▄▂▁▂▃▂,False,False,False,14,0.9713753016012285,1.0834540712836858,0.9712333660257861,1.0462453965375988,FLAT,True,100,78.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader",Health Technology,26.4
LOTUSDEV,193.24,189.27,193.99,189.1,False,True,True,True,True,True,1.511709268926849,115.632052668,1.7014444524668637,True,0.6446184758526226,True,55.09,True,1.1706083593633796,77.0,0.7,0,False,▄▅▅█▄▆▄▇▆▆▆▆▁▃▁▂▃▃▃▆,False,False,False,7,0.28783738753748755,0.41051094890510953,0.28769545196204516,0.3733022741590226,FLAT,True,94,78.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader",Finance,29.1
MACPOWER,1481.2,1391.0,1530.0,1391.0,False,True,True,True,True,True,7.6471488487171735,31.08490756,8.18755363401065,True,0.2140002771676334,True,24.92,False,0.488282780782193,2.0,-2.51,0,True,▅▆▆▇▇▇▇▃▅▅▇▇▅█▇█▆▇▃▁,False,True,False,3,0.06293505561535695,0.27766755800914344,0.06279312003991455,0.24045888326305653,FLAT,True,88,78.0,BUILDING,NONE,,NEUTRAL,B,WAIT,CMF positive,Producer Manufacturing,26.7
DREDGECORP,1120.0,1102.4,1125.5,1086.3,False,True,True,True,True,True,2.1715650726447913,24.4664,2.316011626691883,True,0.0548705048376617,True,52.51,True,1.3042236379667922,91.0,1.46,0,True,▆▅▄▂▅▆▅▇▃▄▆▂▃▆▃▁▆▆█▇,False,False,False,0,0.013758146270818283,0.013345396969011603,0.013616210695375885,-0.02386327777707531,UP,False,41,77.0,BUILDING,BREAKOUT,,NEUTRAL,B,WAIT,"Delivery P91, CMF positive",Transportation,36.4
BHAGYANGR,276.0,250.1,285.49,250.1,False,True,True,True,True,True,4.031814094917344,55.9844472,5.6121670223747735,True,0.1649743389507399,True,32.67,False,0.7760832383124289,8.0,-1.71,0,False,▅▅▅██▁▃▃▃▂▅▄▇▆█▇▇▇▂▃,False,False,False,11,0.8778065042862977,0.6453055141579731,0.8776645687108553,0.6080968394118862,UP,True,99,76.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader",Producer Manufacturing,26.7
ATULAUTO,516.0,495.2,522.0,492.0,False,True,True,True,True,True,11.725293283920154,60.1680252,12.394335716132526,True,0.10403860091762486,True,29.51,False,0.653845301663971,24.0,-0.61,0,True,▁▃▄▇▆▇█▄▄▆▇▃▇▄▄▃▆▅▇▂,False,True,False,1,0.04347826086956519,0.057919015889287495,0.04333632529412279,0.020710341143200584,UP,True,53,76.0,BUILDING,NONE,,NEUTRAL,B,WAIT,CMF positive,Consumer Durables,28.8
ELPROINTL,177.15,176.99,177.49,173.1,False,True,True,True,False,True,2.1848455955249144,2.0418309,2.2060673102921076,True,0.23118243227948634,True,94.76,True,1.0893581799579248,97.0,1.33,0,True,██▆▂▅▇▇▅▆▇▇▄▃▇▆▆▁▆▇▇,False,False,False,12,0.02665893943784403,0.07689969604863234,0.026517003862401634,0.039691021302545426,FLAT,True,59,74.0,BUILDING,BUILDING,,NEUTRAL,B,WAIT,"Delivery P97, CMF positive",Electronic Technology,24.6
KTKBANK,290.75,280.0,292.5,279.0,False,True,True,True,True,True,4.418120057052384,273.81666185,4.668288317326093,True,0.19229292554122626,True,37.62,False,0.7022062940978833,13.0,-1.06,0,True,▄▅▇▅▇█▆▇▂▆▄▄█▂▆▃▆▆█▁,False,False,False,9,0.08671276396935146,0.073472401698357,0.08657082839390906,0.03626372695227009,UP,True,57,74.0,BUILDING,NONE,,NEUTRAL,B,WAIT,CMF positive,Finance,29.1
